blue_style,red_style,episode_seed,first_pickup,first_score,path_len_pre_pickup,target_changes_pre_pickup,same_target_frac_pre,mean_lat_target_sep_pre,post_noncarrier_mean_target_dist,blue_score,red_score,win_margin,scored,episode_index
BLUE_RUSH,OP5_RUSHER,571001,14,34,14.634652256965637,0,0.0,1.4,5.556858942749795,3,2,1,1,0
BLUE_SPLIT,OP5_RUSHER,571001,23,43,23.91300728917122,3,0.16666666666666666,11.02083388964335,12.571836337065085,3,2,1,1,0
BLUE_ESCORT,OP5_RUSHER,571001,14,-1,14.634652256965637,12,0.0,4.020145606994629,2.9975341585108906,0,3,-3,0,0
BLUE_RUSH,OP5_RUSHER,571002,15,33,15.254571348428726,0,0.0,1.40625,4.492986614585564,3,1,2,1,1
BLUE_SPLIT,OP5_RUSHER,571002,22,42,23.086652666330338,2,0.17391304347826086,11.191304911737857,11.939450821361026,3,2,1,1,1
BLUE_ESCORT,OP5_RUSHER,571002,15,-1,15.254571348428726,13,0.0,4.564459830522537,1.7573454935299724,0,3,-3,0,1
BLUE_RUSH,OP5_RUSHER,571003,17,34,17.637430131435394,0,0.0,1.4166666666666667,7.806167511100119,3,2,1,1,2
BLUE_SPLIT,OP5_RUSHER,571003,21,40,21.743126094341278,2,0.18181818181818182,10.640909628434615,11.362265903584278,3,2,1,1,2
BLUE_ESCORT,OP5_RUSHER,571003,19,-1,19.880368262529373,17,0.0,3.1652928829193114,2.4901140745948345,0,3,-3,0,2
BLUE_RUSH,OP5_RUSHER,571004,14,32,14.269526779651642,0,0.0,1.4,4.447188618652364,3,1,2,1,3
BLUE_SPLIT,OP5_RUSHER,571004,21,41,21.98197513818741,3,0.09090909090909091,11.745455134998668,12.44026631041418,3,2,1,1,3
BLUE_ESCORT,OP5_RUSHER,571004,14,83,14.269526779651642,12,0.0,4.321157423655192,2.5795187736061256,1,3,-2,1,3
BLUE_RUSH,OP5_RUSHER,571005,19,37,19.681943982839584,0,0.0,1.425,4.749640171162107,3,2,1,1,4
BLUE_SPLIT,OP5_RUSHER,571005,23,43,24.447909861803055,1,0.25,10.766667207082113,13.09499742673791,2,3,-1,1,4
BLUE_ESCORT,OP5_RUSHER,571005,19,-1,19.99999925494194,17,0.0,2.6256817817687987,2.4767358380335347,0,3,-3,0,4
BLUE_RUSH,OP5_RUSHER,571006,16,33,16.60203155875206,0,0.0,1.411764705882353,4.431653619864408,3,1,2,1,5
BLUE_SPLIT,OP5_RUSHER,571006,22,44,22.92020347714424,2,0.17391304347826086,11.278261433476986,13.147512951983682,3,1,2,1,5
BLUE_ESCORT,OP5_RUSHER,571006,16,-1,16.60203155875206,14,0.0,3.7684283817515656,2.410725248547701,0,3,-3,0,5
BLUE_RUSH,OP5_RUSHER,571007,15,33,15.65827664732933,0,0.0,1.40625,4.459465102715925,3,2,1,1,6
BLUE_SPLIT,OP5_RUSHER,571007,20,42,20.708637833595276,2,0.19047619047619047,10.423810050601052,13.922111988067627,3,1,2,1,6
BLUE_ESCORT,OP5_RUSHER,571007,15,-1,15.556920856237411,14,0.0,3.7990838289260864,2.155741047513272,0,2,-2,0,6
BLUE_RUSH,OP5_RUSHER,571008,16,35,14.904081463813782,0,0.0,1.411764705882353,7.2255593830098706,3,2,1,1,7
BLUE_SPLIT,OP5_RUSHER,571008,20,146,20.614473342895508,2,0.09523809523809523,11.676191057477679,12.243452525029989,2,0,2,1,7
BLUE_ESCORT,OP5_RUSHER,571008,17,167,17.522985458374023,15,0.0,3.161174191368951,2.6625142767682055,1,3,-2,1,7
