kind,failure_label,outcome_step,band,band_start_off,band_end_off,episode_key,opponent,eval_seed,train_seed,window_start,window_end,window_len,opp_has_carrier,opp_home_threatened,opp_leading,score_diff_at_end,score_stratum,carrier_unescorted_frac,mean_escort_distance,mean_carrier_pressure,carrier_pressure_trend,carrier_pressure_increasing,defender_tag_available_frac,mean_nearest_ready_defender,own_cooldown_bound_frac,both_forward_frac,none_forward_frac,mean_team_separation,intervention_margin,mate_can_intervene,leading_frac,trailing_frac
failure,tagged_while_carrying,44,earliest,-30,-20,OP6:9400000,OP6,9400000,3200001,14,24,10,True,True,False,0.0,tied,0.5,0.299579537473619,0.35782234091311693,-0.6100195795297623,True,0.9,0.515138464314597,0.9,0.2,0.0,0.3555121712386608,0.18913541414908,0.875,0.0,0.0
failure,tagged_while_carrying,44,middle,-20,-10,OP6:9400000,OP6,9400000,3200001,24,34,10,True,False,True,1.0,leading,0.0,0.10791096712152164,0.2962016935149829,0.46897029876708984,False,0.6,0.6098644137382507,1.0,0.0,0.9,0.11117415428161621,0.5023607239127159,0.3333333333333333,0.4,0.0
failure,tagged_while_carrying,44,latest,-10,0,OP6:9400000,OP6,9400000,3200001,34,44,10,True,True,True,1.0,leading,0.0,0.18651220202445984,0.11423011869192123,nan,False,1.0,0.5548593997955322,1.0,0.4,0.3,0.1837657019495964,0.3683471977710724,1.0,1.0,0.0
failure,tagged_while_carrying,73,earliest,-30,-20,OP6:9400001,OP6,9400001,3200001,43,53,10,True,True,True,1.0,leading,0.0,0.09658180094427532,0.4933385153611501,0.32530677318573,False,1.0,0.4933385153611501,0.0,0.1,0.7,0.09229209721088409,0.39675671441687477,1.0,0.6,0.0
failure,tagged_while_carrying,73,middle,-20,-10,OP6:9400001,OP6,9400001,3200001,53,63,10,False,True,True,1.0,leading,0.0,nan,nan,nan,False,1.0,nan,0.0,0.1,0.7,0.1033032014966011,nan,0.0,1.0,0.0
failure,tagged_while_carrying,73,latest,-10,0,OP6:9400001,OP6,9400001,3200001,63,73,10,True,True,True,1.0,leading,0.875,0.2571514993906021,0.37705164682120085,-0.43364743143320084,True,1.0,0.37705164682120085,0.0,0.9,0.0,0.22688040509819984,0.11990014743059874,0.625,1.0,0.0
control,none,30,earliest,-30,-20,OP6:9400005,OP6,9400005,3200001,0,10,10,False,True,False,0.0,tied,0.0,nan,nan,nan,False,0.9,nan,0.0,0.0,0.8,0.2725855365395546,nan,0.0,0.0,0.0
control,none,30,middle,-20,-10,OP6:9400005,OP6,9400005,3200001,10,20,10,False,True,False,0.0,tied,0.0,nan,nan,nan,False,0.0,nan,0.3,0.0,0.9,0.12362100332975387,nan,0.0,0.0,0.0
control,none,30,latest,-10,0,OP6:9400005,OP6,9400005,3200001,20,30,10,False,False,False,0.0,tied,0.0,nan,nan,nan,False,0.0,nan,1.0,0.4,0.5,0.17333524599671363,nan,0.0,0.0,0.0
control,none,120,earliest,-30,-20,OP6:9400005,OP6,9400005,3200001,90,100,10,False,False,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.1,0.1,0.0,0.2624033041298389,nan,0.0,0.0,0.0
control,none,120,middle,-20,-10,OP6:9400005,OP6,9400005,3200001,100,110,10,True,True,False,0.0,tied,0.7,0.33751027919352056,0.2933905370533466,-0.27696543186903,True,1.0,0.3440133213996887,0.7,0.0,0.3,0.33751027919352056,0.006503042206168175,0.5,0.0,0.0
control,none,120,latest,-10,0,OP6:9400005,OP6,9400005,3200001,110,120,10,True,True,True,1.0,leading,0.75,0.29606350883841515,0.11224712152034044,-0.004149258136749268,False,0.3,0.15371225774288177,1.0,0.0,0.2,0.4270866349339485,0.013891339302062988,0.25,0.6,0.0
failure,tagged_while_carrying,62,earliest,-30,-20,OP6:9400006,OP6,9400006,3200001,32,42,10,False,False,True,1.0,leading,0.0,nan,nan,nan,False,0.6,nan,1.0,0.3,0.0,0.2008796937763691,nan,0.0,1.0,0.0
failure,tagged_while_carrying,62,middle,-20,-10,OP6:9400006,OP6,9400006,3200001,42,52,10,False,True,True,1.0,leading,0.0,nan,nan,nan,False,0.0,nan,0.8,0.0,0.8,0.1873163290321827,nan,0.0,1.0,0.0
failure,tagged_while_carrying,62,latest,-10,0,OP6:9400006,OP6,9400006,3200001,52,62,10,False,False,True,1.0,leading,0.0,nan,nan,nan,False,0.1,nan,1.0,0.5,0.0,0.18508655093610288,nan,0.0,1.0,0.0
failure,dropped_the_flag,62,earliest,-30,-20,OP6:9400006,OP6,9400006,3200001,32,42,10,False,False,True,1.0,leading,0.0,nan,nan,nan,False,0.6,nan,1.0,0.3,0.0,0.2008796937763691,nan,0.0,1.0,0.0
failure,dropped_the_flag,62,middle,-20,-10,OP6:9400006,OP6,9400006,3200001,42,52,10,False,True,True,1.0,leading,0.0,nan,nan,nan,False,0.0,nan,0.8,0.0,0.8,0.1873163290321827,nan,0.0,1.0,0.0
failure,dropped_the_flag,62,latest,-10,0,OP6:9400006,OP6,9400006,3200001,52,62,10,False,False,True,1.0,leading,0.0,nan,nan,nan,False,0.1,nan,1.0,0.5,0.0,0.18508655093610288,nan,0.0,1.0,0.0
failure,tagged_while_carrying,87,earliest,-30,-20,OP6:9400006,OP6,9400006,3200001,57,67,10,True,False,True,1.0,leading,0.0,0.21056047081947327,0.0587841272354126,nan,False,0.2,0.0587841272354126,1.0,0.7,0.0,0.18765258304774762,-0.15177634358406067,0.0,1.0,0.0
failure,tagged_while_carrying,87,middle,-20,-10,OP6:9400006,OP6,9400006,3200001,67,77,10,False,False,True,1.0,leading,0.0,nan,nan,nan,False,0.0,nan,0.9,0.0,0.8,0.19293103292584418,nan,0.0,1.0,0.0
failure,tagged_while_carrying,87,latest,-10,0,OP6:9400006,OP6,9400006,3200001,77,87,10,False,False,True,1.0,leading,0.0,nan,nan,nan,False,0.5,nan,1.0,0.3,0.2,0.18029069155454636,nan,0.0,1.0,0.0
failure,tagged_while_carrying,113,earliest,-30,-20,OP6:9400006,OP6,9400006,3200001,83,93,10,True,True,True,1.0,leading,0.0,0.10561662415663402,0.12235276152690251,0.0704459697008133,False,1.0,0.28361143668492633,1.0,0.9,0.0,0.1394698739051819,0.17799481252829233,0.8333333333333334,1.0,0.0
failure,tagged_while_carrying,113,middle,-20,-10,OP6:9400006,OP6,9400006,3200001,93,103,10,True,True,True,2.0,leading,0.0,0.07038754680090481,0.15635086596012115,-0.034066587686538696,True,0.7,0.23452502063342504,0.8,0.1,0.8,0.07581408284604549,0.16025265731981822,0.7777777777777778,1.0,0.0
failure,tagged_while_carrying,113,latest,-10,0,OP6:9400006,OP6,9400006,3200001,103,113,10,False,False,True,2.0,leading,0.0,nan,nan,nan,False,0.4,nan,1.0,0.0,0.5,0.2949814647436142,nan,0.0,1.0,0.0
failure,dropped_the_flag,113,earliest,-30,-20,OP6:9400006,OP6,9400006,3200001,83,93,10,True,True,True,1.0,leading,0.0,0.10561662415663402,0.12235276152690251,0.0704459697008133,False,1.0,0.28361143668492633,1.0,0.9,0.0,0.1394698739051819,0.17799481252829233,0.8333333333333334,1.0,0.0
failure,dropped_the_flag,113,middle,-20,-10,OP6:9400006,OP6,9400006,3200001,93,103,10,True,True,True,2.0,leading,0.0,0.07038754680090481,0.15635086596012115,-0.034066587686538696,True,0.7,0.23452502063342504,0.8,0.1,0.8,0.07581408284604549,0.16025265731981822,0.7777777777777778,1.0,0.0
failure,dropped_the_flag,113,latest,-10,0,OP6:9400006,OP6,9400006,3200001,103,113,10,False,False,True,2.0,leading,0.0,nan,nan,nan,False,0.4,nan,1.0,0.0,0.5,0.2949814647436142,nan,0.0,1.0,0.0
control,none,30,earliest,-30,-20,OP6:9400006,OP6,9400006,3200001,0,10,10,False,False,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.0,0.2,0.7,0.11892324537038804,nan,0.0,0.0,0.0
control,none,30,middle,-20,-10,OP6:9400006,OP6,9400006,3200001,10,20,10,True,True,False,0.0,tied,0.875,0.39909491315484047,0.44393735751509666,-0.13935214281082153,True,1.0,0.46809684857726097,0.3,0.0,0.1,0.37641472965478895,0.0690019354224205,0.875,0.0,0.0
control,none,30,latest,-10,0,OP6:9400006,OP6,9400006,3200001,20,30,10,True,True,True,1.0,leading,0.5,0.2149637962381045,0.13532237708568573,-0.029026538133621216,True,0.2,0.24909313768148422,1.0,0.0,0.9,0.23540641218423844,0.16841985285282135,0.3333333333333333,0.4,0.0
failure,tagged_while_carrying,70,earliest,-30,-20,OP6:9400008,OP6,9400008,3200001,40,50,10,True,True,True,0.0,tied,0.75,0.41603347286581993,0.2665858771651983,0.1027907133102417,False,1.0,0.269308103248477,0.3,0.0,0.1,0.42875246703624725,-0.14672536961734295,0.375,0.8,0.0
failure,tagged_while_carrying,70,middle,-20,-10,OP6:9400008,OP6,9400008,3200001,50,60,10,True,False,True,1.0,leading,0.0,0.12593233904668263,0.374144230570112,0.04330214858055115,False,1.0,0.374144230570112,0.0,0.0,1.0,0.12478863894939422,0.24821189152342932,1.0,0.3,0.0
failure,tagged_while_carrying,70,latest,-10,0,OP6:9400008,OP6,9400008,3200001,60,70,10,False,False,True,1.0,leading,0.0,nan,nan,nan,False,0.1,nan,1.0,0.3,0.4,0.18044204264879227,nan,0.0,1.0,0.0
failure,tagged_while_carrying,71,earliest,-30,-20,OP6:9400008,OP6,9400008,3200001,41,51,10,True,True,True,0.0,tied,0.6666666666666666,0.38781528506014085,0.2755456484026379,0.10979709029197693,False,1.0,0.27796540492110783,0.2,0.0,0.2,0.402402301132679,-0.109849880139033,0.4444444444444444,0.7,0.0
failure,tagged_while_carrying,71,middle,-20,-10,OP6:9400008,OP6,9400008,3200001,51,61,10,True,False,True,1.0,leading,0.0,0.11990943178534508,0.37863096594810486,0.03521570563316345,False,1.0,0.37863096594810486,0.1,0.0,1.0,0.12715178728103638,0.2587215341627598,1.0,0.4,0.0
failure,tagged_while_carrying,71,latest,-10,0,OP6:9400008,OP6,9400008,3200001,61,71,10,True,False,True,1.0,leading,0.0,0.17486022412776947,0.0832585021853447,nan,False,0.1,0.0832585021853447,1.0,0.4,0.3,0.17935793846845627,-0.09160172194242477,0.0,1.0,0.0
failure,dropped_the_flag,71,earliest,-30,-20,OP6:9400008,OP6,9400008,3200001,41,51,10,True,True,True,0.0,tied,0.6666666666666666,0.38781528506014085,0.2755456484026379,0.10979709029197693,False,1.0,0.27796540492110783,0.2,0.0,0.2,0.402402301132679,-0.109849880139033,0.4444444444444444,0.7,0.0
failure,dropped_the_flag,71,middle,-20,-10,OP6:9400008,OP6,9400008,3200001,51,61,10,True,False,True,1.0,leading,0.0,0.11990943178534508,0.37863096594810486,0.03521570563316345,False,1.0,0.37863096594810486,0.1,0.0,1.0,0.12715178728103638,0.2587215341627598,1.0,0.4,0.0
failure,dropped_the_flag,71,latest,-10,0,OP6:9400008,OP6,9400008,3200001,61,71,10,True,False,True,1.0,leading,0.0,0.17486022412776947,0.0832585021853447,nan,False,0.1,0.0832585021853447,1.0,0.4,0.3,0.17935793846845627,-0.09160172194242477,0.0,1.0,0.0
failure,tagged_while_carrying,145,earliest,-30,-20,OP6:9400008,OP6,9400008,3200001,115,125,10,False,False,True,1.0,leading,0.0,nan,nan,nan,False,0.2,nan,1.0,0.8,0.0,0.0990051731467247,nan,0.0,1.0,0.0
failure,tagged_while_carrying,145,middle,-20,-10,OP6:9400008,OP6,9400008,3200001,125,135,10,False,True,True,1.0,leading,0.0,nan,nan,nan,False,0.0,nan,0.9,0.0,1.0,0.10848423019051552,nan,0.0,1.0,0.0
failure,tagged_while_carrying,145,latest,-10,0,OP6:9400008,OP6,9400008,3200001,135,145,10,False,True,True,1.0,leading,0.0,nan,nan,nan,False,0.1,nan,1.0,0.6,0.2,0.10138635337352753,nan,0.0,1.0,0.0
failure,dropped_the_flag,145,earliest,-30,-20,OP6:9400008,OP6,9400008,3200001,115,125,10,False,False,True,1.0,leading,0.0,nan,nan,nan,False,0.2,nan,1.0,0.8,0.0,0.0990051731467247,nan,0.0,1.0,0.0
failure,dropped_the_flag,145,middle,-20,-10,OP6:9400008,OP6,9400008,3200001,125,135,10,False,True,True,1.0,leading,0.0,nan,nan,nan,False,0.0,nan,0.9,0.0,1.0,0.10848423019051552,nan,0.0,1.0,0.0
failure,dropped_the_flag,145,latest,-10,0,OP6:9400008,OP6,9400008,3200001,135,145,10,False,True,True,1.0,leading,0.0,nan,nan,nan,False,0.1,nan,1.0,0.6,0.2,0.10138635337352753,nan,0.0,1.0,0.0
failure,tagged_while_carrying,170,earliest,-30,-20,OP6:9400008,OP6,9400008,3200001,140,150,10,True,True,True,1.0,leading,0.0,0.08364900201559067,0.05341188982129097,nan,False,0.2,0.05341188982129097,1.0,1.0,0.0,0.11189564242959023,-0.030237112194299698,0.0,1.0,0.0
failure,tagged_while_carrying,170,middle,-20,-10,OP6:9400008,OP6,9400008,3200001,150,160,10,False,True,True,1.0,leading,0.0,nan,nan,nan,False,0.0,nan,0.6,0.0,0.7,0.1375644788146019,nan,0.0,1.0,0.0
failure,tagged_while_carrying,170,latest,-10,0,OP6:9400008,OP6,9400008,3200001,160,170,10,True,True,True,1.0,leading,0.0,0.15683351457118988,0.08072413504123688,nan,False,0.0,nan,1.0,0.3,0.4,0.1302758701145649,nan,0.0,1.0,0.0
failure,tagged_while_carrying,91,earliest,-30,-20,OP6:9400009,OP6,9400009,3200001,61,71,10,False,True,True,1.0,leading,0.0,nan,nan,nan,False,0.9,nan,0.8,0.3,0.0,0.2919017471373081,nan,0.0,1.0,0.0
failure,tagged_while_carrying,91,middle,-20,-10,OP6:9400009,OP6,9400009,3200001,71,81,10,False,True,True,0.0,tied,0.0,nan,nan,nan,False,0.0,nan,0.0,0.0,0.3,0.3665964312851429,nan,0.0,0.3,0.0
failure,tagged_while_carrying,91,latest,-10,0,OP6:9400009,OP6,9400009,3200001,81,91,10,True,True,False,0.0,tied,1.0,0.3395412564277649,0.10053690522909164,nan,False,0.0,nan,0.8,0.0,0.3,0.31188117265701293,nan,0.0,0.0,0.0
failure,dropped_the_flag,91,earliest,-30,-20,OP6:9400009,OP6,9400009,3200001,61,71,10,False,True,True,1.0,leading,0.0,nan,nan,nan,False,0.9,nan,0.8,0.3,0.0,0.2919017471373081,nan,0.0,1.0,0.0
failure,dropped_the_flag,91,middle,-20,-10,OP6:9400009,OP6,9400009,3200001,71,81,10,False,True,True,0.0,tied,0.0,nan,nan,nan,False,0.0,nan,0.0,0.0,0.3,0.3665964312851429,nan,0.0,0.3,0.0
failure,dropped_the_flag,91,latest,-10,0,OP6:9400009,OP6,9400009,3200001,81,91,10,True,True,False,0.0,tied,1.0,0.3395412564277649,0.10053690522909164,nan,False,0.0,nan,0.8,0.0,0.3,0.31188117265701293,nan,0.0,0.0,0.0
failure,dropped_the_flag,109,earliest,-30,-20,OP6:9400009,OP6,9400009,3200001,79,89,10,False,True,False,0.0,tied,0.0,nan,nan,nan,False,0.0,nan,0.6,0.0,0.5,0.2640788219869137,nan,0.0,0.0,0.0
failure,dropped_the_flag,109,middle,-20,-10,OP6:9400009,OP6,9400009,3200001,89,99,10,True,True,False,0.0,tied,1.0,0.30363309383392334,0.08269177377223969,-0.03569026291370392,True,0.8,0.06484664231538773,1.0,0.2,0.0,0.23437547087669372,-0.20287828892469406,0.0,0.0,0.0
failure,dropped_the_flag,109,latest,-10,0,OP6:9400009,OP6,9400009,3200001,99,109,10,True,True,False,0.0,tied,0.8571428571428571,0.4279442046369825,0.23542794159480504,-0.017269164323806763,True,1.0,0.25556390838963644,0.5,0.0,0.0,0.4243118792772293,-0.17238029624734605,0.2857142857142857,0.0,0.0
failure,tagged_while_carrying,14,middle,-20,-10,OP6:9400010,OP6,9400010,3200001,0,4,4,False,False,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.0,0.0,1.0,0.11018508300185204,nan,0.0,0.0,0.0
