time_to_intercept,relative_closing_velocity,carrier_dist_home,nearest_ready_defender_dist,escort_dist,cooldown_remaining,carrier_progress_frac,pressure_trend,commitment_imbalance,mate_intervention_eta,intercept_margin,agents_forward,formation_spread,is_carrier_pressure_onset,score_diff,time_remaining_frac,pressure_step,score_stratum,tagged_within_H_response,captured_within_H_response,event_role,episode_key,episode_id,opponent,eval_seed,train_seed,policy,pressure_anchor_step,c3_contract_hash,checkpoint_sha256,checkpoint_path,map,ruleset,snapshot_restore
0.82326496,0.09903623908758163,0.4465413,0.22409686,0.07801055,0.0,0.5534587,2.7260594,2.0,0.5200703,0.30319464,2,0.07727437,True,0.0,0.9083333333333333,22,tied,0,1,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400000,3200001:OP6:9400000,OP6,9400000,3200001,3200001,22,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
6.6894965,0.0170760415494442,0.72026217,0.11423012,0.1865122,6.535000801086426,0.27973783,2.5918157,2.0,1.2434146,5.446082,2,0.081861116,True,1.0,0.8208333333333333,43,leading,0,1,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400000,3200001:OP6:9400000,OP6,9400000,3200001,3200001,43,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
7.2523975,0.02216058038175106,0.27184162,0.18229187,0.06638248,1.585001826286316,0.72815835,0.34397683,-2.0,0.44254985,6.809848,0,0.045275737,True,1.0,0.7791666666666667,53,leading,0,1,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400000,3200001:OP6:9400000,OP6,9400000,3200001,3200001,53,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
2.5623443,0.05101738125085831,0.39736736,0.1307241,0.3056369,0.0,0.60263264,1.395266,0.0,2.0375793,0.524765,1,0.27747384,True,0.0,0.48750000000000004,123,tied,0,0,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400000,3200001:OP6:9400000,OP6,9400000,3200001,3200001,123,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
1.5323813,0.10138756781816483,0.40370235,0.15536441,0.39491123,0.0,0.5962976,1.1782094,2.0,2.6327415,-1.1003602,2,0.19169703,True,0.0,0.9125,21,tied,0,1,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400001,3200001:OP6:9400001,OP6,9400001,3200001,3200001,21,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
2.0093899,0.07472336292266846,0.43174905,0.15014836,0.25956085,0.0,0.56825095,1.2009641,2.0,1.7304056,0.2789843,2,0.18559341,True,1.0,0.7041666666666666,71,leading,0,0,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400001,3200001:OP6:9400001,OP6,9400001,3200001,3200001,71,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
inf,-0.07845095545053482,0.71606135,0.69130814,0.037802473,5.05000114440918,0.28393865,2.016723,2.0,0.25201648,inf,2,0.014279271,True,0.0,0.9291666666666667,17,tied,0,1,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400002,3200001:OP6:9400002,OP6,9400002,3200001,3200001,17,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
3.4201174,0.05138875171542168,0.4196097,0.21932633,0.123797104,1.585001826286316,0.58039033,0.60289437,0.0,0.825314,2.5948033,1,0.039475776,True,0.0,0.9,24,tied,0,1,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400002,3200001:OP6:9400002,OP6,9400002,3200001,3200001,24,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
1.1470155,0.12734104692935944,0.545211,0.45599794,0.23203762,0.0,0.45478898,1.3995898,0.0,1.5469174,-0.399902,1,0.07236085,True,0.0,0.7875,51,tied,0,1,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400002,3200001:OP6:9400002,OP6,9400002,3200001,3200001,51,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
3.0199592,0.05887459218502045,0.27296105,0.17779887,0.06722219,0.0,0.727039,-0.30826795,-2.0,0.44814792,2.5718112,0,0.023212481,True,0.0,0.7666666666666666,56,tied,0,1,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400002,3200001:OP6:9400002,OP6,9400002,3200001,3200001,56,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
inf,-0.11510668694972992,0.7336024,,0.23347104,0.0,0.2663976,3.9081373,2.0,1.5564735,inf,2,0.031301737,True,0.0,0.6833333333333333,76,tied,0,0,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400002,3200001:OP6:9400002,OP6,9400002,3200001,3200001,76,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
1.6036528,0.08480852842330933,0.4460248,0.13600343,0.29838032,0.0,0.5539752,1.4046351,2.0,1.989202,-0.3855492,2,0.18186381,True,0.0,0.9166666666666666,20,tied,0,1,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400003,3200001:OP6:9400003,OP6,9400003,3200001,3200001,20,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
1.2984213,0.10583881288766861,0.43235388,,0.19224223,0.0,0.56764615,1.4076419,0.0,1.2816149,0.016806364,1,0.06438851,True,0.0,0.7875,51,tied,0,1,BACKWARD_TRACE_ANCHOR_ONLY,OP6:9400003,3200001:OP6:9400003,OP6,9400003,3200001,3200001,51,c40eb5e8bca4f9a1d927b4779a312281a2c2fbee38bf7c4afa7fb94c35769ae0,94a28f25a1e81954b499428d29566d98b39482113666c637b289ebddd1966059,K:\MultiAgentUAV\AICTFProject\artifacts\g0_v5_long\g0_v5_long_seed3200001\ckpts\final_g0_v5_long_seed3200001.zip,map_a,RULESET_V2_AQUATICUS_10S,"{'mode': 'deterministic_natural_replay', 'references': ['train_seed/policy checkpoint', 'opponent', 'eval_seed', 'pressure_step as backward-trace anchor'], 'note': 'Stage 3 reconstructs candidate snapshots by replaying unmodified G0 on (opponent, eval_seed).'}"
