update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,61332-1786467288230938400,61332,2048,3,3,0,0,1.0,1.0,1.0,0.0006226034020073712,0.05819820240139961,0.025829818099737167,0.21222035586833954,3,3,0,0,1.0,1.6666666666666667,3.0,1.3333333333333333,-0.019722580909729004,0.00146484375,0.003515625139698386,0.001102664042264223,0.00638671824708581,0.002539062639698386,0.25390625,-0.006371093913912773,0.0,0.0,0.0,0.0,0.0006226034020073712,0.004003906389698386,0.005387970712035894,1.3453424843824298,1.0,1.590822180089105,-0.02352575765689835,0.04060419835150242,0.033383507281541824,0.004135397262871265,0.034474365413188934,0.040740326046943665,0.04481389373540878,0.04840906336903572,0.0,0.0,0.0,7.89303058385849,0.009511435899185017,0.0819091796875,0.20846404507756233,0.000374232,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.2143029123544693,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,61332-1786467288230938400,61332,4096,16,11,5,0,0.6875,0.6875,0.6875,0.0017831014702096581,0.06105753779411316,0.07205703109502792,0.23435819149017334,13,8,5,0,0.6153846153846154,0.38461538461538464,2.6153846153846154,2.230769230769231,0.18136906623840332,0.00146484375,0.0052734375931322575,0.0009519231389276683,0.0053206379525363445,0.00634765625,0.634765625,-0.00680078100413084,0.0,0.0,0.0,0.0,0.0017831014702096581,0.0078125,0.006841577865998261,0.8756098887820134,1.0,0.8703885587932221,-0.01762455229002696,0.04230976505921437,0.03879404067993164,0.0027772618923336267,0.03967471420764923,0.04079783707857132,0.046233102679252625,0.04742045700550079,0.0,0.0,0.0,8.32547848041241,0.011795969563536346,0.10471754807692307,0.3789171026303218,0.000373464,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.2120431363582611,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,61332-1786467288230938400,61332,6144,27,21,5,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.002918228041380644,0.04714463651180267,0.1662444770336151,0.19650503993034363,11,10,0,1,0.9090909090909091,2.090909090909091,2.3636363636363638,0.2727272727272727,0.2171088457107544,0.004638671875,0.007031249813735485,0.0006618679035454988,0.0024381508119404316,0.00795898400247097,0.7958984375,-0.007339843548834324,0.0,0.0,0.0,0.0,0.002918228041380644,0.01259765587747097,0.007806254492606968,0.6196101051197201,1.0,0.5825894143167684,-0.020845703489612788,0.03078122262377292,0.02432355470955372,0.0042573376558721066,0.02651185914874077,0.03017178550362587,0.034574612975120544,0.04279716685414314,0.0,0.0,0.0,8.775683224201202,0.0105464535226929,0.0914306640625,0.48322200402617455,0.000372696,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17386989295482635,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,61332-1786467288230938400,61332,8192,35,28,5,2,0.8,0.8,0.8,0.0032670684158802032,0.046980950981378555,0.1970556229352951,0.19599515199661255,8,7,0,1,0.875,1.625,1.75,0.125,0.2621340751647949,0.003173828125,0.00791015662252903,0.0009869467467069626,0.002930094487965107,0.00937500037252903,0.9375,-0.007326171733438969,0.0,0.0,0.0,0.0,0.0032670684158802032,0.01254882849752903,0.008889416931197047,0.7083297539043908,1.0,0.5837666813440071,-0.025192842760588974,0.029139859601855278,0.026215046644210815,0.002096897456794977,0.02668389305472374,0.028853990137577057,0.03177248686552048,0.03370772302150726,0.0,0.0,0.0,8.67752856016159,0.014073189020564314,0.1295166015625,0.530411759391427,0.000371928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16835810244083405,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,61332-1786467288230938400,61332,10240,47,39,6,2,0.8297872340425532,0.8297872340425532,0.8297872340425532,0.0031226591672748327,0.04900098592042923,0.24281209707260132,0.20334851741790771,12,11,1,0,0.9166666666666666,1.6666666666666667,2.0833333333333335,0.4166666666666667,0.25141477584838867,0.0048828125,0.007568359375,0.0007840320467948914,0.002981363795697689,0.00742187537252903,0.7421875,-0.007273437455296516,0.0,0.0,0.0,0.0,0.0031226591672748327,0.01230468787252903,0.008509708335623145,0.6915264245097624,1.0,0.5910630539828328,-0.022045129211619496,0.03064720891416073,0.0276559516787529,0.0022341166622936726,0.02888382226228714,0.029856111854314804,0.03323635086417198,0.03717540204524994,0.0,0.0,0.0,8.712160170078278,0.012843730924942065,0.115478515625,0.567718742415309,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17593879997730255,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,61332-1786467288230938400,61332,12288,58,49,6,3,0.8448275862068966,0.84,0.8448275862068966,0.003954939544200897,0.053268443793058395,0.2977900505065918,0.19469372928142548,11,10,0,1,0.9090909090909091,2.0,2.5454545454545454,0.5454545454545454,0.3054009675979614,0.004638671875,0.00844726525247097,0.0010622935369610786,0.00368448905646801,0.01025390625,1.025390625,-0.007181640714406967,0.0,0.0,0.0,0.0,0.003954939544200897,0.014892578125,0.009633960900828242,0.6468533498110107,1.0,0.48219713584823776,-0.02734002616489306,0.026815212913788855,0.023841243237257004,0.0018221838399767876,0.024639058858156204,0.02657131478190422,0.029595468193292618,0.030371766537427902,0.0,0.0,0.0,8.590303897857666,0.011748737386369612,0.1053466796875,0.5468218475580215,0.00037039200000000004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16226282715797424,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,61332-1786467288230938400,61332,14336,67,57,6,4,0.8507462686567164,0.9,0.8507462686567164,0.002464648336172104,0.04922106862068176,0.281602144241333,0.18881343305110931,9,8,0,1,0.8888888888888888,2.111111111111111,2.4444444444444446,0.3333333333333333,0.34672701358795166,0.003662109375,0.007080078125,0.0006192928412929177,0.003780517727136612,0.0064453124068677425,0.64453125,-0.007283203303813934,0.0,0.0,0.0,0.0,0.002464648336172104,0.010107421781867743,0.008180030767107382,0.8092292687846224,1.0,0.7205084493880518,-0.004784165216343743,0.02375586730028902,0.022243499755859375,0.00099633214995265,0.022710906341671944,0.023549584671854973,0.024974774569272995,0.025194525718688965,0.0,0.0,0.0,8.632015228271484,0.012975978548638523,0.09905133928571429,0.6801970047610146,0.000369624,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15260903537273407,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,61332-1786467288230938400,61332,16384,79,67,6,6,0.8481012658227848,0.9,0.8481012658227848,0.003527628257870674,0.05021733045578003,0.29964524507522583,0.21067211031913757,12,10,0,2,0.8333333333333334,1.75,2.0833333333333335,0.3333333333333333,0.3274603486061096,0.00439453125,0.00825195387005806,0.0007636384107172489,0.0031742348801344633,0.009082031436264515,0.908203125,-0.007398437708616257,0.0,0.0,0.0,0.0,0.003527628257870674,0.013476562686264515,0.009236422192770988,0.6853184368553648,1.0,0.5489447818451834,-0.028430259961169213,0.029063465888611972,0.025966614484786987,0.002006631111726165,0.026884902268648148,0.029199834913015366,0.031621336936950684,0.032294776290655136,0.0,0.0,0.0,8.779802083969116,0.016097074272693135,0.1466064453125,0.6481231357902288,0.00036885600000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17276906967163086,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,61332-1786467288230938400,61332,18432,91,76,7,8,0.8351648351648352,0.84,0.8351648351648352,0.0035096986684948206,0.05289379879832268,0.36011311411857605,0.23796017467975616,12,9,1,2,0.75,1.4166666666666667,2.25,0.8333333333333334,0.25117409229278564,0.00341796875,0.008447266183793545,0.0012970339739695191,0.004062499850988388,0.00942382775247097,0.9423828125,-0.007322265766561031,0.0,0.0,0.0,0.0,0.0035096986684948206,0.01284179650247097,0.009787149640033022,0.7620730919585903,1.0,0.5701457439703431,-0.03216481959680095,0.04231542185880244,0.03479422628879547,0.0038838486652821302,0.03761879354715347,0.041761938482522964,0.047558899968862534,0.04932674765586853,0.0,0.0,0.0,8.641514897346497,0.01630313255736837,0.1529541015625,0.6111663468182087,0.00036808800000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.20591817796230316,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,61332-1786467288230938400,61332,20480,102,86,7,9,0.8431372549019608,0.84,0.8431372549019608,0.0032872017472982407,0.049074601382017136,0.38453343510627747,0.20241211354732513,11,10,0,1,0.9090909090909091,1.7272727272727273,2.272727272727273,0.5454545454545454,0.3332168459892273,0.004638671875,0.00844726525247097,0.0007557874778285623,0.00341796875,0.007763672154396772,0.7763671875,-0.007607421837747097,0.0,0.0,0.0,0.0,0.0032872017472982407,0.012402344029396772,0.00949070430942811,0.7651730280910127,1.0,0.6133363566887275,-0.021538403467275202,0.027840462358047564,0.026099441573023796,0.0011398184578865767,0.026558781042695045,0.027521327137947083,0.029484648257493973,0.02981221303343773,0.0,0.0,0.0,8.839744329452515,0.014993447402957827,0.13199869791666666,0.6983410269021988,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1652832329273224,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
