blue_style,blue_probe_protocol,op12_confirmed_escort_response_enabled,red_style,map,episode_index,episode_seed,success,blue_score,red_score,win_margin,steps,return,outcome,time_to_first_score,collision_free,zone_coverage,split_detector_first_trigger_step,split_detector_active_steps,split_detector_max_lateral_sep,split_detector_max_teammate_dist,escort_detector_first_trigger_step,escort_detector_active_steps,escort_detector_score,escort_detector_compact,escort_detector_narrow,escort_detector_leader,escort_detector_heading,escort_detector_speed_penalty,convoy_offensive_active,convoy_corridor_active,convoy_leader_active,convoy_reject_rush,convoy_leader_id,convoy_longitudinal_gap,convoy_lateral_gap,convoy_heading_similarity,convoy_centroid_forward_speed,escort_confirmation_step,escort_confirmation_active_steps,escort_confirmation_carrier_id,escort_confirmation_protector_id,escort_confirmation_distance,escort_confirmation_same_corridor_steps,escort_confirmation_to_episode_end_steps,conversion_phase_first_step,carrier_intercept_attempts
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,0,701001,1,3,1,2,105,-0.8792379672522657,win,34.0,1,0.6399999856948853,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,0,701001,0,0,1,-1,240,-13.037665483367164,loss,144.0,0,0.7199999690055847,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,28.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,0,701001,1,3,0,3,91,-1.2737350542811328,win,42.0,1,0.8799999952316284,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,19.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,0,701001,0,0,0,0,240,-13.294569560792297,draw,,0,0.6800000071525574,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,1,701002,1,3,1,2,176,-6.556344046373852,win,35.0,0,0.5999999642372131,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,1,701002,0,0,1,-1,240,-11.282596783217741,loss,169.0,0,0.8799999952316284,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,28.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,1,701002,1,1,0,1,240,-13.293136875639902,win,240.0,1,0.8799999952316284,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,1,701002,0,1,2,-1,240,-9.684399633231806,loss,39.0,0,0.6800000071525574,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,28.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,2,701003,1,3,0,3,111,-0.6177401662862394,win,36.0,1,0.5600000023841858,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,2,701003,0,0,1,-1,240,-10.136521780485054,loss,213.0,0,0.7599999904632568,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,28.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,2,701003,0,0,0,0,240,-15.374757092766231,draw,,0,0.7999999523162842,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,2,701003,0,0,0,0,240,-15.262610738369403,draw,,0,0.6399999856948853,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,3,701004,1,3,1,2,108,-2.375535860133823,win,36.0,1,0.6800000071525574,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,3,701004,0,0,1,-1,240,-14.905564576154575,loss,48.0,0,0.8399999737739563,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,3,701004,1,3,2,1,180,-7.864135175404954,win,130.0,1,0.8399999737739563,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,68.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,3,701004,1,1,0,1,240,-10.982909039332299,win,86.0,0,0.6399999856948853,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,4,701005,1,1,0,1,240,-14.704002922168002,win,33.0,0,0.5999999642372131,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,4,701005,0,0,0,0,240,-11.964878937171306,draw,,0,0.47999998927116394,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,4,701005,0,0,0,0,240,-14.623515849583782,draw,,0,0.8399999737739563,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,4,701005,0,0,0,0,240,-14.25912409365992,draw,,0,0.5999999642372131,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,5,701006,1,3,0,3,104,-1.5589546927658375,win,33.0,0,0.6399999856948853,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,5,701006,0,0,2,-2,240,-13.64184750962886,loss,85.0,0,0.9599999785423279,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,28.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,5,701006,1,3,0,3,163,-5.076011153432773,win,44.0,1,0.9199999570846558,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,53.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,5,701006,0,0,0,0,240,-15.56957549660001,draw,,0,0.7199999690055847,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,6,701007,1,3,1,2,105,-0.7710238221625332,win,34.0,1,0.47999998927116394,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,18.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,6,701007,0,0,1,-1,240,-12.877811844402459,loss,98.0,0,0.8399999737739563,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,28.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,6,701007,1,3,0,3,188,-8.07269935993827,win,141.0,1,0.9599999785423279,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,18.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,6,701007,0,0,0,0,240,-14.44860809436068,draw,,0,0.6800000071525574,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,7,701008,1,3,1,2,135,-4.257203061686596,win,63.0,1,0.3999999761581421,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,7,701008,0,0,0,0,240,-16.71890544393682,draw,,0,0.7599999904632568,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,28.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,7,701008,0,0,0,0,240,-15.102198773383861,draw,,0,0.8799999952316284,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,28.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,7,701008,0,0,1,-1,240,-13.201620193460258,loss,216.0,0,0.6399999856948853,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,28.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,8,701009,1,3,0,3,177,-6.269372836308321,win,35.0,0,0.47999998927116394,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,8,701009,0,0,1,-1,240,-11.352255787787726,loss,214.0,0,0.7599999904632568,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,56.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,8,701009,1,2,1,1,240,-11.054676025407389,win,166.0,1,0.9199999570846558,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,62.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,8,701009,0,0,0,0,240,-16.617245823232224,draw,,0,0.6399999856948853,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,9,701010,0,1,1,0,240,-14.540938165679108,draw,187.0,0,0.6800000071525574,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,28.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,9,701010,0,0,1,-1,240,-11.142328118978185,loss,151.0,0,0.7999999523162842,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,56.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,9,701010,1,3,1,2,103,-2.2307435713883024,win,45.0,1,0.8399999737739563,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,47.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,9,701010,0,0,0,0,240,-15.425789629400242,draw,,0,0.6800000071525574,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,10,701011,1,3,1,2,108,-1.401229071576381,win,36.0,1,0.5999999642372131,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP10_AGGRESSIVE_INTERCEPTOR,map_b_split_lane,10,701011,0,0,1,-1,240,-13.855471629445674,loss,46.0,0,0.7999999523162842,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
