path,extension,size_bytes,classification,reason
artifacts/cleanup_audit/starting_branch.txt,.txt,11,KEEP_GOLDEN,canonical closeout directory cleanup_audit
artifacts/cleanup_audit/starting_commit.txt,.txt,45,KEEP_GOLDEN,canonical closeout directory cleanup_audit
artifacts/cleanup_audit/starting_status.txt,.txt,901,KEEP_GOLDEN,canonical closeout directory cleanup_audit
artifacts/cleanup_audit/stash_inventory.txt,.txt,2693,KEEP_GOLDEN,canonical closeout directory cleanup_audit
artifacts/cleanup_audit/worktree_inventory.txt,.txt,230,KEEP_GOLDEN,canonical closeout directory cleanup_audit
artifacts/performance/phase6_1_baseline_off_16_64/benchmark_manifest.json,.json,803,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_baseline_off_16_64/benchmark_summary.json,.json,1713,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_baseline_off_16_64/benchmark_summary.txt,.txt,653,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_baseline_off_16_64/raw_samples.csv,.csv,2959,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cpu_smoke/benchmark_manifest.json,.json,804,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cpu_smoke/benchmark_summary.json,.json,2153,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cpu_smoke/benchmark_summary.txt,.txt,732,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cpu_smoke/raw_samples.csv,.csv,960,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda/raw_samples.csv,.csv,3657,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda_16_64/benchmark_manifest.json,.json,1620,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda_16_64/benchmark_summary.json,.json,4398,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda_16_64/benchmark_summary.txt,.txt,973,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda_16_64/events_basic_16.jsonl,.jsonl,941,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda_16_64/events_basic_64.jsonl,.jsonl,946,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda_16_64/events_full_16.jsonl,.jsonl,942,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda_16_64/events_full_64.jsonl,.jsonl,942,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda_16_64/raw_samples.csv,.csv,8423,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/phase10_baseline/caller_inventory.json,.json,10400,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/condition_summary.csv,.csv,3238,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/episode_results.csv,.csv,6703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/evaluation_manifest.json,.json,37492,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/exit_code.txt,.txt,3,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/final_report.json,.json,2703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/final_report.txt,.txt,582,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/function_inventory.json,.json,11958,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/obstacle_probe.json,.json,1054,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/per_condition.csv,.csv,3238,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/per_episode.csv,.csv,6703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/run_capture.json,.json,575,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/stderr.txt,.txt,0,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/stdout.txt,.txt,8822,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/summary.json,.json,2703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_closeout/phase10_slice_report.json,.json,2103,KEEP_GOLDEN,canonical closeout directory phase10_closeout
artifacts/phase10_closeout/phase10_slice_report.md,.md,1532,KEEP_GOLDEN,canonical closeout directory phase10_closeout
