path,extension,size_bytes,classification,reason
artifacts/performance/phase6_1_baseline_off_16_64/raw_samples.csv,.csv,2959,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cpu_smoke/raw_samples.csv,.csv,960,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda/raw_samples.csv,.csv,3657,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/performance/phase6_1_cuda_16_64/raw_samples.csv,.csv,8423,UNKNOWN,artifact in unclassified subdirectory 'performance'
artifacts/phase10_baseline/condition_summary.csv,.csv,3238,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/episode_results.csv,.csv,6703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/per_condition.csv,.csv,3238,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_baseline/per_episode.csv,.csv,6703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_aggregation_gates/condition_summary.csv,.csv,3238,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_aggregation_gates/episode_results.csv,.csv,6703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_aggregation_gates/per_condition.csv,.csv,3238,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_aggregation_gates/per_episode.csv,.csv,6703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_artifact_writer/condition_summary.csv,.csv,3238,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_artifact_writer/episode_results.csv,.csv,6703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_artifact_writer/per_condition.csv,.csv,3238,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_artifact_writer/per_episode.csv,.csv,6703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_config_loading_preflight/condition_summary.csv,.csv,3238,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_config_loading_preflight/episode_results.csv,.csv,6703,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
artifacts/phase10_equivalence_config_loading_preflight/per_condition.csv,.csv,3238,DELETE,Phase 10 intermediate artifact directory — superseded by phase10_closeout
