path,extension,size_bytes,classification,reason
full.log,.log,65880,UNKNOWN,unclassified extension '.log'
logs/deploy_comm_ablations_20260519_095911.log,.log,2019,DELETE,runtime training log — unreferenced by any report
logs/deploy_comm_ablations_20260519_095923.log,.log,549,DELETE,runtime training log — unreferenced by any report
logs/deploy_comm_ablations_20260519_100020.log,.log,77678,DELETE,runtime training log — unreferenced by any report
logs/eval_latent_deploy_stoch_20260520_214930.log,.log,3908,DELETE,runtime training log — unreferenced by any report
logs/latent_mode_eval_20260530_093441.log.smoke,.smoke,4266,DELETE,runtime training log — unreferenced by any report
logs/latent_v3i9_specialist_router_op356_1m_4v4.err.log,.log,0,DELETE,runtime training log — unreferenced by any report
logs/latent_v3i9_specialist_router_op356_1m_4v4.out.log,.log,8188,DELETE,runtime training log — unreferenced by any report
logs/refactor_sweep.log,.log,2334,DELETE,runtime training log — unreferenced by any report
logs/train_latent_sharp2_hardpool_20260521_083817.log,.log,113124,DELETE,runtime training log — unreferenced by any report
logs/train_latent_sharp_hardpool_20260520_214930.log,.log,35386,DELETE,runtime training log — unreferenced by any report
logs/v5i5_map_b_split_lane_OP5_OP6_OP7_1m_4v4.train.err.log,.log,0,DELETE,runtime training log — unreferenced by any report
logs/v5i5_map_b_split_lane_OP5_OP6_OP7_1m_4v4.train.out.log,.log,26738,DELETE,runtime training log — unreferenced by any report
logs/v6i3_strategy_local_comm_OP5_OP6_OP7_1m_4v4.err.log,.log,0,DELETE,runtime training log — unreferenced by any report
logs/v6i3_strategy_local_comm_OP5_OP6_OP7_1m_4v4.out.log,.log,13198,DELETE,runtime training log — unreferenced by any report
logs/v6i3_strategy_local_comm_OP5_OP6_OP7_1m_4v4_listenerfix.err.log,.log,2584,DELETE,runtime training log — unreferenced by any report
logs/v6i3_strategy_local_comm_OP5_OP6_OP7_1m_4v4_listenerfix.out.log,.log,18055,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092805/chain.log,.log,4491,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092805/_preflight_resolve_presets.py,.py,397,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092815/chain.log,.log,5252,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092815/_preflight_resolve_presets.py,.py,397,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092901/chain.log,.log,983,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092901/preflight.log,.log,1302,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092901/_preflight_resolve_presets.py,.py,397,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092931/chain.log,.log,2837,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092931/preflight.log,.log,1264,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092931/_preflight_resolve_presets.py,.py,434,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092945/chain.log,.log,3181,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092945/preflight.log,.log,1512,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_092945/_preflight_resolve_presets.py,.py,434,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_093003/B_train_plan_faithful_latent_k1_hardpool_1m_4v4.log,.log,6104,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_093003/chain.log,.log,1499,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_093003/preflight.log,.log,1264,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_093003/_preflight_resolve_presets.py,.py,434,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_093815/chain.log,.log,7854,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_093815/_preflight_resolve_presets.py,.py,434,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_093846/chain.log,.log,7854,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_093846/_preflight_resolve_presets.py,.py,434,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_204247/A_train_plan_faithful_no_latent_seed0_hardpool_1m_4v4_multiseed.log,.log,6462,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_204247/chain.log,.log,1572,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_204247/preflight.log,.log,1512,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_204247/stage_timings.csv,.csv,184,DELETE,runtime training log — unreferenced by any report
logs/proof_ladder_20260530_204247/_preflight_resolve_presets.py,.py,434,DELETE,runtime training log — unreferenced by any report
