path,package,size_bytes,lines
rl/__init__.py,rl,55,1
rl/analysis/audit_qphi_context_signal.py,rl,8450,229
rl/analysis/counterfactual_z_swap_eval.py,rl,6569,141
rl/behavior_telemetry.py,rl,14546,358
rl/config/__init__.py,rl,394,10
rl/config/ppo_config.py,rl,42115,742
rl/config_presets.py,rl,16396,422
rl/csia.py,rl,17789,476
rl/curriculum.py,rl,4342,124
rl/custom_ppo/__init__.py,rl,1945,59
rl/custom_ppo/checkpoints/__init__.py,rl,853,28
rl/custom_ppo/checkpoints/archive.py,rl,2223,51
rl/custom_ppo/checkpoints/errors.py,rl,1037,46
rl/custom_ppo/checkpoints/hashing.py,rl,978,31
rl/custom_ppo/checkpoints/loader.py,rl,16886,367
rl/custom_ppo/checkpoints/metadata.py,rl,4489,95
rl/custom_ppo/checkpoints/migrations.py,rl,1755,40
rl/custom_ppo/checkpoints/models.py,rl,4464,158
rl/custom_ppo/checkpoints/state_dict.py,rl,16147,335
rl/custom_ppo/checkpoints/validation.py,rl,4139,96
rl/custom_ppo/communication/__init__.py,rl,1004,30
rl/custom_ppo/communication/channels.py,rl,2037,58
rl/custom_ppo/communication/config.py,rl,3479,100
rl/custom_ppo/communication/corruption.py,rl,3507,95
rl/custom_ppo/communication/gates.py,rl,4910,98
rl/custom_ppo/communication/listener.py,rl,5851,153
rl/custom_ppo/communication/observation.py,rl,3343,92
rl/custom_ppo/communication/runtime.py,rl,8839,240
rl/custom_ppo/communication/telemetry.py,rl,6962,179
rl/custom_ppo/communication/transport.py,rl,11889,304
rl/custom_ppo/csv_writers.py,rl,43358,1096
rl/custom_ppo/curriculum/__init__.py,rl,2728,99
rl/custom_ppo/curriculum/context.py,rl,2556,80
rl/custom_ppo/curriculum/controller.py,rl,32673,752
rl/custom_ppo/curriculum/evaluators/__init__.py,rl,1026,37
rl/custom_ppo/curriculum/evaluators/learnability.py,rl,14476,370
rl/custom_ppo/curriculum/evaluators/matched_seed.py,rl,18288,441
rl/custom_ppo/curriculum/evaluators/online.py,rl,7362,186
rl/custom_ppo/curriculum/isolation.py,rl,7443,209
rl/custom_ppo/curriculum/protocols/__init__.py,rl,750,21
rl/custom_ppo/curriculum/protocols/base.py,rl,1091,42
rl/custom_ppo/curriculum/protocols/v6i1.py,rl,2268,62
rl/custom_ppo/curriculum/protocols/v6i2.py,rl,5132,143
rl/custom_ppo/curriculum/protocols/v6i3.py,rl,2445,59
rl/custom_ppo/curriculum/ranking.py,rl,4214,108
rl/custom_ppo/curriculum/reporting.py,rl,10123,229
rl/custom_ppo/curriculum/schedule.py,rl,6060,167
rl/custom_ppo/curriculum/types.py,rl,6129,211
rl/custom_ppo/curriculum_gates.py,rl,1752,58
rl/custom_ppo/curriculum_runtime.py,rl,4911,124
rl/custom_ppo/diagnostics/__init__.py,rl,2221,73
rl/custom_ppo/diagnostics/aggregation.py,rl,18654,413
rl/custom_ppo/diagnostics/competence.py,rl,9357,242
rl/custom_ppo/diagnostics/counterfactual.py,rl,19254,467
rl/custom_ppo/diagnostics/entropy.py,rl,3934,119
rl/custom_ppo/diagnostics/occupancy.py,rl,1343,36
rl/custom_ppo/diagnostics/results.py,rl,3117,101
rl/custom_ppo/diagnostics/schemas.py,rl,251,8
rl/custom_ppo/diagnostics/specialization.py,rl,4825,126
rl/custom_ppo/diagnostics/switching.py,rl,5250,124
rl/custom_ppo/diagnostics/validation.py,rl,4576,135
rl/custom_ppo/diagnostics_contract.py,rl,1802,49
rl/custom_ppo/distributions.py,rl,3892,113
rl/custom_ppo/episode_stats.py,rl,3476,97
rl/custom_ppo/gate_protocol.py,rl,29733,758
rl/custom_ppo/inference.py,rl,1985,60
rl/custom_ppo/inference_policy.py,rl,34045,650
rl/custom_ppo/latent/__init__.py,rl,286,6
rl/custom_ppo/latent/behavior_policy.py,rl,2023,70
rl/custom_ppo/latent/checkpoint.py,rl,7731,165
rl/custom_ppo/latent/context_buckets.py,rl,10051,259
rl/custom_ppo/latent/credit/__init__.py,rl,465,13
rl/custom_ppo/latent/credit/arc_credit.py,rl,19556,417
rl/custom_ppo/latent/credit/episode/__init__.py,rl,74,3
rl/custom_ppo/latent/credit/episode/advantages.py,rl,3178,87
rl/custom_ppo/latent/credit/episode/auxiliary_losses.py,rl,12722,282
rl/custom_ppo/latent/credit/episode/awrd_targets.py,rl,6934,187
rl/custom_ppo/latent/credit/episode/batch.py,rl,3806,106
rl/custom_ppo/latent/credit/episode/manager.py,rl,26486,523
rl/custom_ppo/latent/credit/episode/preference_targets.py,rl,4038,105
rl/custom_ppo/latent/credit/episode/refresh_targets.py,rl,8310,212
rl/custom_ppo/latent/credit/episode/telemetry.py,rl,4226,98
rl/custom_ppo/latent/credit/episode_credit.py,rl,202,5
rl/custom_ppo/latent/credit/macro_credit.py,rl,11453,251
rl/custom_ppo/latent/credit/refresh_credit.py,rl,3415,82
rl/custom_ppo/latent/intervention_state.py,rl,8247,198
