exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33864-1789679961721458200,33864,2048,1,1,0,0,1.0,1.0,1.0,0.0017951028421521187,0.03813856840133667,0.9741480350494385,1.1017653942108154,1,1,0,0,1.0,3.0,3.0,0.0,0.8757519721984863,0.00048828125,0.006591797340661287,0.0005050691543146968,0.011241546832025051,0.004150390625,0.4150390625,-0.006515624932944775,0.0,0.0,0.0,0.0,0.0017951028421521187,0.004638671875,0.009528451337246224,2.0536907768388737,1.0,1.4043288207627342,0.004399734735488892,0.1392369046807289,0.11972100287675858,0.01587209850549698,0.12114954739809036,0.1412944495677948,0.1570555716753006,0.16152441501617432,0.0,0.0,0.0,5.794998455047607,0.02684099185280502,0.16640625,1.6274109959602356,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.3883594274520874,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33864-1789679961721458200,33864,4096,16,12,0,4,0.75,0.75,0.75,0.003104131668806076,0.04041144996881485,1.2922892570495605,1.8215446472167969,15,11,0,4,0.7333333333333333,1.2666666666666666,1.6,0.3333333333333333,0.8823901414871216,0.00439453125,0.006103515625,3.79550619982183e-05,0.012896941043436527,0.006152343936264515,0.615234375,-0.006541015580296516,0.0,0.0,0.0,0.0,0.003104131668806076,0.010546875186264515,0.009337239651358686,0.8852247003754536,1.0,0.6201263728276054,-0.017729561310261488,0.3729053623974323,0.32279014587402344,0.02972635254263878,0.34123164415359497,0.3730367422103882,0.4097384810447693,0.4111030101776123,0.0,0.0,0.0,6.046472489833832,0.014150463786791079,0.098876953125,2.9159106016159058,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6246859431266785,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33864-1789679961721458200,33864,6144,20,16,0,4,0.8,0.8,0.8,0.0035390034317970276,0.040262266993522644,1.1392771005630493,1.1974530220031738,4,4,0,0,1.0,3.0,3.0,0.0,0.8483078479766846,0.001953125,0.00766601599752903,-0.00021383966668508947,0.013232598081231117,0.0087890625,0.87890625,-0.0065078129991889,0.0,0.0,0.0,0.0,0.0035390034317970276,0.0107421875,0.010920705601165537,1.0165237832035918,1.0,0.6057618373679972,-0.03499574065208435,0.20767347365617753,0.17191749811172485,0.023814810439944267,0.1743532419204712,0.2056179642677307,0.23520919680595398,0.24545559287071228,0.0,0.0,0.0,6.059747219085693,0.016916891757864504,0.1205078125,1.7564874231815337,0.00036348,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.46638014912605286,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33864-1789679961721458200,33864,8192,32,24,0,8,0.75,0.75,0.75,0.002446369733661413,0.03309857100248337,1.3190346956253052,1.8999487161636353,12,8,0,4,0.6666666666666666,1.25,1.3333333333333333,0.08333333333333333,0.9405575394630432,0.0029296875,0.0047363280318677425,-0.0006108455127105117,0.01822023279964924,0.0045410157181322575,0.4541015625,-0.006146484520286322,0.0,0.0,0.0,0.0,0.002446369733661413,0.0074707032181322575,0.009138674853602424,1.2231046371628862,1.0,0.8226349924298508,-0.030831561061657138,0.20443434682157305,0.17844173312187195,0.019742710515856743,0.1874314546585083,0.1998414248228073,0.23265065252780914,0.24149546027183533,0.0,0.0,0.0,5.755170822143555,0.014126783301536407,0.10026041666666667,1.9438646634419758,0.00035964,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4632231891155243,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33864-1789679961721458200,33864,10240,37,27,0,10,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.00228429539129138,0.03683116286993027,1.205193281173706,1.3231035470962524,5,3,0,2,0.6,1.4,1.4,0.0,0.9570993781089783,0.0009765625,0.00644531287252903,-0.0005134250968694687,0.012614884413778782,0.005810546688735485,0.5810546875,-0.006560547277331352,0.0,0.0,0.0,0.0,0.00228429539129138,0.006787109188735485,0.009470677701756358,1.3951864117731718,1.0,0.966476392014766,-0.022957175271585584,0.0754533875733614,0.05308593064546585,0.012119559571146965,0.05915547534823418,0.0768430083990097,0.08944988995790482,0.09041360020637512,0.0,0.0,0.0,6.087244987487793,0.013657129020430148,0.07958984375,1.2684834524989128,0.0003558,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.2740474045276642,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,33864-1789679961721458200,33864,12288,49,36,0,13,0.7346938775510204,0.7346938775510204,0.7346938775510204,0.00229300232604146,0.03357117995619774,1.572779893875122,1.8013719320297241,12,9,0,3,0.75,1.25,1.3333333333333333,0.08333333333333333,0.9484426379203796,0.003662109375,0.0047851563431322575,-0.00024535099510103464,0.01771458052098751,0.003173828125,0.3173828125,-0.006232421845197678,0.0,0.0,0.0,0.0,0.00229300232604146,0.0068359375,0.009152463724603876,1.338678863833972,1.0,0.9115809300871447,-0.01364147210759776,0.17027818518025534,0.12637783586978912,0.029288018122315407,0.13928189873695374,0.16895803809165955,0.2012886106967926,0.2286149263381958,0.0,0.0,0.0,5.871792112077985,0.010642227583697863,0.07170758928571429,1.8652610608509608,0.00035196,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4090239703655243,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,33864-1789679961721458200,33864,14336,54,40,0,14,0.7407407407407407,0.72,0.7407407407407407,0.001873142784461379,0.02900615707039833,0.9578046202659607,1.514782190322876,5,4,0,1,0.8,1.6,1.8,0.2,0.9116609692573547,0.001708984375,0.004833984188735485,-0.0008914823993109167,0.01611204445362091,0.0040527344681322575,0.4052734375,-0.006394531112164259,0.0,0.0,0.0,0.0,0.001873142784461379,0.0057617188431322575,0.008639124702312984,1.4991404122740941,1.0,1.1096378786178274,-0.0241497949231416,0.18415514677762984,0.12715983390808105,0.04092688858509064,0.140714630484581,0.1765698492527008,0.23870861530303955,0.2463197559118271,0.0,0.0,0.0,5.9468060493469235,0.012790842447429895,0.0900390625,1.698246455192566,0.00034812,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4502217769622803,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,33864-1789679961721458200,33864,16384,65,45,0,20,0.6923076923076923,0.66,0.6923076923076923,0.0014919362729415298,0.03080548159778118,1.4024685621261597,1.7075145244598389,11,5,0,6,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.966545820236206,0.0009765625,0.004833984188735485,-7.891273708082736e-05,0.015206142328679562,0.003027343889698386,0.302734375,-0.006333984434604645,0.0,0.0,0.0,0.0,0.0014919362729415298,0.004003906389698386,0.008615791586635169,2.15130910644931,1.0,1.5815561759189243,-0.034711042791604994,0.09368587806820869,0.08307556062936783,0.01057957299053669,0.0835883691906929,0.0885804146528244,0.10686630010604858,0.11566747725009918,0.0,0.0,0.0,5.95736780166626,0.015317566972225905,0.0880859375,1.3768280744552612,0.00034428000000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.3123127520084381,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,33864-1789679961721458200,33864,18432,75,55,0,20,0.7333333333333333,0.72,0.7333333333333333,0.0039351144805550575,0.0425989031791687,0.9220373630523682,1.3780572414398193,10,10,0,0,1.0,2.2,2.2,0.0,0.9322032332420349,0.0048828125,0.006787109654396772,3.2074167393147945e-05,0.015609804540872574,0.007617187686264515,0.76171875,-0.006341796834021807,0.0,0.0,0.0,0.0,0.0039351144805550575,0.012500000186264515,0.010697579331463203,0.8557378747355894,1.0,0.5073031549099457,-0.019155508663970977,0.13488870486617088,0.11269064247608185,0.018079567700624466,0.1139436811208725,0.13562536239624023,0.15628980100154877,0.1645413339138031,0.0,0.0,0.0,5.905416667461395,0.011385753750801086,0.049560546875,2.0743363201618195,0.00034044,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.35881590843200684,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,33864-1789679961721458200,33864,20480,85,60,0,25,0.7058823529411765,0.68,0.7058823529411765,0.001792481867596507,0.03485782444477081,0.5696520805358887,1.4023078680038452,10,5,0,5,0.5,1.0,1.3,0.3,0.9351891279220581,0.001220703125,0.004931640811264515,-0.0006603067740797997,0.020108181983232498,0.0028320313431322575,0.283203125,-0.006048828363418579,0.0,0.0,0.0,0.0,0.001792481867596507,0.0040527344681322575,0.00979360961355269,2.415947490035048,1.0,1.492161958552148,-0.028544350806623698,0.12375352680683135,0.10101749002933502,0.022790713235735893,0.10402634739875793,0.11566010117530823,0.14404451847076416,0.17955660820007324,0.0,0.0,0.0,5.858146905899048,0.0119837065867614,0.0771484375,1.1580416440963746,0.0003366,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.35699933767318726,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
