exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44144-1789653904153423200,44144,2048,1,1,0,0,1.0,1.0,1.0,0.001874792156741023,0.03226257115602493,1.1793320178985596,1.059135913848877,1,1,0,0,1.0,3.0,3.0,0.0,0.8773259520530701,0.00048828125,0.006103516090661287,0.0006582280620932579,0.011447666212916374,0.004833984188735485,0.4833984375,-0.00647265650331974,0.0,0.0,0.0,0.0,0.001874792156741023,0.005322265438735485,0.009129989659413695,1.7151107275203767,1.0,1.2159184203403706,-0.00861276569776237,0.13620091676712037,0.12644290924072266,0.007411137223243713,0.1289086639881134,0.13355126976966858,0.14499466121196747,0.14816707372665405,0.0,0.0,0.0,5.925471782684326,0.011392413172870874,0.079296875,1.3527905821800232,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.37096086144447327,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44144-1789653904153423200,44144,4096,16,13,0,3,0.8125,0.8125,0.8125,0.003674484323710203,0.04010910168290138,1.8794053792953491,1.9013947248458862,15,12,0,3,0.8,1.5333333333333334,1.6,0.06666666666666667,0.8892557621002197,0.005126953125,0.007031249813735485,0.00011502683628350496,0.014431790448725224,0.006298827938735485,0.6298828125,-0.006425781175494194,0.0,0.0,0.0,0.0,0.003674484323710203,0.011425781063735485,0.010667954134987667,0.9335922404992897,1.0,0.5623439479283737,-0.01764769060537219,0.37782277166843414,0.2985914647579193,0.03761987015604973,0.33616727590560913,0.3810928165912628,0.41498735547065735,0.42440810799598694,0.0,0.0,0.0,5.823209643363953,0.011253930540988222,0.079833984375,2.5122805386781693,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6327510476112366,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,44144-1789653904153423200,44144,6144,20,17,0,3,0.85,0.85,0.85,0.0030239063780754805,0.04068474844098091,1.601102352142334,1.2474989891052246,4,4,0,0,1.0,2.0,2.0,0.0,0.932216227054596,0.001953125,0.006884765811264515,0.0001639359979890287,0.010869083926081657,0.008105468936264515,0.810546875,-0.006802734918892384,0.0,0.0,0.0,0.0,0.0030239063780754805,0.010058593936264515,0.009643020792282186,0.9585894672666065,1.0,0.6762434907405896,-0.02448835439281538,0.09646822698414326,0.0878237634897232,0.008103122003376484,0.08897196501493454,0.09534254670143127,0.10580381006002426,0.11447963118553162,0.0,0.0,0.0,6.133530795574188,0.014716389050590806,0.086181640625,1.487328678369522,0.00036348,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.324790358543396,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,44144-1789653904153423200,44144,8192,33,26,1,6,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.0037992228753864765,0.04129645600914955,1.4316661357879639,1.5305485725402832,13,9,1,3,0.6923076923076923,1.4615384615384615,1.6153846153846154,0.15384615384615385,0.8446099162101746,0.003173828125,0.00791015662252903,0.0007284611347131431,0.012295404449105263,0.00844726525247097,0.8447265625,-0.006558593828231096,0.0,0.0,0.0,0.0,0.0037992228753864765,0.01162109337747097,0.011166123018483631,0.9607669337891209,1.0,0.5643212126435592,-0.02109870645734999,0.3649095396200816,0.3212120532989502,0.024872537702322006,0.34548425674438477,0.3561546504497528,0.402193158864975,0.4024032652378082,0.0,0.0,0.0,5.809413697984484,0.011901086196303368,0.07899305555555555,3.196376019053989,0.00035964,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6033353209495544,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,44144-1789653904153423200,44144,10240,40,32,1,7,0.8,0.8,0.8,0.0035763042978942394,0.042521633207798004,1.0001323223114014,1.2754310369491577,7,6,0,1,0.8571428571428571,2.4285714285714284,2.4285714285714284,0.0,0.9036378860473633,0.002685546875,0.007617187686264515,0.0001858090836321935,0.014234292320907116,0.008056640625,0.8056640625,-0.006501953117549419,0.0,0.0,0.0,0.0,0.0035763042978942394,0.0107421875,0.011222213037399342,1.0445887719449505,1.0,0.605216386435536,-0.03216622846666724,0.16129278987646103,0.13020342588424683,0.02376798540353775,0.1333502233028412,0.15806731581687927,0.19644857943058014,0.19924518465995789,0.0,0.0,0.0,5.8787895202636715,0.014345566823612899,0.103125,1.6013578534126283,0.0003558,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.39592245221138,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,44144-1789653904153423200,44144,12288,51,40,1,10,0.7843137254901961,0.78,0.7843137254901961,0.0022172266617417336,0.034571826457977295,1.1614711284637451,1.8295466899871826,11,8,0,3,0.7272727272727273,1.5454545454545454,1.5454545454545454,0.0,0.9403774738311768,0.003173828125,0.004833984654396772,-0.0003636540495790541,0.016189562156796455,0.0040039061568677425,0.400390625,-0.006398437544703484,0.0,0.0,0.0,0.0,0.0022172266617417336,0.0071777342818677425,0.008790461681201123,1.2245141463731746,1.0,0.8913044129331886,-0.023193395164396082,0.19971508639199392,0.1810312271118164,0.014836260117590427,0.18458282947540283,0.19651895761489868,0.21855539083480835,0.22844327986240387,0.0,0.0,0.0,5.928293228149414,0.013369239018564778,0.06780133928571429,1.3228108882904053,0.00035196,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4467337727546692,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,44144-1789653904153423200,44144,14336,56,43,1,12,0.7678571428571429,0.76,0.7678571428571429,0.001424491056241095,0.03492909297347069,1.3293156623840332,1.7335776090621948,5,3,0,2,0.6,1.2,1.2,0.0,0.8974893093109131,0.0009765625,0.005566406529396772,-0.00019399818847887218,0.01640123501420021,0.0020996094681322575,0.2099609375,-0.006527343764901161,0.0,0.0,0.0,0.0,0.001424491056241095,0.0030761719681322575,0.009618215735827107,3.125667280033442,1.0,2.121215139257571,-0.019789428716259345,0.3096497654914856,0.2594262957572937,0.04349684342741966,0.26433056592941284,0.2945883274078369,0.3695414662361145,0.3724874258041382,0.0,0.0,0.0,5.9960647991725375,0.016225364674547955,0.10212053571428571,1.465489728110177,0.00034812,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.5550445318222046,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,44144-1789653904153423200,44144,16384,71,52,2,17,0.7323943661971831,0.68,0.7323943661971831,0.0036225649528205395,0.04284488782286644,0.4540340006351471,1.5132101774215698,15,9,1,5,0.6,1.4666666666666666,1.6,0.13333333333333333,0.8622345924377441,0.002685546875,0.006542968563735485,-2.7102927560918033e-05,0.0198378823697567,0.0074707032181322575,0.7470703125,-0.006007812917232513,0.0,0.0,0.0,0.0,0.0036225649528205395,0.010156250093132257,0.01149566342428443,1.1317692602702705,1.0,0.5914802591396906,-0.012969686849308866,0.30822563597134184,0.2760322391986847,0.036861661821603775,0.2760779559612274,0.29775455594062805,0.3563682436943054,0.38284623622894287,0.0,0.0,0.0,5.477169241224017,0.012040421050707144,0.07645089285714286,2.2914185523986816,0.00034428000000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.5616546869277954,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,44144-1789653904153423200,44144,18432,78,57,2,19,0.7307692307692307,0.68,0.7307692307692307,0.003052379935979843,0.03577004373073578,0.3835380971431732,1.3187638521194458,7,5,0,2,0.7142857142857143,2.142857142857143,2.142857142857143,0.0,0.9068273901939392,0.001953125,0.005761719308793545,-0.0007012466667219996,0.02137807384133339,0.00634765625,0.634765625,-0.0060839843936264515,0.0,0.0,0.0,0.0,0.003052379935979843,0.00830078125,0.010930926102446392,1.3166964743194591,1.0,0.7328528914955995,-0.023035258520394564,0.15672331055005392,0.1252700835466385,0.02328280732035637,0.12999233603477478,0.15290626883506775,0.18704892694950104,0.19539473950862885,0.0,0.0,0.0,5.622427993350559,0.014887377593873275,0.11176215277777778,1.6649683713912964,0.00034044,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4025419056415558,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,44144-1789653904153423200,44144,20480,88,62,2,24,0.7045454545454546,0.64,0.7045454545454546,0.0029274416156113148,0.038226157426834106,0.8080570697784424,1.4230130910873413,10,5,0,5,0.5,0.8,0.9,0.1,0.9358125925064087,0.001220703125,0.006494141183793545,0.00013046068488620222,0.017521444708108902,0.0064941407181322575,0.6494140625,-0.006234374828636646,0.0,0.0,0.0,0.0,0.0029274416156113148,0.0077148438431322575,0.01090711753204232,1.4136000875329484,1.0,0.8079965011455952,-0.022973967849143913,0.1329965814948082,0.11777772009372711,0.011552168987691402,0.11955034732818604,0.13697569072246552,0.14584341645240784,0.15109598636627197,0.0,0.0,0.0,5.784614222390311,0.016544738460132585,0.09151785714285714,1.3623437540871757,0.0003366,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.36052361130714417,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
