episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,formal_smoke_dryrun,25152,1360,0,85,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,85,0.4399999976158142,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,6.738247501148897,1.0,1.0,-0.010186538100242615,0.0,2.0,200.0,-0.4000000059604645,0.7159877419471741,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
2,formal_smoke_dryrun,25152,1664,0,104,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,104,0.3999999761581421,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,5.785435603215144,1.0,0.5,-0.02523741126060486,0.029999999329447746,1.0,100.0,0.0,0.5548058152198792,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
3,formal_smoke_dryrun,25152,1680,0,105,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,105,0.7199999690055847,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,6.27059093656994,-1.0,-0.5,-0.009088993072509766,0.0,-1.0,-100.0,-0.20000000298023224,-0.5886306762695312,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
4,formal_smoke_dryrun,25152,1840,0,115,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,115,0.5600000023841858,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,7.592360521399456,1.0,0.5,-0.018702611327171326,0.04999999701976776,1.0,100.0,-0.20000000298023224,0.5204494595527649,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
5,formal_smoke_dryrun,25152,1872,0,117,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,117,0.5600000023841858,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,6.506886017628205,-1.0,-0.5,-0.0029381513595581055,0.0,-1.0,-100.0,0.0,-0.5547268986701965,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
6,formal_smoke_dryrun,25152,1888,0,118,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,118,0.5600000023841858,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,6.755870237188824,1.0,0.5,-0.006136640906333923,0.03500000014901161,1.0,100.0,-0.20000000298023224,0.5203385353088379,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
7,formal_smoke_dryrun,25152,2000,0,125,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,125,0.6399999856948853,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,6.560205078125,1.0,0.5,0.008652955293655396,0.0,1.0,100.0,0.0,0.5549740791320801,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
8,formal_smoke_dryrun,25152,2016,0,126,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,126,0.5999999642372131,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,6.364515032087054,-1.0,-0.5,-0.0017034411430358887,0.0,-1.0,-100.0,-0.20000000298023224,-0.5883288383483887,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
9,formal_smoke_dryrun,25152,2048,0,128,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,128,0.47999998927116394,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,6.216181755065918,-1.0,-0.5,0.017123088240623474,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867398977279663,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
10,formal_smoke_dryrun,25152,2048,0,128,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,128,0.5999999642372131,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,7.378142356872559,-1.0,-0.5,0.015412211418151855,0.0,-1.0,-100.0,0.0,-0.5539324283599854,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
