episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,g0_v2_nopen_seed2600003,50428,1568,0,98,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,98,0.6800000071525574,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,7.987094801299426,-1.0,-0.5,0.01682904362678528,0.0,-1.0,-100.0,0.0,-0.5538710355758667,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
2,g0_v2_nopen_seed2600003,50428,1584,0,99,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,99,0.7199999690055847,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,7.767882067747791,-1.0,-0.5,0.016402006149291992,0.0,-1.0,-100.0,0.0,-0.5538895130157471,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
3,g0_v2_nopen_seed2600003,50428,1632,0,102,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,102,0.5199999809265137,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,7.290575214460785,1.0,0.5,-0.007421121001243591,0.04999999701976776,1.0,100.0,0.0,0.5564396381378174,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
4,g0_v2_nopen_seed2600003,50428,1920,0,120,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,120,0.6800000071525574,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,6.159488423665365,1.0,1.0,0.007856026291847229,0.0,2.0,200.0,0.0,0.7618002891540527,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
5,g0_v2_nopen_seed2600003,50428,1952,0,122,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,122,0.5999999642372131,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,5.564700767642162,1.0,0.5,-0.007981881499290466,0.0,1.0,100.0,0.0,0.5542541742324829,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
6,g0_v2_nopen_seed2600003,50428,1984,0,124,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,124,0.7199999690055847,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,6.817638766381048,-1.0,-0.5,0.008641362190246582,0.0,-1.0,-100.0,0.0,-0.5542256832122803,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
7,g0_v2_nopen_seed2600003,50428,2048,0,128,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,128,0.5199999809265137,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,6.062814712524414,1.0,0.5,-0.014938488602638245,0.04999999701976776,1.0,100.0,0.0,0.5561151504516602,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
8,g0_v2_nopen_seed2600003,50428,2080,1,2,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,130,0.5999999642372131,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,7.155489408052885,-1.0,-0.5,0.017029792070388794,0.019999999552965164,-1.0,-100.0,0.0,-0.5529952049255371,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
9,g0_v2_nopen_seed2600003,50428,2160,1,7,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,3,-3,135,0.6800000071525574,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,6.234914822048611,-1.0,-0.5,0.00691533088684082,0.019999999552965164,-1.0,-100.0,0.0,-0.5534338355064392,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
10,g0_v2_nopen_seed2600003,50428,2432,1,24,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,152,0.5999999642372131,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,6.991405286287007,1.0,0.5,-0.013329550623893738,0.02499999850988388,1.0,100.0,0.0,0.5551046133041382,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
11,g0_v2_nopen_seed2600003,50428,2480,1,27,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,155,0.5600000023841858,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,5.072328629032258,-1.0,-1.0,-0.0017365217208862305,0.0,-2.0,-200.0,0.0,-0.7616397142410278,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
12,g0_v2_nopen_seed2600003,50428,2592,1,34,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,162,0.5600000023841858,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,5.910777150848766,1.0,0.5,-0.0071145594120025635,0.014999999664723873,1.0,100.0,0.0,0.5549408793449402,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
13,g0_v2_nopen_seed2600003,50428,3104,1,66,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,194,0.5600000023841858,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,5.9467226008779,-1.0,-0.5,-0.001687571406364441,0.019999999552965164,-1.0,-100.0,0.0,-0.5538067817687988,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
14,g0_v2_nopen_seed2600003,50428,3200,1,72,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,200,0.6800000071525574,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,5.892811279296875,-1.0,-0.5,0.017127081751823425,0.019999999552965164,-1.0,-100.0,0.0,-0.5529909729957581,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
15,g0_v2_nopen_seed2600003,50428,3312,1,79,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,207,0.6800000071525574,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,6.885516917647947,1.0,0.5,-0.0019419044256210327,0.0,1.0,100.0,0.0,0.5545157194137573,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
16,g0_v2_nopen_seed2600003,50428,3808,1,110,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,116,0.5999999642372131,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,6.173973872743804,-1.0,-0.5,-0.0025774240493774414,0.0,-1.0,-100.0,0.0,-0.5547112226486206,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
17,g0_v2_nopen_seed2600003,50428,3824,1,111,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP12,11,1,3,1,2,115,0.3999999761581421,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,5.825593898607337,1.0,0.5,-0.0013826340436935425,0.0,1.0,100.0,0.0,0.5545399188995361,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
18,g0_v2_nopen_seed2600003,50428,3824,1,111,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,239,0.5600000023841858,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.0,5.465711521803086,-1.0,-0.5,0.01648731529712677,0.019999999552965164,-1.0,-100.0,0.0,-0.5530186891555786,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
