episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,g0_v2_seed2500003,47952,1488,0,93,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,93,0.4399999976158142,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,6.426192745085685,1.0,0.5,-0.009278684854507446,0.03999999910593033,1.0,100.0,0.0,0.5559278726577759,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
2,g0_v2_seed2500003,47952,1632,0,102,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,102,0.47999998927116394,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,6.997883516199448,-1.0,-0.5,-0.02082201838493347,0.0,-1.0,-100.0,-0.20000000298023224,-0.5891096591949463,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
3,g0_v2_seed2500003,47952,1648,0,103,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,103,0.5199999809265137,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,6.554275068264563,1.0,0.5,-0.008665546774864197,0.0,1.0,100.0,0.0,0.5542246103286743,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
4,g0_v2_seed2500003,47952,1664,0,104,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,104,0.5199999809265137,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,6.807225740872896,1.0,0.5,-0.009603604674339294,0.014999999664723873,1.0,100.0,0.0,0.5548332333564758,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
5,g0_v2_seed2500003,47952,1728,0,108,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,108,0.5999999642372131,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,7.206274527090567,-1.0,-0.5,-0.0015853047370910645,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5875060558319092,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
6,g0_v2_seed2500003,47952,1792,0,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,112,0.47999998927116394,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,6.7249347141810825,-1.0,-0.5,0.017382293939590454,0.0,-1.0,-100.0,-0.4000000059604645,-0.6193276643753052,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
7,g0_v2_seed2500003,47952,1808,0,113,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,113,0.5199999809265137,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,7.307942348243916,1.0,0.5,-0.009700566530227661,0.0,1.0,100.0,0.0,0.5541797876358032,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
8,g0_v2_seed2500003,47952,1840,0,115,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,115,0.5999999642372131,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,6.912504776664402,1.0,0.0,-0.0030362308025360107,0.0,0.0,0.0,0.0,0.24474026262760162,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
9,g0_v2_seed2500003,47952,1920,0,120,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,120,0.5600000023841858,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,6.838616943359375,-1.0,-0.5,-0.0018696784973144531,0.0,-1.0,-100.0,0.0,-0.554680585861206,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
10,g0_v2_seed2500003,47952,2016,0,126,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,126,0.5999999642372131,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,6.675558423239087,1.0,0.5,-0.002535775303840637,0.0,1.0,100.0,0.0,0.5544899702072144,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
11,g0_v2_seed2500003,47952,2160,1,7,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,135,0.5600000023841858,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,6.165620478877315,-1.0,-0.5,0.0066346824169158936,0.0,-1.0,-100.0,-0.4000000059604645,-0.6197414994239807,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
12,g0_v2_seed2500003,47952,2272,1,14,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,142,0.5600000023841858,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,7.022038419481734,1.0,0.5,-0.019511163234710693,0.029999999329447746,1.0,100.0,0.0,0.5550535321235657,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
13,g0_v2_seed2500003,47952,2384,1,21,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,149,0.6800000071525574,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,6.784239084128566,-1.0,-0.5,-0.0021365731954574585,0.019999999552965164,-1.0,-100.0,0.0,-0.5538262128829956,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
14,g0_v2_seed2500003,47952,2512,1,29,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,157,0.6399999856948853,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,6.529564341162421,-1.0,-0.5,-0.0026872754096984863,0.0,-1.0,-100.0,0.0,-0.5547159910202026,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
15,g0_v2_seed2500003,47952,2880,1,52,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,180,0.5999999642372131,0,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,5.422899712456597,1.0,0.5,0.0017898976802825928,0.029999999329447746,1.0,100.0,0.0,0.555974006652832,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
16,g0_v2_seed2500003,47952,3072,1,64,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,88,0.3999999761581421,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,5.271347392689098,1.0,0.5,-0.007983222603797913,0.0,1.0,100.0,0.0,0.5542541742324829,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
17,g0_v2_seed2500003,47952,3280,1,77,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,205,0.5999999642372131,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,5.5441293111661585,-1.0,-0.5,-0.0020133256912231445,0.019999999552965164,-1.0,-100.0,0.0,-0.5538209080696106,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
18,g0_v2_seed2500003,47952,3520,1,92,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP12,11,1,3,1,2,127,0.5600000023841858,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,7.254267174427904,1.0,0.5,-0.003955096006393433,0.0,1.0,100.0,0.0,0.5544285774230957,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
