update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,47952-1785547344928426400,47952,2048,10,6,4,0,0.6,0.6,0.6,-0.031409233808517456,0.12609852850437164,-1.2196846008300781,0.8423107266426086,10,6,4,0,0.6,0.3,2.6,2.3,-0.011040210723876953,0.0009765625,0.0017578130355104804,0.003945465199649334,0.009807128459215164,-0.000732421875,-0.0732421875,-0.13330078125,0.0,0.0,0.0,0.0,-0.031409233808517456,0.000244140625,0.005195961450226605,21.195839939735016,1.0,543.77270699216,-0.012365746748400852,1.6227208226919174,1.4403549432754517,0.13587400317192078,1.4990419149398804,1.5728473663330078,1.7814191579818726,1.9717085361480713,0.0,0.0,0.0,3.4164915084838867,0.004435384151292965,0.0390625,1.5976554239168763,0.0004989759999999999,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.8469475507736206,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,47952-1785547344928426400,47952,4096,20,10,10,0,0.5,0.5,0.5,-0.049516819417476654,0.13025669753551483,-1.9335830211639404,1.2338852882385254,10,4,6,0,0.4,-0.2,2.1,2.3,-0.008725285530090332,-0.0009765625,-0.00937500037252903,0.0016232960624620318,0.00624999962747097,-0.02392578125,-2.392578125,-0.17099609971046448,0.0,0.0,0.0,0.0,-0.049516819417476654,-0.02490234375,-0.007406676450045779,0.2974169462703489,1.0,6.86639117329232,-0.005285204271785915,3.6053185760974884,3.0970897674560547,0.30693215131759644,3.1941990852355957,3.6651155948638916,3.9544575214385986,4.055905342102051,0.0,0.0,0.0,4.178309917449951,0.0046827166734146886,0.032958984375,4.281535509973764,0.000497952,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.2392566204071045,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,47952-1785547344928426400,47952,6144,32,20,11,1,0.625,0.625,0.625,-0.05433245003223419,0.12902458012104034,-2.428950309753418,1.3270930051803589,12,10,1,1,0.8333333333333334,0.9166666666666666,1.75,0.8333333333333334,0.01458519697189331,0.004150390625,-0.014062500558793545,0.0012066829949617386,0.002768554724752903,-0.031982421875,-3.1982421875,-0.18203124403953552,0.0,0.0,0.0,0.0,-0.05433245003223419,-0.02783203125,-0.013068691128864884,0.4695389090566585,1.0,6.540115677825623,-0.0049198832421097904,4.138043090701103,3.7483913898468018,0.275094211101532,3.9314279556274414,4.052444934844971,4.439517021179199,4.937530517578125,0.0,0.0,0.0,4.346133917570114,0.008098929720290471,0.0673828125,3.7628554105758667,0.000496928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.3173794746398926,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,47952-1785547344928426400,47952,8192,40,26,12,2,0.65,0.65,0.65,-0.05299874022603035,0.12774373590946198,-2.589416980743408,1.257416009902954,8,6,1,1,0.75,0.875,1.5,0.625,0.05518680810928345,0.002197265625,-0.012158202938735485,0.0006289685261435807,0.0024145501665771008,-0.028564453125,-2.8564453125,-0.17851562798023224,0.0,0.0,0.0,0.0,-0.05299874022603035,-0.0263671875,-0.011397323265555315,0.43223764491037975,1.0,6.770113720566961,-0.0036200009926687926,3.6192050874233246,3.179844379425049,0.2711350917816162,3.2567005157470703,3.7195348739624023,3.9404897689819336,3.9710874557495117,0.0,0.0,0.0,4.3034608364105225,0.006362724881910253,0.052978515625,6.6931456085294485,0.000495904,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.2222272157669067,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,47952-1785547344928426400,47952,10240,50,30,13,7,0.6,0.6,0.6,-0.05217103660106659,0.12471960484981537,-2.8458120822906494,1.038205623626709,10,4,1,5,0.4,0.3,0.8,0.5,0.057364583015441895,0.000244140625,-0.01181640662252903,0.0005591532681137323,0.0017333982978016138,-0.027587890625,-2.7587890625,-0.17568358778953552,0.0,0.0,0.0,0.0,-0.05217103660106659,-0.02734375,-0.011243268731050193,0.4111673623291562,1.0,6.424764819189626,-0.005494338634889573,2.6243108212947845,2.343665838241577,0.22143177688121796,2.386220932006836,2.558408737182617,2.991217613220215,3.0998268127441406,0.0,0.0,0.0,4.242733716964722,0.004208224949252326,0.0238037109375,4.483241215348244,0.00049488,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.0079877376556396,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,47952-1785547344928426400,47952,12288,61,37,14,10,0.6065573770491803,0.62,0.6065573770491803,-0.05407773703336716,0.12648287415504456,-3.0598185062408447,1.2691072225570679,11,7,1,3,0.6363636363636364,0.8181818181818182,1.2727272727272727,0.45454545454545453,0.10765457153320312,0.002197265625,-0.01289062574505806,0.0004891125136055052,0.0026171873323619366,-0.030517578125,-3.0517578125,-0.18105469644069672,0.0,0.0,0.0,0.0,-0.05407773703336716,-0.0283203125,-0.0121140507835662,0.427736206913652,1.0,6.392878029247292,-0.0019931171846110374,3.02335724234581,2.675400733947754,0.27508705854415894,2.7134172916412354,2.932750701904297,3.398850202560425,3.638657808303833,0.0,0.0,0.0,4.318633615970612,0.00400971149065299,0.0224609375,7.946234306320548,0.000493856,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1988499164581299,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,47952-1785547344928426400,47952,14336,70,43,16,11,0.6142857142857143,0.66,0.6142857142857143,-0.05270317196846008,0.1311618536710739,-3.2876088619232178,1.2633155584335327,9,6,2,1,0.6666666666666666,0.8888888888888888,1.6666666666666667,0.7777777777777778,0.16072261333465576,0.001708984375,-0.012451171875,0.0005206584464758635,0.002912597730755806,-0.02783203125,-2.783203125,-0.17861327528953552,0.0,0.0,0.0,0.0,-0.05270317196846008,-0.026123046875,-0.011592857830692083,0.4437619441644063,1.0,6.8371212218449795,-0.006554318155394867,2.5647885501384735,2.259838581085205,0.2014332115650177,2.371201992034912,2.489917755126953,2.827327251434326,2.9921438694000244,0.0,0.0,0.0,4.2709000408649445,0.004880152082478162,0.0311279296875,6.209885310381651,0.000492832,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.157349705696106,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,47952-1785547344928426400,47952,16384,79,47,16,16,0.5949367088607594,0.6,0.5949367088607594,-0.055153556168079376,0.12720640003681183,-3.6225876808166504,1.2914390563964844,9,4,0,5,0.4444444444444444,0.6666666666666666,1.2222222222222223,0.5555555555555556,0.1686301827430725,0.000732421875,-0.013720703311264515,0.00013619876699522138,0.0013964842073619366,-0.030517578125,-3.0517578125,-0.18291015923023224,0.0,0.0,0.0,0.0,-0.055153556168079376,-0.02978515625,-0.013337532567675225,0.44777622381790955,1.0,6.140777537559323,0.003858574000852449,3.0800152165549144,2.860900640487671,0.15070156753063202,2.8884167671203613,3.0745627880096436,3.2545711994171143,3.3333511352539062,0.0,0.0,0.0,4.287242480686733,0.013471181454536105,0.13002232142857142,14.880739756992885,0.000491808,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1775274276733398,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,47952-1785547344928426400,47952,18432,89,53,17,19,0.5955056179775281,0.54,0.5955056179775281,-0.055023081600666046,0.13035103678703308,-3.5522866249084473,1.3308615684509277,10,6,1,3,0.6,0.6,1.2,0.6,0.22173941135406494,0.001708984375,-0.01259765587747097,0.000849282369017601,0.0029565426521003246,-0.030029296875,-3.0029296875,-0.185546875,0.0,0.0,0.0,0.0,-0.055023081600666046,-0.0283203125,-0.011646199622191489,0.411216804383324,1.0,6.551492802461044,-0.005443780741188675,2.4410745352506638,2.27325177192688,0.14329132437705994,2.3005995750427246,2.3933804035186768,2.633697032928467,2.819439172744751,0.0,0.0,0.0,4.258198171854019,0.007134510844480246,0.064697265625,4.772985300049186,0.000490784,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1740738153457642,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,47952-1785547344928426400,47952,20480,97,59,17,21,0.6082474226804123,0.64,0.6082474226804123,-0.05635358765721321,0.12583819031715393,-3.9443678855895996,1.2329044342041016,8,6,0,2,0.75,1.0,1.25,0.25,0.20471948385238647,0.00244140625,-0.01430664025247097,0.000383081758627668,0.001582031138241291,-0.03271484375,-3.271484375,-0.18720702826976776,0.0,0.0,0.0,0.0,-0.05635358765721321,-0.0302734375,-0.01381536202825373,0.4563375299129416,1.0,6.183666608826927,-0.002769789076410234,2.5778470933437347,2.293076276779175,0.18265150487422943,2.378946304321289,2.541718006134033,2.81062388420105,2.999293804168701,0.0,0.0,0.0,4.19565936923027,0.008730060078960378,0.0721435546875,5.9626554399728775,0.00048976,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.0994857549667358,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
