update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,39484-1785615781575314800,39484,2048,6,0,6,0,0.0,0.0,0.0,-0.04025892913341522,0.09024776518344879,-1.5559884309768677,0.821077287197113,6,0,6,0,0.0,-1.6666666666666667,1.3333333333333333,3.0,-0.004127383232116699,-0.0029296875,-0.007568358909338713,0.0019101009238511324,0.008041991852223873,-0.00732421875,-0.732421875,-0.14853516221046448,0.0,0.0,0.0,0.0,-0.04025892913341522,-0.01025390625,-0.005080335715319961,0.49540537879807156,1.0,14.48430230266264,-0.010925750917522237,2.4444140940904617,2.24074649810791,0.21043235063552856,2.2462151050567627,2.4053988456726074,2.8061561584472656,2.909273624420166,0.0,0.0,0.0,3.750681161880493,0.0035933134859078564,0.028076171875,2.134710640180856,0.0004965866666666667,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.8227699398994446,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,39484-1785615781575314800,39484,4096,17,4,12,1,0.23529411764705882,0.23529411764705882,0.23529411764705882,-0.042357586324214935,0.08310447633266449,-1.638718605041504,0.9475115537643433,11,4,6,1,0.36363636363636365,-0.6363636363636364,1.9090909090909092,2.5454545454545454,-0.02630484104156494,-0.001220703125,-0.00590820237994194,0.001065341173671186,0.004777831956744194,-0.000732421875,-0.0732421875,-0.16445311903953552,0.0,0.0,0.0,0.0,-0.042357586324214935,-0.001953125,-0.004447409097338095,2.2759081928423694,1.0,84.15690861103333,-0.008725051418878138,2.0886634290218353,1.807945728302002,0.1931951940059662,1.852170467376709,2.072958469390869,2.3789560794830322,2.4840478897094727,0.0,0.0,0.0,4.029798209667206,0.007311612986086402,0.0615234375,2.8984288219362497,0.0004931733333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.959892749786377,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,39484-1785615781575314800,39484,6144,26,11,13,2,0.4230769230769231,0.4230769230769231,0.4230769230769231,-0.044041708111763,0.07629448175430298,-2.049264430999756,0.9982425570487976,9,7,1,1,0.7777777777777778,0.7777777777777778,1.7777777777777777,1.0,0.006642580032348633,0.002685546875,-0.008642577566206455,0.0007617217488586903,0.002836913801729679,0.006591796875,0.6591796875,-0.17832031846046448,0.0,0.0,0.0,0.0,-0.044041708111763,0.00927734375,-0.007742918678559363,0.8345151771898259,1.0,19.218981670135307,-0.004491475265240297,2.3524544835090637,2.0207529067993164,0.20865292847156525,2.1308255195617676,2.3070340156555176,2.6502304077148438,2.7474775314331055,0.0,0.0,0.0,4.295850157737732,0.007896059076301754,0.0653076171875,3.9366178289055824,0.00048976,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.9949215054512024,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,39484-1785615781575314800,39484,8192,35,13,14,8,0.37142857142857144,0.37142857142857144,0.37142857142857144,-0.04649737849831581,0.07581174373626709,-2.4519858360290527,0.9278205037117004,9,2,1,6,0.2222222222222222,0.4444444444444444,1.1111111111111112,0.6666666666666666,0.04062467813491821,-0.0009765625,-0.009716796688735485,0.0007381158648058772,0.003447265364229679,0.005615234375,0.5615234375,-0.18271484971046448,0.0,0.0,0.0,0.0,-0.04649737849831581,0.004638671875,-0.008670451381476596,1.8687639158699334,1.0,39.38098525781297,0.006962543353438377,2.4898881117502847,2.3304452896118164,0.09416847676038742,2.385235548019409,2.5031545162200928,2.5812742710113525,2.5958218574523926,0.0,0.0,0.0,4.312273820241292,0.01632755866739899,0.1611328125,8.812711397806803,0.00048634666666666666,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.9087789058685303,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,39484-1785615781575314800,39484,10240,45,18,17,10,0.4,0.4,0.4,-0.04245445877313614,0.07735638320446014,-2.300706148147583,0.9919496774673462,10,5,3,2,0.5,0.6,1.6,1.0,0.06887853145599365,0.00048828125,-0.009228515438735485,0.00041386857628822327,0.003068847581744194,0.00048828125,0.048828125,-0.1630859375,0.0,0.0,0.0,0.0,-0.04245445877313614,0.0009765625,-0.00835783639922738,8.549669611127044,1.0,166.82916693306055,-0.006559302477398887,1.7019864618778229,1.4836174249649048,0.1256556212902069,1.5926599502563477,1.6813026666641235,1.8808149099349976,1.9843066930770874,0.0,0.0,0.0,4.005220368504524,0.003951244136260357,0.0277099609375,2.6278714425861835,0.0004829333333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.9571782350540161,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,39484-1785615781575314800,39484,12288,54,24,17,13,0.4444444444444444,0.48,0.4444444444444444,-0.04314017295837402,0.0730966106057167,-2.634472370147705,0.9738803505897522,9,6,0,3,0.6666666666666666,1.1111111111111112,2.111111111111111,1.0,0.09107840061187744,0.002197265625,-0.00991210900247097,-0.0001357841247227043,0.002199706854298711,0.00439453125,0.439453125,-0.169921875,0.0,0.0,0.0,0.0,-0.04314017295837402,0.006591796875,-0.009396128320076969,1.4252112568047182,1.0,25.773867786575785,-0.0022103171213530004,1.9921699464321136,1.617612600326538,0.2147625982761383,1.7592785358428955,2.0360727310180664,2.2307448387145996,2.370298385620117,0.0,0.0,0.0,4.066479295492172,0.006249157384445425,0.0489501953125,6.304640848189592,0.00047952,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.9284719824790955,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,39484-1785615781575314800,39484,14336,62,27,18,17,0.43548387096774194,0.48,0.43548387096774194,-0.04653078317642212,0.06500296294689178,-3.0728397369384766,0.7672106027603149,8,3,1,4,0.375,0.375,1.0,0.625,-0.0035698413848876953,0.0,-0.013330078683793545,-0.0006474928231909871,0.0006811523344367743,0.003173828125,0.3173828125,-0.17656250298023224,0.0,0.0,0.0,0.0,-0.04653078317642212,0.003173828125,-0.013321663805982098,4.196026771049881,1.0,55.61324771879808,-0.0061737242504023015,1.7678376510739326,1.4648020267486572,0.19021353125572205,1.5316038131713867,1.758068323135376,2.0463504791259766,2.099797248840332,0.0,0.0,0.0,4.250383168458939,0.0048329509372706525,0.0347900390625,5.2898808512836695,0.0004761066666666667,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.7685787677764893,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,39484-1785615781575314800,39484,16384,70,30,19,21,0.42857142857142855,0.48,0.42857142857142855,-0.04164649173617363,0.07141751796007156,-3.174437999725342,0.6816694140434265,8,3,1,4,0.375,0.25,0.5,0.25,0.11473989486694336,0.0,-0.007421874441206455,0.0007153336773626506,0.0028124998789280653,0.002197265625,0.2197265625,-0.16289061307907104,0.0,0.0,0.0,0.0,-0.04164649173617363,0.002197265625,-0.006539916052133776,2.9750344898077437,1.0,74.09960435471534,0.002584098572177546,1.45130489553724,1.2827746868133545,0.08649440854787827,1.3360238075256348,1.4756381511688232,1.5394840240478516,1.54172945022583,0.0,0.0,0.0,3.8254411220550537,0.014168691272581262,0.12779017857142858,10.634865215846471,0.00047269333333333337,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6413708925247192,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,39484-1785615781575314800,39484,18432,85,38,22,25,0.4470588235294118,0.5,0.4470588235294118,-0.037633463740348816,0.0730736032128334,-2.6976468563079834,1.1672801971435547,15,8,3,4,0.5333333333333333,0.4666666666666667,1.5333333333333334,1.0666666666666667,0.22016948461532593,0.00146484375,-0.0047363280318677425,0.000408007821533829,0.0029003890231251717,0.001708984375,0.1708984375,-0.15029296278953552,0.0,0.0,0.0,0.0,-0.037633463740348816,0.003173828125,-0.003909228820702992,1.2313198279680075,1.0,47.338928871790664,-0.007847464235965163,1.1645712777972221,1.051466703414917,0.08193706721067429,1.0694531202316284,1.1664642095565796,1.237587332725525,1.378272294998169,0.0,0.0,0.0,3.537458196282387,0.006213844222656917,0.052734375,3.596940763294697,0.00046928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.0308018922805786,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,39484-1785615781575314800,39484,20480,90,40,23,27,0.4444444444444444,0.48,0.4444444444444444,-0.039004430174827576,0.07122313976287842,-3.3049426078796387,0.954505980014801,5,2,1,2,0.4,0.6,1.8,1.2,0.1929844617843628,0.0,-0.0064941407181322575,9.681767551228404e-05,0.0029174804221838713,0.007568359375,0.7568359375,-0.158203125,0.0,0.0,0.0,0.0,-0.039004430174827576,0.007568359375,-0.005740566193708219,0.7583952497576083,1.0,20.900464248336736,-0.005430287215858698,1.4438650906085968,1.240739107131958,0.14188876748085022,1.285522222518921,1.4301609992980957,1.6382324695587158,1.7105395793914795,0.0,0.0,0.0,3.7416801154613495,0.006264284034841694,0.0513916015625,5.4330042116343975,0.00046586666666666664,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.8574713468551636,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
11,39484-1785615781575314800,39484,22528,104,45,24,35,0.4326923076923077,0.42,0.4326923076923077,-0.04178807884454727,0.06982476264238358,-3.4707703590393066,1.054477572441101,14,5,1,8,0.35714285714285715,0.2857142857142857,1.0714285714285714,0.7857142857142857,0.2494826316833496,0.0,-0.00932617112994194,0.0005565708852373064,0.00228271447122097,0.00244140625,0.244140625,-0.16162109375,0.0,0.0,0.0,0.0,-0.04178807884454727,0.00244140625,-0.008616349790827371,3.527811882575788,1.0,66.17289558196963,0.0015351008623838425,1.2451640218496323,1.0851421356201172,0.12388493120670319,1.1055477857589722,1.2049022912979126,1.394423484802246,1.4525855779647827,0.0,0.0,0.0,3.895814433693886,0.008795925503363833,0.0782470703125,6.188880771398544,0.00046245333333333336,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.9135192632675171,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
12,39484-1785615781575314800,39484,24576,112,49,26,37,0.4375,0.44,0.4375,-0.04398372024297714,0.06917981058359146,-3.7764933109283447,1.2305352687835693,8,4,2,2,0.5,0.5,1.375,0.875,0.27689969539642334,0.00048828125,-0.013671875,-7.307861233130097e-05,0.0019384764600545168,0.00244140625,0.244140625,-0.16660156846046448,0.0,0.0,0.0,0.0,-0.04398372024297714,0.0029296875,-0.013205525538069196,4.505948020070101,1.0,56.84726483477493,-0.0039056807290762663,1.5073142349720001,1.2984819412231445,0.14771515130996704,1.3174320459365845,1.5652227401733398,1.6503610610961914,1.7926424741744995,0.0,0.0,0.0,3.889241710305214,0.005444750902825035,0.035888671875,6.068366587162018,0.00045904,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.0463894605636597,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
