checkpoint_step,g0_seed,opponent,map,resolved_map,episode_index,episode_seed,success,blue_score,red_score,win_margin,steps,return,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_carrier_escort_count,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio
1000000,901001,OP6,map_a,map_a_open,0,1300001,1,3,2,1,80,-1.019343014311744,0.10701876746024937,0.9375,0.25,0.4875,0.18986721413675695,0.2667804631404579,0.8871477752923965,0.8293665893375873,0.671875
1000000,901001,OP6,map_a,map_a_open,1,1300002,1,3,2,1,96,-1.665929602808319,0.07948365159487973,0.9895833333333334,0.28125,0.4479166666666667,0.19927536028747758,0.24560992004505047,0.8773052940766016,0.8491351300229629,0.6822916666666666
1000000,901001,OP6,map_a,map_a_open,2,1300003,1,3,2,1,87,-1.6651859859121032,0.1054504520377551,0.9655172413793104,0.06896551724137931,0.4482758620689655,0.17557361407269692,0.2749629179979193,0.9124156469586252,0.8506659324141754,0.7241379310344828
1000000,901001,OP6,map_a,map_a_open,3,1300004,1,3,1,2,73,-0.7690158069890458,0.12050834810999159,0.726027397260274,0.2191780821917808,0.2465753424657534,0.21271746102975655,0.2504078400869892,0.9032754204044603,0.8648268237505874,0.6267123287671232
1000000,901001,OP6,map_a,map_a_open,4,1300005,1,3,1,2,69,-0.9192537949420512,0.10739638210962647,0.6956521739130435,0.2608695652173913,0.391304347826087,0.18970425646968078,0.24399670634580695,0.9056609100189762,0.8514981494433638,0.6086956521739131
1000000,901001,OP6,map_a,map_a_open,5,1300006,1,3,2,1,81,-1.1011876530537847,0.09101959265032668,0.9876543209876543,0.24691358024691357,0.4691358024691358,0.1931641025836637,0.23559730959895217,0.8702643440093523,0.8314070451406785,0.6851851851851852
1000000,901001,OP6,map_a,map_a_open,6,1300007,1,3,2,1,70,-0.8997061572154053,0.07723739442548581,0.8571428571428571,0.2857142857142857,0.4857142857142857,0.1716766504836934,0.25228432874594414,0.9009453696863992,0.8608675513948713,0.6428571428571429
1000000,901001,OP6,map_a,map_a_open,7,1300008,1,3,2,1,79,-1.0540081651124638,0.0669385395896963,1.0126582278481013,0.2911392405063291,0.4936708860759494,0.16813099453862332,0.2769615235207956,0.8855256053465831,0.8339034673533862,0.680379746835443
1000000,901001,OP6,map_a,map_a_open,8,1300009,1,3,2,1,87,-1.200745944690425,0.07140338821229579,1.0344827586206897,0.3333333333333333,0.42528735632183906,0.2009219020476629,0.28853787404709846,0.8580086738213726,0.8384264125221077,0.6752873563218391
1000000,901001,OP6,map_a,map_a_open,9,1300010,1,3,2,1,101,-2.5728803555248305,0.10744423321494372,0.8316831683168316,0.40594059405940597,0.31683168316831684,0.19086018529268775,0.25992143205781976,0.9135937909088513,0.8457943844323111,0.6064356435643564
1000000,901001,OP6,map_a,map_a_open,10,1300011,1,3,2,1,94,-1.6874082977010403,0.09817635091616118,0.9574468085106383,0.2765957446808511,0.43617021276595747,0.19512064001978713,0.23468499575206575,0.8872104382261317,0.860757606460693,0.6702127659574468
1000000,901001,OP6,map_a,map_a_open,11,1300012,1,3,2,1,86,-1.0346998878812883,0.0878464811438218,0.9534883720930233,0.23255813953488372,0.3953488372093023,0.21479473323669546,0.26081194182814554,0.8590969748275225,0.8417871705321378,0.6802325581395349
1000000,901001,OP6,map_a,map_a_open,12,1300013,1,3,1,2,68,-0.3351302876835689,0.11848714797045379,0.8088235294117647,0.20588235294117646,0.25,0.1935386446523754,0.2782500121085083,0.9238106371725306,0.8701562487027225,0.6507352941176471
1000000,901001,OP6,map_a,map_a_open,13,1300014,1,3,1,2,69,-1.0141096606676,0.1220737314256637,0.8260869565217391,0.3333333333333333,0.34782608695652173,0.19891689345240593,0.2644200251586195,0.9049153207004934,0.8613118054210276,0.6231884057971014
1000000,901001,OP6,map_a,map_a_open,14,1300015,0,2,3,-1,104,-3.1140385539620183,0.07952834621000175,1.1634615384615385,0.17307692307692307,0.46153846153846156,0.19480911323514122,0.24360748752951622,0.8617598362840139,0.8762672004791406,0.7475961538461539
1000000,901001,OP6,map_a,map_a_open,15,1300016,1,3,2,1,87,-1.2054950666206423,0.09542195501084301,1.0114942528735633,0.26436781609195403,0.367816091954023,0.1944450905396678,0.28507559412512284,0.8784288592722224,0.84499615499343,0.6867816091954023
1000000,901001,OP6,map_a,map_a_open,16,1300017,1,3,2,1,86,-1.0444708078866825,0.09768219709093141,0.872093023255814,0.3953488372093023,0.3372093023255814,0.20281270949906388,0.27541173379435097,0.8743637772493584,0.8490699030632196,0.6162790697674418
1000000,901001,OP6,map_a,map_a_open,17,1300018,1,3,2,1,85,-1.1911873282806482,0.04323323475306525,1.0705882352941176,0.18823529411764706,0.5176470588235295,0.18028466942555765,0.2774339658810812,0.8521415156476638,0.8558976285597857,0.7205882352941176
1000000,901001,OP6,map_a,map_a_open,18,1300019,1,3,1,2,67,-0.9955081845109817,0.10493156005308699,0.7910447761194029,0.3880597014925373,0.3283582089552239,0.17559527145670867,0.25572317282655344,0.9244943109910879,0.8744087370473947,0.6007462686567164
1000000,901001,OP6,map_a,map_a_open,19,1300020,1,3,2,1,89,-1.7619629897235427,0.050532213202939276,1.0786516853932584,0.0898876404494382,0.43820224719101125,0.19623042408669933,0.2893205426549644,0.845948449011599,0.8628542255819514,0.7471910112359551
1000000,901001,OP6,map_a,map_a_open,20,1300021,1,3,2,1,88,-1.347829787817318,0.08462395097806373,1.0227272727272727,0.1590909090909091,0.375,0.21041004520586945,0.2434012328528545,0.8613767386837439,0.8443400453437458,0.7159090909090909
1000000,901001,OP6,map_a,map_a_open,21,1300022,1,3,2,1,87,-1.2429231812420767,0.05669537995909822,1.0344827586206897,0.20689655172413793,0.39080459770114945,0.16771408581528172,0.3219107308949547,0.887918004359322,0.8365241679651984,0.7068965517241379
