episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,52056-1785295210559376700,52056,1264,0,79,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,79,0.5999999642372131,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,6.566586265081091,1.0,0.5,-0.010285958647727966,0.0,1.0,100.0,0.0,0.5541543960571289
2,52056-1785295210559376700,52056,1344,0,84,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,84,0.6800000071525574,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,7.447801862444196,1.0,0.5,0.0009561330080032349,0.0,1.0,100.0,0.0,0.55464106798172
3,52056-1785295210559376700,52056,1344,0,84,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,84,0.47999998927116394,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,8.286265781947545,1.0,0.5,-0.00829625129699707,0.0,1.0,100.0,0.0,0.5542406439781189
4,52056-1785295210559376700,52056,1360,0,85,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,85,0.6399999856948853,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,6.799602912454044,1.0,0.5,-0.030248567461967468,0.029999999329447746,1.0,100.0,0.0,0.554589033126831
5,52056-1785295210559376700,52056,1472,0,92,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,92,0.47999998927116394,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,7.447064607039742,1.0,0.5,-0.0037723034620285034,0.029999999329447746,1.0,100.0,0.0,0.5557337999343872
6,52056-1785295210559376700,52056,1520,0,95,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,95,0.5999999642372131,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,7.857998817845394,-1.0,-0.5,0.017262905836105347,0.0,-1.0,-100.0,0.0,-0.5538522005081177
7,52056-1785295210559376700,52056,1536,0,96,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,96,0.5999999642372131,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,7.097094217936198,-1.0,-0.5,0.01729048788547516,0.0,-1.0,-100.0,0.0,-0.5538510084152222
8,52056-1785295210559376700,52056,1536,0,96,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,96,0.47999998927116394,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,6.66481335957845,-1.0,-0.5,0.011852681636810303,0.019999999552965164,-1.0,-100.0,0.0,-0.5532197952270508
9,52056-1785295210559376700,52056,1600,0,100,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,100,0.5999999642372131,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,7.108499145507812,-1.0,-0.5,0.014954537153244019,0.0,-1.0,-100.0,-0.20000000298023224,-0.5876476764678955
10,52056-1785295210559376700,52056,1616,0,101,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,101,0.6800000071525574,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,5.3175109258972775,1.0,0.5,-0.002985656261444092,0.014999999664723873,1.0,100.0,0.0,0.5551194548606873
11,52056-1785295210559376700,52056,1632,0,102,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,102,0.5999999642372131,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,6.616263595281863,-1.0,-0.5,0.016199439764022827,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867778062820435
12,52056-1785295210559376700,52056,1632,0,102,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,102,0.6399999856948853,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,6.6989159677542895,-1.0,-0.5,0.00981844961643219,0.019999999552965164,-1.0,-100.0,0.0,-0.5533080101013184
13,52056-1785295210559376700,52056,1664,0,104,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,104,0.5999999642372131,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,7.5187237079326925,-1.0,-0.5,0.004530966281890869,0.019999999552965164,-1.0,-100.0,0.0,-0.5535372495651245
14,52056-1785295210559376700,52056,1680,0,105,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,105,0.7999999523162842,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,7.791192336309524,-1.0,0.0,-0.0033549070358276367,0.0,0.0,0.0,0.0,-0.2451157569885254
15,52056-1785295210559376700,52056,1696,0,106,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,106,0.6399999856948853,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,6.187637041199882,-1.0,-0.5,0.017459839582443237,0.0,-1.0,-100.0,0.0,-0.5538436770439148
16,52056-1785295210559376700,52056,1760,0,110,,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,110,0.5199999809265137,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,6.1308072176846595,-1.0,-0.5,0.015470489859580994,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5868076682090759
