update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,52056-1785295210559376700,52056,32768,331,164,163,4,0.4954682779456193,0.38,0.45,-0.023159723728895187,0.10028579831123352,-0.7953593730926514,0.585034191608429,331,164,163,4,0.4954682779456193,-0.0513595166163142,2.4501510574018126,2.501510574018127,0.013651788234710693,-3.0517578125e-05,-0.0024963379837572575,0.006563710514456034,0.013341063633561134,-0.0045013427734375,-0.45013427734375,-0.09185180813074112,0.0,0.0,0.0,0.0,-0.023159723728895187,-0.0045318603515625,0.0024798555532470345,0.5470840398584562,1.0,20.263542444911046,-0.014157555293422774,0.8537959440145642,0.7024613618850708,0.06416274607181549,0.7792475819587708,0.8477756381034851,0.9351841807365417,1.0842957496643066,-0.7953593706654073,0.5850341988446873,32768.0001,2.5347189968451858,0.004305196512177645,0.07610702514648438,0.2592065662465757,0.00017410176000000002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.581027090549469,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,52056-1785295210559376700,52056,65536,678,368,298,12,0.5427728613569321,0.56,0.595,-0.02133210375905037,0.10186265408992767,-0.9249839782714844,0.6688445210456848,347,204,135,8,0.5878962536023055,0.1988472622478386,2.5763688760806915,2.377521613832853,0.24523931741714478,0.001983642578125,-0.0007171631441451609,0.007000078912824392,0.01345168985426426,-0.001617431640625,-0.1617431640625,-0.0906982496380806,0.0,0.0,0.0,0.0,-0.02133210375905037,0.0003662109375,0.004395779047627002,11.970719275285752,1.0,246.992233552631,-0.03289498510184785,0.6937104099197313,0.5812403559684753,0.04380839690566063,0.6410889029502869,0.6915574073791504,0.7489926218986511,0.8722736835479736,-0.8601716743695501,0.6316720900565921,65536.0001,2.522991801612079,0.01019174970383574,0.1730804443359375,0.3715129094780423,0.00016820352,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.5810717940330505,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,52056-1785295210559376700,52056,98304,1027,591,412,24,0.5754625121713729,0.72,0.665,-0.020901935175061226,0.10180337727069855,-0.909948468208313,0.689703106880188,349,223,114,12,0.6389684813753582,0.3123209169054441,2.650429799426934,2.33810888252149,0.4287562370300293,0.003143310546875,-0.0003112792910542339,0.007151688449084759,0.013708027079701424,-0.000518798828125,-0.0518798828125,-0.0914306640625,0.0,0.0,0.0,0.0,-0.020901935175061226,0.00262451171875,0.004903649591142312,1.8676928981588883,1.0,34.823940571108906,-0.039562481318171194,0.5422288474510424,0.4503024220466614,0.03578667342662811,0.4943090081214905,0.5407556891441345,0.5887892246246338,0.6546415090560913,-0.8767639389655926,0.6520126310482331,98304.0001,2.5012137023732066,0.014922180198482238,0.22044754028320312,0.47031089320080355,0.00016230528000000003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.5212821960449219,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,52056-1785295210559376700,52056,131072,1382,837,514,31,0.605643994211288,0.8,0.67,-0.01985931396484375,0.10322406142950058,-0.8512927293777466,0.6885994672775269,355,246,102,7,0.6929577464788732,0.39154929577464787,2.6816901408450704,2.2901408450704226,0.5410163402557373,0.0042877197265625,0.0007904053200036287,0.007166568655520678,0.013965300284326077,0.0006561279296875,0.06561279296875,-0.09032593667507172,0.0,0.0,0.0,0.0,-0.01985931396484375,0.00494384765625,0.006073372554965317,1.2282223795689493,1.0,18.266677348675238,-0.0339085265473627,0.4557327513309086,0.36838197708129883,0.03229987993836403,0.41386672854423523,0.457146555185318,0.4959121644496918,0.5550522804260254,-0.8703961365734894,0.6614410885129961,131072.0001,2.4884763254838833,0.014677674171295674,0.20845013786764705,0.5690654908471248,0.00015640704,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4665146768093109,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,52056-1785295210559376700,52056,163840,1744,1106,595,43,0.6341743119266054,0.64,0.735,-0.019067678600549698,0.10307534039020538,-0.7832307815551758,0.6925370693206787,362,269,81,12,0.7430939226519337,0.5248618784530387,2.7569060773480665,2.2320441988950277,0.602279007434845,0.00555419921875,0.0015502930618822575,0.007337592542171478,0.014144742861390114,0.00244140625,0.244140625,-0.09058838337659836,0.0,0.0,0.0,0.0,-0.019067678600549698,0.00799560546875,0.0069208769127726555,0.8654768501233189,1.0,11.328354728842063,-0.03479581984756487,0.41129916141749123,0.32544055581092834,0.03451165556907654,0.36826857924461365,0.4107167422771454,0.45541757345199585,0.5184056758880615,-0.852963065580467,0.6686857371963617,163840.0001,2.476792688619986,0.015713882007033348,0.21619897959183673,0.6240225554207671,0.00015050880000000002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4367493689060211,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,52056-1785295210559376700,52056,196608,2103,1359,690,54,0.6462196861626248,0.7,0.695,-0.019670983776450157,0.10361354053020477,-0.7817293405532837,0.701950192451477,359,253,95,11,0.7047353760445683,0.47075208913649025,2.721448467966574,2.2506963788300838,0.5617974400520325,0.0046539306640625,0.0008911133045330644,0.007412631064653397,0.014121334999799728,0.0009002685546875,0.09002685546875,-0.09033814072608948,0.0,0.0,0.0,0.0,-0.019670983776450157,0.00555419921875,0.006274604820646346,1.1295013146366013,1.0,16.26190837966327,-0.03433136594187664,0.4649279210774153,0.3509659767150879,0.03902462124824524,0.4174600839614868,0.46422117948532104,0.5183285474777222,0.5675916075706482,-0.841090778081975,0.6748661208633155,196608.0001,2.4580972497308218,0.01627965272157727,0.21510376354489164,0.6160038218778723,0.00014461056,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4646690785884857,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,52056-1785295210559376700,52056,229376,2469,1633,775,61,0.6614013770757392,0.8,0.77,-0.01853351481258869,0.10384029150009155,-0.7131261825561523,0.6832764148712158,366,274,85,7,0.7486338797814208,0.5573770491803278,2.759562841530055,2.202185792349727,0.5739973783493042,0.0056610107421875,0.0018249512650072575,0.007706375326961279,0.014307250268757343,0.00323486328125,0.323486328125,-0.08978882431983948,0.0,0.0,0.0,0.0,-0.01853351481258869,0.0088958740234375,0.007328357663936913,0.8237002844629966,1.0,10.092176654778306,-0.025989663000304804,0.42956060115937833,0.34725716710090637,0.031218310818076134,0.3919488191604614,0.42725569009780884,0.470050573348999,0.5321860313415527,-0.8228101215862558,0.6775552712779963,229376.0001,2.437823990980784,0.01425037515259141,0.18979673032407407,0.642515006992552,0.00013871232,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.44596683979034424,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,52056-1785295210559376700,52056,262144,2840,1948,827,65,0.6859154929577465,0.9,0.85,-0.017159800976514816,0.10542459785938263,-0.6125220656394958,0.6568390130996704,371,315,52,4,0.8490566037735849,0.7601078167115903,2.8544474393530996,2.0943396226415096,0.5839841365814209,0.007965087890625,0.003802490420639515,0.007626289501786232,0.014316251501441002,0.00616455078125,0.616455078125,-0.09080200642347336,0.0,0.0,0.0,0.0,-0.017159800976514816,0.014129638671875,0.009288125671446323,0.6573040247595461,1.0,6.425895427090756,-0.02954120551771754,0.3828028944468406,0.30108535289764404,0.0316353477537632,0.3425038754940033,0.38139623403549194,0.42217570543289185,0.48605942726135254,-0.7965241146029381,0.6785737750043587,262144.0001,2.4519030062848537,0.014995860438847835,0.19913579874517376,0.6136650727292285,0.00013281408,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.42365652322769165,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,52056-1785295210559376700,52056,294912,3213,2262,882,69,0.704014939309057,0.88,0.855,-0.017166798934340477,0.1053069606423378,-0.6017909049987793,0.6384913325309753,373,314,55,4,0.8418230563002681,0.7479892761394102,2.8498659517426272,2.1018766756032172,0.6153554916381836,0.007843017578125,0.0033477782271802425,0.007683211471885443,0.014387207105755806,0.005615234375,0.5615234375,-0.08980713784694672,0.0,0.0,0.0,0.0,-0.017166798934340477,0.013458251953125,0.008865382871590555,0.658683179605102,1.0,6.67252074333114,-0.024931102995517977,0.3401863676676818,0.2740427851676941,0.027858339250087738,0.3079729378223419,0.33738836646080017,0.3787890672683716,0.44318586587905884,-0.7748870913209239,0.6770095768464474,294912.0001,2.42320299035565,0.013732921815989318,0.1790210308056872,0.6568770869083315,0.00012691584,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.3959905207157135,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,52056-1785295210559376700,52056,327680,3594,2588,928,78,0.7200890372843628,0.84,0.87,-0.01657230779528618,0.1061132475733757,-0.5787166357040405,0.6385214924812317,381,326,46,9,0.8556430446194225,0.7874015748031497,2.874015748031496,2.0866141732283463,0.5751590728759766,0.0084075927734375,0.003970337100327015,0.007985392585396767,0.014728238806128502,0.00665283203125,0.665283203125,-0.0895690992474556,0.0,0.0,0.0,0.0,-0.01657230779528618,0.0150604248046875,0.009648744948208332,0.6406263068289129,1.0,5.946920720248154,-0.033973780462088495,0.3757187916682317,0.2872498035430908,0.03336819261312485,0.3361107409000397,0.37328892946243286,0.42230820655822754,0.5120173692703247,-0.7552700457652223,0.6758270477662239,327680.0001,2.401082986684946,0.016515968098806646,0.21197716346153847,0.6310781688873585,0.00012101760000000001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4161871671676636,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
