episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,26360-1785295210519861900,26360,1808,0,113,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP9,8,1,3,2,1,113,0.5999999642372131,0,2,2,41,1,12,2,10,0,3,0,3,1,4,1,1,1,1,0,6,36.0,5.433600231609513,1.0,0.5,-0.00449100136756897,0.0,1.0,100.0,0.0,0.5544053316116333
2,26360-1785295210519861900,26360,1824,0,114,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9,8,1,3,1,2,114,0.6399999856948853,1,0,10,15,2,6,9,3,1,1,1,2,0,2,2,0,1,0,4,3,48.0,7.8725537751850325,1.0,0.5,-0.005189791321754456,0.0,1.0,100.0,0.0,0.5543751120567322
3,26360-1785295210519861900,26360,1936,0,121,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9,8,1,3,1,2,121,0.7199999690055847,1,0,9,36,1,12,2,12,1,4,0,3,0,2,1,0,0,1,1,9,36.0,5.3211246206740705,1.0,0.5,-0.0031630098819732666,0.0,1.0,100.0,-0.20000000298023224,0.5188773274421692
4,26360-1785295210519861900,26360,2016,0,126,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP9,8,1,3,0,3,126,0.5999999642372131,1,0,9,37,1,9,0,13,1,4,0,3,0,0,0,2,0,0,0,9,75.0,6.1322752937438,1.0,0.5,-0.009103462100028992,0.0,1.0,100.0,-0.20000000298023224,0.5186060070991516
5,26360-1785295210519861900,26360,2032,0,127,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9,8,1,3,1,2,127,0.7599999904632568,1,0,1,17,2,8,8,3,1,3,0,3,0,1,3,0,1,0,4,2,44.0,8.238481176181102,1.0,0.5,-0.005654945969581604,0.0,1.0,100.0,-0.20000000298023224,0.518763542175293
6,26360-1785295210519861900,26360,2096,0,131,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP9,8,1,3,1,2,131,0.7599999904632568,0,2,16,45,2,13,4,6,1,4,0,3,0,4,2,0,1,0,0,4,40.0,5.908961172322281,1.0,0.5,-0.0008231550455093384,0.0,1.0,100.0,0.0,0.5545641183853149
7,26360-1785295210519861900,26360,2528,0,158,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9,8,1,3,0,3,158,0.7199999690055847,1,0,11,51,3,11,0,10,3,4,0,3,0,0,0,0,0,0,0,10,32.0,6.050975171825554,1.0,0.5,-0.002222031354904175,0.0,1.0,100.0,-0.4000000059604645,0.4814431071281433
8,26360-1785295210519861900,26360,2768,0,173,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9,8,1,3,1,2,173,0.8399999737739563,1,0,5,26,11,5,14,6,3,3,2,2,2,0,5,0,0,1,6,3,50.0,6.470840013096098,1.0,0.5,-0.009270504117012024,0.0,1.0,100.0,0.0,0.5541983842849731
9,26360-1785295210519861900,26360,2816,0,176,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP9,8,1,3,0,3,176,0.7599999904632568,1,0,11,36,9,13,2,14,5,6,0,3,0,0,0,4,0,0,0,8,54.0,5.988682140003551,1.0,0.5,-0.003397315740585327,0.0,1.0,100.0,-0.20000000298023224,0.5188665986061096
10,26360-1785295210519861900,26360,2832,0,177,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9,8,1,3,2,1,177,0.7199999690055847,0,1,14,58,3,15,2,14,1,6,1,2,1,2,0,5,0,2,2,3,42.0,5.6048735710187145,1.0,0.5,-0.008866488933563232,0.0,1.0,100.0,0.0,0.5542159080505371
