update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,58728-1785319490749956200,58728,32768,198,188,2,8,0.9494949494949495,0.96,0.9494949494949495,-0.02861207351088524,0.09297238290309906,-1.3340508937835693,1.1093705892562866,198,188,2,8,0.9494949494949495,1.9848484848484849,2.8484848484848486,0.8636363636363636,-0.004426479339599609,0.00555419921875,0.0005340577336028218,0.0035335824359208345,0.009008204564452171,-0.0019989013671875,-0.19989013671875,-0.12177735567092896,0.0,0.0,0.0,0.0,-0.02861207351088524,0.0035552978515625,0.0036695044836960733,1.031832719546771,1.0,34.24273240145639,-0.009595234369044192,0.9025178315350786,0.77872633934021,0.04856158420443535,0.841692328453064,0.9012367725372314,0.9672564268112183,1.062184453010559,-1.3340508897123693,1.1093705964151004,32768.0001,3.063414473552257,0.0035188074539291847,0.05596923828125,0.2626288718020078,0.00017410176000000002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1118232011795044,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,58728-1785319490749956200,58728,65536,410,386,6,18,0.9414634146341463,0.94,0.935,-0.027893120422959328,0.09379038959741592,-1.8579435348510742,1.3370238542556763,212,198,4,10,0.9339622641509434,1.9952830188679245,2.8537735849056602,0.8584905660377359,0.1588485836982727,0.005767822265625,0.0008941651321947575,0.003503087442368269,0.009281013160943985,-0.0009002685546875,-0.09002685546875,-0.12050782144069672,0.0,0.0,0.0,0.0,-0.027893120422959328,0.0048675537109375,0.004090190283022821,0.8401243009466982,1.0,24.75228344918299,-0.03348625388025539,0.8032970172353089,0.671729564666748,0.04753947630524635,0.7434748411178589,0.8013759851455688,0.8636947870254517,0.9900058507919312,-1.5959972118820234,1.256098637634985,65536.0001,3.0305723226629198,0.009172524192081255,0.1649017333984375,0.40779372910037637,0.00016820352,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.2262420654296875,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,58728-1785319490749956200,58728,98304,626,601,7,18,0.9600638977635783,1.0,0.995,-0.027202721685171127,0.09549085050821304,-1.8873610496520996,1.3730076551437378,216,215,1,0,0.9953703703703703,2.111111111111111,2.925925925925926,0.8148148148148148,0.3174629807472229,0.00653076171875,0.0019592284224927425,0.0038630845956504345,0.009805012494325638,-0.000579833984375,-0.0579833984375,-0.11986695230007172,0.0,0.0,0.0,0.0,-0.027202721685171127,0.005950927734375,0.005376252694986761,0.9032792290028215,1.0,20.139181396270548,-0.04528182438752992,0.6746411679778248,0.5661515593528748,0.03832457959651947,0.6242910623550415,0.6738159656524658,0.7233219146728516,0.7854763269424438,-1.6931184910399186,1.3034969513915269,98304.0001,3.0110480752773583,0.013974944021128977,0.23363113403320312,0.5196394399681594,0.00016230528000000003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1343213319778442,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,58728-1785319490749956200,58728,131072,843,807,12,24,0.9572953736654805,0.96,0.955,-0.027579691261053085,0.09424229711294174,-1.9741586446762085,1.490126371383667,217,206,5,6,0.9493087557603687,2.0414746543778803,2.870967741935484,0.8294930875576036,0.4014471173286438,0.00604248046875,0.0012329102028161287,0.0038645316381007433,0.010151511989533901,-0.001190185546875,-0.1190185546875,-0.11991578340530396,0.0,0.0,0.0,0.0,-0.027579691261053085,0.004852294921875,0.00473692110972479,0.9760216895895436,1.0,24.70811795607431,-0.04364817575005782,0.6683521893553603,0.5620148777961731,0.04279238358139992,0.6117628812789917,0.6668649911880493,0.7233957648277283,0.7974207401275635,-1.763378529395387,1.35803416836156,131072.0001,2.9891440862432086,0.01560749928496007,0.24124259663341646,0.6484012681052572,0.00015640704,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1528542041778564,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,58728-1785319490749956200,58728,163840,1073,1030,15,28,0.9599254426840633,0.98,0.965,-0.026342937722802162,0.09573182463645935,-1.8790618181228638,1.534267783164978,230,223,3,4,0.9695652173913043,2.1478260869565218,2.917391304347826,0.7695652173913043,0.41107749938964844,0.00665283203125,0.002847290365025401,0.004107263870537281,0.009890176355838776,0.002410888671875,0.2410888671875,-0.1204223781824112,0.0,0.0,0.0,0.0,-0.026342937722802162,0.009063720703125,0.006346650421619415,0.700148479967116,1.0,13.284731226291001,-0.03948928952291838,0.6874010837004508,0.5900198221206665,0.04422322288155556,0.6331736445426941,0.6849653124809265,0.7442893981933594,0.836794376373291,-1.7865151871267608,1.3958302897037898,163840.0001,2.9848517937424743,0.015356481121996716,0.23207826967592593,0.7568704846464558,0.00015050880000000002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1774169206619263,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,58728-1785319490749956200,58728,196608,1293,1243,15,35,0.9613302397525135,0.98,0.97,-0.027199534699320793,0.09549583494663239,-1.902583360671997,1.554944396018982,220,213,0,7,0.9681818181818181,2.131818181818182,2.890909090909091,0.759090909090909,0.43414807319641113,0.0063934326171875,0.00201416015625,0.004048689268529415,0.010021660476922989,0.0003204345703125,0.03204345703125,-0.1209716871380806,0.0,0.0,0.0,0.0,-0.027199534699320793,0.0067138671875,0.005531747592613101,0.8238059574596911,1.0,18.015499601134977,-0.03974291494009268,0.660752538827971,0.5620797872543335,0.04222565144300461,0.6086683869361877,0.658519446849823,0.7124096155166626,0.7843863368034363,-1.8058598827077943,1.4242418842299565,196608.0001,2.9810052796793127,0.01626179408101967,0.2351715917673716,0.7371784513450461,0.00014461056,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1696778535842896,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,58728-1785319490749956200,58728,229376,1530,1476,16,38,0.9647058823529412,0.96,0.985,-0.024941008538007736,0.09592554718255997,-1.6739434003829956,1.4742928743362427,237,233,1,3,0.9831223628691983,2.172995780590717,2.949367088607595,0.7763713080168776,0.43371516466140747,0.0070343017578125,0.0035339356400072575,0.004349501337856054,0.011312137357890606,0.003692626953125,0.3692626953125,-0.1173706203699112,0.0,0.0,0.0,0.0,-0.024941008538007736,0.0107269287109375,0.0074493453139439225,0.6943880328314499,1.0,10.940659985020941,-0.033819667097166974,0.5949350224074089,0.4813978970050812,0.04269465059041977,0.5419610738754272,0.5960977077484131,0.6469244956970215,0.7407824993133545,-1.7870146709553247,1.432243259041305,229376.0001,2.889569677186735,0.01571144391191686,0.21889796401515152,0.8121241418023905,0.00013871232,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1094334125518799,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,58728-1785319490749956200,58728,262144,1762,1706,17,39,0.9682179341657208,1.0,0.99,-0.025332732126116753,0.09581483155488968,-1.6082968711853027,1.4601030349731445,232,230,1,1,0.9913793103448276,2.1293103448275863,2.939655172413793,0.8103448275862069,0.43592703342437744,0.0069732666015625,0.0034332277718931437,0.0043507348746061325,0.010290800593793392,0.0030059814453125,0.30059814453125,-0.11781617254018784,0.0,0.0,0.0,0.0,-0.025332732126116753,0.009979248046875,0.007093611638993025,0.7107650637214539,1.0,11.804934304922238,-0.026064527586389045,0.5773193116371448,0.4813668727874756,0.03763729706406593,0.5335115790367126,0.5737447142601013,0.6229758858680725,0.6999315619468689,-1.764674945992594,1.4369713638525805,262144.0001,2.8891674188467174,0.013469902880919668,0.19408052884615384,0.7482618960050437,0.00013281408,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.0966073274612427,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,58728-1785319490749956200,58728,294912,2010,1950,19,41,0.9701492537313433,0.98,0.985,-0.02457273006439209,0.09517750144004822,-1.525936245918274,1.451615571975708,248,244,2,2,0.9838709677419355,2.1330645161290325,2.9516129032258065,0.8185483870967742,0.441650927066803,0.007354736328125,0.003375244326889515,0.004578728228807449,0.010760919190943241,0.0036468505859375,0.36468505859375,-0.11572876572608948,0.0,0.0,0.0,0.0,-0.02457273006439209,0.0110015869140625,0.0072101561818271875,0.6553146308357561,1.0,10.51832324797867,-0.03866055739106414,0.5567417117009251,0.4301891028881073,0.04467374458909035,0.4989306926727295,0.5568344593048096,0.6118215322494507,0.6781114339828491,-1.7381484237711087,1.4405610254211951,294912.0001,2.822172101980411,0.016089088930271174,0.2290615295031056,0.7304310190566579,0.00012691584,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.0846872329711914,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,58728-1785319490749956200,58728,327680,2255,2193,21,41,0.9725055432372506,0.98,0.99,-0.02395544946193695,0.09599176794290543,-1.4459328651428223,1.3268884420394897,245,243,2,0,0.9918367346938776,2.2081632653061223,2.9591836734693877,0.7510204081632653,0.47435182332992554,0.007354736328125,0.0044311522506177425,0.004759280942380428,0.011182057671248913,0.0051422119140625,0.51422119140625,-0.11591187119483948,0.0,0.0,0.0,0.0,-0.02395544946193695,0.0124969482421875,0.008416486904025078,0.6734294894592996,1.0,9.274472013219954,-0.03456359683463824,0.44084180226185227,0.35880085825920105,0.036016788333654404,0.3944554030895233,0.4383279085159302,0.49034273624420166,0.5322278738021851,-1.7089268679171978,1.4322858842760062,327680.0001,2.8169501250080518,0.015675380713017693,0.21613382149446494,0.7106039149074976,0.00012101760000000001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.9620153903961182,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
