update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,57912-1785356891998548100,57912,32768,171,155,2,14,0.9064327485380117,0.94,0.9064327485380117,-0.03360554948449135,0.09831669926643372,-1.5004470348358154,1.1573868989944458,171,155,2,14,0.9064327485380117,1.631578947368421,2.6374269005847952,1.0058479532163742,0.0033127665519714355,0.00445556640625,-0.0053466795943677425,0.002727939747273922,0.004459303803741932,-0.0042572021484375,-0.42572021484375,-0.1324768215417862,0.0,0.0,0.0,0.0,-0.03360554948449135,0.0001983642578125,-0.003549868706613779,17.80594348036243,1.0,664.4963495230888,-0.01255293827080095,0.8695907690562308,0.7162054777145386,0.04917939379811287,0.8089870810508728,0.8655803203582764,0.9315866231918335,1.0779616832733154,-1.5004470302568147,1.157386945026411,32768.0001,3.303415725938976,0.0041644683660706505,0.06899261474609375,0.2891926629963564,0.00017410176000000002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1554683446884155,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,57912-1785356891998548100,57912,65536,357,321,8,28,0.8991596638655462,0.86,0.89,-0.03204980120062828,0.09835059940814972,-2.181741237640381,1.3903716802597046,186,166,6,14,0.8924731182795699,1.618279569892473,2.596774193548387,0.978494623655914,0.16984611749649048,0.004669189453125,-0.00447998009622097,0.003031682688742876,0.004675011150538921,-0.001190185546875,-0.1190185546875,-0.1303650140762329,0.0,0.0,0.0,0.0,-0.03204980120062828,0.00347900390625,-0.002553306636400521,0.7337079799867022,1.0,37.46116889182239,-0.03660526571638911,0.8180663754465058,0.6947442889213562,0.04520751163363457,0.7641993761062622,0.8175326585769653,0.8741716146469116,1.0160956382751465,-1.8410941334288116,1.3237747015735095,65536.0001,3.2396650314331055,0.010369585217631538,0.1842041015625,0.4379738201096188,0.00016820352,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.2668063640594482,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,57912-1785356891998548100,57912,98304,542,488,13,41,0.9003690036900369,0.98,0.895,-0.031249120831489563,0.09900713711977005,-2.30867862701416,1.5353633165359497,185,167,5,13,0.9027027027027027,1.7027027027027026,2.6594594594594594,0.9567567567567568,0.29037994146347046,0.0047454833984375,-0.0038330077659338713,0.0032442803494632244,0.004451621323823929,0.0007781982421875,0.07781982421875,-0.12960204482078552,0.0,0.0,0.0,0.0,-0.031249120831489563,0.005523681640625,-0.001909032347612083,0.34554612768530796,1.0,23.45873540798702,-0.043909340785878846,0.7475101913479593,0.6274272203445435,0.04481719434261322,0.6953386068344116,0.7441025972366333,0.8071223497390747,0.9036837816238403,-1.996955631132044,1.4151391372960909,98304.0001,3.2067362816213705,0.014451306753253622,0.2350962979616307,0.5690465430847461,0.00016230528000000003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.293373942375183,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,57912-1785356891998548100,57912,131072,726,655,20,51,0.9022038567493113,0.96,0.915,-0.030553605407476425,0.09973038733005524,-2.3322806358337402,1.5791176557540894,184,167,7,10,0.907608695652174,1.7608695652173914,2.652173913043478,0.8913043478260869,0.4179125428199768,0.004730224609375,-0.0036010739859193563,0.0030658363830298185,0.004609676543623209,0.00311279296875,0.311279296875,-0.12930908799171448,0.0,0.0,0.0,0.0,-0.030553605407476425,0.007843017578125,-0.0016821957542560995,0.21445588787910447,1.0,16.485058416024607,-0.04076736645789884,0.6115599362606026,0.507371723651886,0.03940196707844734,0.5594066381454468,0.6147066950798035,0.6606447100639343,0.7273139953613281,-2.08078688224351,1.465076875562748,131072.0001,3.193181585116559,0.015386090537460229,0.23675169427710843,0.6834885469940771,0.00015640704,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.2047823667526245,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,57912-1785356891998548100,57912,163840,919,834,25,60,0.9075081610446137,0.92,0.93,-0.0301019549369812,0.0996936485171318,-2.257086753845215,1.6142516136169434,193,179,5,9,0.927461139896373,1.6424870466321244,2.7409326424870466,1.0984455958549222,0.4630446434020996,0.0051727294921875,-0.0031524659134447575,0.0033378293737769127,0.005091232713311911,0.001708984375,0.1708984375,-0.12706910073757172,0.0,0.0,0.0,0.0,-0.0301019549369812,0.0068817138671875,-0.0010452003916725516,0.15185875976268856,1.0,18.462063539116187,-0.04222009045602162,0.592586986677495,0.4920201599597931,0.038631655275821686,0.5450693368911743,0.5907502770423889,0.6413978338241577,0.7128996849060059,-2.11604685654233,1.4977633043162144,163840.0001,3.125361405356082,0.016934755248504803,0.24801865065028902,0.7198371430697469,0.00015050880000000002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1828789710998535,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,57912-1785356891998548100,57912,196608,1107,1008,28,71,0.9105691056910569,0.94,0.92,-0.028978999704122543,0.10005402565002441,-2.226499080657959,1.6466623544692993,188,174,3,11,0.925531914893617,1.7127659574468086,2.734042553191489,1.0212765957446808,0.483778178691864,0.0050506591796875,-0.002679443219676614,0.0031733119394630194,0.004923367872834206,0.005157470703125,0.5157470703125,-0.12626954913139343,0.0,0.0,0.0,0.0,-0.028978999704122543,0.0102081298828125,-0.0006552732666023076,0.06418502596440542,1.0,12.368296865727366,-0.035973954633577686,0.5911597754535091,0.49184080958366394,0.03931295871734619,0.5436227321624756,0.5867118835449219,0.6394930481910706,0.752514660358429,-2.1344555605522384,1.5241466366481657,196608.0001,3.0983995806668454,0.015915760779360816,0.22474407327586207,0.7300688979497815,0.00014461056,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1831034421920776,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,57912-1785356891998548100,57912,229376,1308,1197,32,79,0.9151376146788991,0.96,0.94,-0.028206853196024895,0.09938760101795197,-2.1014997959136963,1.6327145099639893,201,189,4,8,0.9402985074626866,1.7761194029850746,2.791044776119403,1.0149253731343284,0.5025535225868225,0.005523681640625,-0.0016876219306141138,0.0035513746552169323,0.005104995332658291,0.0044403076171875,0.44403076171875,-0.12376709282398224,0.0,0.0,0.0,0.0,-0.028206853196024895,0.0099639892578125,0.000476470566354692,0.04781445860377035,1.0,12.420193300956093,-0.03720046383133191,0.550700997224482,0.4493587613105774,0.03455570712685585,0.5078921318054199,0.5493142604827881,0.5927095413208008,0.6622005701065063,-2.1297475941773563,1.540168147132917,229376.0001,3.0364201034939584,0.015240017010654684,0.22231566948398576,0.8126693803856806,0.00013871232,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1515517234802246,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,57912-1785356891998548100,57912,262144,1515,1395,35,85,0.9207920792079208,0.98,0.955,-0.02765537239611149,0.10054464638233185,-1.9877779483795166,1.6365323066711426,207,198,3,6,0.9565217391304348,1.8454106280193237,2.8067632850241546,0.961352657004831,0.5254116058349609,0.005859375,-0.0010864257346838713,0.003630545921623707,0.004998968914151192,0.0066070556640625,0.66070556640625,-0.1243896558880806,0.0,0.0,0.0,0.0,-0.02765537239611149,0.0124664306640625,0.0010709529742598534,0.08590005455950812,1.0,9.977168451125626,-0.027652370769721574,0.5225148605994689,0.43443477153778076,0.035836003720760345,0.4791366457939148,0.5212519764900208,0.5682593584060669,0.6231340169906616,-2.112001388459396,1.5532506060364972,262144.0001,3.036648904360258,0.013359854305282427,0.1939803685897436,0.827285914390515,0.00013281408,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1274133920669556,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,57912-1785356891998548100,57912,294912,1718,1587,40,91,0.9237485448195576,0.94,0.945,-0.026803873479366302,0.10033700615167618,-1.8817634582519531,1.5992509126663208,203,192,5,6,0.9458128078817734,1.812807881773399,2.8226600985221677,1.0098522167487685,0.5127728581428528,0.005615234375,-0.0008605956099927425,0.003550377208739519,0.0051358360797166824,0.0090484619140625,0.90484619140625,-0.12326660752296448,0.0,0.0,0.0,0.0,-0.026803873479366302,0.0146636962890625,0.0013109577121213078,0.08939549011315502,1.0,8.405670672832244,-0.03029497448754098,0.5042634580816542,0.4268244504928589,0.03329481929540634,0.46113458275794983,0.5038188695907593,0.5455617308616638,0.6253645420074463,-2.086419396222799,1.56010764295149,294912.0001,3.0055083433787027,0.013477143407466688,0.19671688988095237,0.8022555991297676,0.00012691584,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1163036823272705,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,57912-1785356891998548100,57912,327680,1917,1772,43,102,0.9243609806990088,0.9,0.93,-0.02637094259262085,0.10067734122276306,-1.8220430612564087,1.5389834642410278,199,185,3,11,0.9296482412060302,1.7839195979899498,2.7939698492462313,1.0100502512562815,0.48266172409057617,0.0053863525390625,-0.0011291502742096782,0.0035436097532510757,0.005107769276946783,0.0101318359375,1.01318359375,-0.12211915105581284,0.0,0.0,0.0,0.0,-0.02637094259262085,0.0155181884765625,0.0010336944833397865,0.06660750882050953,1.0,7.8689134577004785,-0.024008553451858462,0.4993174931034446,0.43074318766593933,0.03397845849394798,0.4573444128036499,0.4948471486568451,0.5479767918586731,0.5854833126068115,-2.059981762734228,1.5600255777948646,327680.0001,2.9694542691111563,0.012021571295917965,0.17454833984375,0.8025604786351324,0.00012101760000000001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1069327592849731,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
11,57912-1785356891998548100,57912,360448,2117,1961,46,110,0.9263108171941427,0.92,0.945,-0.026802856475114822,0.10119283944368362,-1.8358404636383057,1.572586178779602,200,189,3,8,0.945,1.85,2.85,1.0,0.4652610421180725,0.00555419921875,-0.0016387939685955644,0.003453774843364954,0.005047003738582134,0.0096282958984375,0.96282958984375,-0.12305909395217896,0.0,0.0,0.0,0.0,-0.026802856475114822,0.0151824951171875,0.0004864006768912077,0.03203482947352544,1.0,8.10479359346438,-0.043102095126943275,0.5325702117799327,0.44354838132858276,0.03818054869771004,0.4845139980316162,0.5309665203094482,0.5824689865112305,0.6511945724487305,-2.039605281003888,1.562500839630915,360448.0001,2.9743254635223124,0.015710629611127187,0.23442609920058138,0.8014871474615363,0.00011511936,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.149967074394226,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
12,57912-1785356891998548100,57912,393216,2313,2147,49,117,0.9282317336792045,0.96,0.95,-0.026322200894355774,0.10051997750997543,-1.8615202903747559,1.5167940855026245,196,186,3,7,0.9489795918367347,1.7704081632653061,2.8010204081632653,1.030612244897959,0.44518816471099854,0.0054779052734375,-0.001461791805922985,0.003516336204484105,0.005179174710065126,0.010650634765625,1.0650634765625,-0.12238770723342896,0.0,0.0,0.0,0.0,-0.026322200894355774,0.0161285400390625,0.0007120859227143228,0.04414793732430026,1.0,7.5877989661844385,-0.03932309664608175,0.5161404603798139,0.40760278701782227,0.03565405681729317,0.4709025025367737,0.5156217813491821,0.5601789951324463,0.6170358657836914,-2.024764865121901,1.5595200502560929,393216.0001,2.9516427171857735,0.015288963108583917,0.2180882504111842,0.8539579302856797,0.00010922112000000001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1297945976257324,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
13,57912-1785356891998548100,57912,425984,2531,2354,54,123,0.9300671671276175,0.92,0.95,-0.02477843686938286,0.09957800805568695,-1.7197825908660889,1.4958919286727905,218,207,5,6,0.9495412844036697,1.798165137614679,2.8623853211009176,1.0642201834862386,0.5001912117004395,0.006072998046875,0.0002105713647324592,0.003968148957937956,0.005613680928945541,0.0110015869140625,1.10015869140625,-0.11857300996780396,0.0,0.0,0.0,0.0,-0.02477843686938286,0.0170745849609375,0.0026060288364533335,0.15261725102917087,1.0,6.94400866729042,-0.03714526519752985,0.4541605582487756,0.3694556951522827,0.03232670575380325,0.4129279851913452,0.45281583070755005,0.49649471044540405,0.559360146522522,-2.0013046901846536,1.5568406254306015,425984.0001,2.850022686564404,0.013654628434501912,0.20245272871376813,0.8891126052408979,0.00010332288000000002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.0575530529022217,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
14,57912-1785356891998548100,57912,458752,2740,2550,58,132,0.9306569343065694,0.94,0.94,-0.024130254983901978,0.10239709913730621,-1.6282312870025635,1.4775047302246094,209,196,4,9,0.937799043062201,1.9330143540669857,2.8325358851674642,0.8995215311004785,0.45119333267211914,0.0057220458984375,0.00010986340930685401,0.0037934836000204086,0.005065661855041981,0.0164794921875,1.64794921875,-0.1208801344037056,0.0,0.0,0.0,0.0,-0.024130254983901978,0.0222015380859375,0.0023246497730724514,0.10470198335319253,1.0,5.444428647563851,-0.024996546099791465,0.4886137948215352,0.41141918301582336,0.03431176394224167,0.4418608546257019,0.4879836440086365,0.5335578918457031,0.60039222240448,-1.9746565899631703,1.5542809019546118,458752.0001,2.88931152586303,0.010404248904932096,0.15514360549132947,0.9256226733929849,9.742464e-05,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.0945574045181274,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
15,57912-1785356891998548100,57912,491520,2938,2740,60,138,0.9326072157930565,0.96,0.96,-0.02377493865787983,0.10186943411827087,-1.6406984329223633,1.4584473371505737,198,190,2,6,0.9595959595959596,1.9242424242424243,2.8434343434343434,0.9191919191919192,0.4473177194595337,0.005645751953125,1.8310733139514923e-05,0.003685641335323453,0.005023399367928505,0.0177459716796875,1.77459716796875,-0.12061157822608948,0.0,0.0,0.0,0.0,-0.02377493865787983,0.0233917236328125,0.0021955709089525044,0.09385700200693267,1.0,5.155944220916202,-0.034698881596055636,0.47823439749721364,0.40403515100479126,0.035108018666505814,0.4332166016101837,0.4779696464538574,0.525574803352356,0.60323566198349,-1.952392712831646,1.5503162919748623,491520.0001,2.879573594564679,0.01243329891075034,0.1855543582375479,0.8831278607534723,9.152640000000002e-05,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.0842477083206177,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
