episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,44336-1785358551980007100,44336,1792,0,112,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,1,2,112,0.6800000071525574,1,0,4,16,1,10,5,9,1,3,0,3,0,2,2,1,1,0,1,7,36.0,6.5042250497000555,1.0,0.5,-0.010619059205055237,0.0,1.0,100.0,0.0,0.5541399717330933
2,44336-1785358551980007100,44336,1888,0,118,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,2,1,118,0.6800000071525574,1,0,2,24,2,10,3,9,1,1,0,3,0,4,1,1,0,2,0,5,44.0,5.2829538119041315,1.0,0.5,-0.008251182734966278,0.0,1.0,100.0,0.0,0.5542425513267517
3,44336-1785358551980007100,44336,1968,0,123,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,2,1,123,0.7599999904632568,1,0,5,41,1,13,3,8,1,1,0,3,0,6,1,0,1,1,0,5,32.0,5.485365456681911,1.0,0.5,-0.0021456480026245117,0.0,1.0,100.0,0.0,0.5545068979263306
4,44336-1785358551980007100,44336,1968,0,123,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,1,2,123,0.7199999690055847,1,0,11,31,1,9,4,8,1,2,0,3,0,2,2,0,0,1,0,4,38.0,5.557962557164634,1.0,0.5,0.002077728509902954,0.0,1.0,100.0,-0.20000000298023224,0.5191166996955872
5,44336-1785358551980007100,44336,2096,0,131,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,2,1,131,0.8399999737739563,1,0,4,24,6,6,6,5,2,0,0,3,1,3,2,0,2,0,0,4,46.0,6.258035674349952,1.0,0.5,0.0005900561809539795,0.0,1.0,100.0,0.0,0.5546252727508545
6,44336-1785358551980007100,44336,2240,0,140,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,0,3,140,0.7599999904632568,0,1,8,26,4,11,8,7,2,6,1,2,0,0,3,1,0,0,1,3,37.0,6.2964250837053575,1.0,0.5,-0.004115968942642212,0.0,1.0,100.0,0.0,0.554421603679657
7,44336-1785358551980007100,44336,2256,0,141,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,1,2,141,0.6800000071525574,1,0,7,30,4,9,6,10,2,4,0,3,1,0,3,0,0,1,1,8,36.0,6.61141037095523,1.0,0.5,0.007083103060722351,0.0,1.0,100.0,-0.20000000298023224,0.5193451642990112
8,44336-1785358551980007100,44336,2304,0,144,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,1,2,144,0.7999999523162842,1,0,12,31,3,13,1,17,2,4,0,3,0,2,0,4,1,0,0,8,59.0,5.686558193630642,1.0,0.5,0.0013784319162368774,0.0,1.0,100.0,0.0,0.5546594262123108
9,44336-1785358551980007100,44336,2352,0,147,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9_SPLIT_LANE_FEINT,,0,2,3,-1,147,0.7599999904632568,1,0,2,40,6,7,6,12,0,2,1,2,4,2,1,4,3,0,1,5,47.0,6.2059853482408585,-1.0,-0.5,0.012217402458190918,0.0,-1.0,-100.0,0.0,-0.5540708303451538
10,44336-1785358551980007100,44336,2448,0,153,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,1,2,153,0.7999999523162842,0,1,7,26,9,7,7,5,3,2,2,1,1,3,1,0,0,1,4,3,44.0,5.819828207975899,1.0,0.5,-0.00029186904430389404,0.0,1.0,100.0,0.0,0.5545871257781982
11,44336-1785358551980007100,44336,2896,0,181,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,1,2,181,0.6800000071525574,1,0,3,32,1,14,9,9,0,6,0,3,1,1,4,0,1,0,2,6,44.0,8.264632925802832,1.0,0.5,-0.00914706289768219,0.0,1.0,100.0,0.0,0.5542036890983582
12,44336-1785358551980007100,44336,3008,0,188,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,0,3,188,0.7599999904632568,1,0,12,45,14,6,9,5,6,4,1,2,0,0,4,0,0,0,1,5,126.0,6.946921490608378,1.0,0.5,0.007881775498390198,0.0,1.0,100.0,-0.20000000298023224,0.5193816423416138
