blue_style,red_style,map,map_version,episode_index,episode_seed,wall_y0,wall_y1,red_first_score_step,blue_first_score_step,red_scored_first,red_top_gap_steps,blue_top_gap_steps,bottom_bypass_events,router_stall_steps,assault_stop_at_gap,turtle_anchor_at_gap_stop,turtle_counter_after_stop,used_top_gap,blue_score,red_score,win_margin,steps
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_c_home_corridor,map_c_v2,0,801001,3.4200000762939453,19.0,51,54,1,22,13,0,0,0,0,0,1,2,3,-1,156
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_c_home_corridor,map_c_v2,0,801001,3.4200000762939453,19.0,50,58,1,22,14,0,0,0,0,0,1,2,3,-1,157
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_c_home_corridor,map_c_v2,0,801001,3.4200000762939453,19.0,51,63,1,16,17,0,0,0,0,0,1,1,3,-2,155
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_c_home_corridor,map_c_v2,0,801001,3.4200000762939453,19.0,108,116,1,33,30,0,0,0,0,0,1,1,2,-1,240
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_c_home_corridor,map_c_v2,1,801002,3.4200000762939453,19.0,50,53,1,21,15,0,0,0,0,0,1,2,3,-1,149
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_c_home_corridor,map_c_v2,1,801002,3.4200000762939453,19.0,49,72,1,19,15,0,0,0,0,0,1,2,3,-1,145
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_c_home_corridor,map_c_v2,1,801002,3.4200000762939453,19.0,48,-1,1,14,7,0,0,0,0,0,1,0,3,-3,147
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_c_home_corridor,map_c_v2,1,801002,3.4200000762939453,19.0,59,-1,1,14,27,0,0,1,1,0,1,0,3,-3,170
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_c_home_corridor,map_c_v2,2,801003,3.4200000762939453,19.0,57,57,1,23,16,0,0,2,1,0,1,3,1,2,157
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_c_home_corridor,map_c_v2,2,801003,3.4200000762939453,19.0,52,69,1,22,13,0,0,1,1,0,1,2,3,-1,153
