o1_seed,g0_seed,arm,opponent,eval_seed,episode_key,blue_score,red_score,score_margin,win,loss,draw,captures_blue,captures_red,lead_seen,lost_after_leading,lead_preserved,c1_fired,c1_onset_step,c1_active_steps,handoff_occurred,steps_after_handoff,injected,terminated
3300001,3200001,A,OP6,9600000,OP6:9600000,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,81,41,0,0,0,True
3300001,3200001,A,OP6,9600001,OP6:9600001,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,27,16,0,0,0,True
3300001,3200001,A,OP6,9600002,OP6:9600002,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,30,7,0,0,0,True
3300001,3200001,A,OP6,9600003,OP6:9600003,2.0,1.0,1.0,1,0,0,2,1,1,0,1,1,31,26,0,0,0,True
3300001,3200001,A,OP6,9600004,OP6:9600004,2.0,3.0,-1.0,0,1,0,2,3,1,1,0,1,29,8,0,0,0,True
3300001,3200001,A,OP6,9600005,OP6:9600005,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,31,5,0,0,0,True
3300001,3200001,A,OP6,9600006,OP6:9600006,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,32,19,0,0,0,True
3300001,3200001,A,OP6,9600007,OP6:9600007,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,29,38,0,0,0,True
3300001,3200001,A,OP6,9600008,OP6:9600008,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,30,10,0,0,0,True
3300001,3200001,A,OP6,9600009,OP6:9600009,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,77,21,0,0,0,True
3300001,3200001,A,OP6,9600010,OP6:9600010,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,32,9,0,0,0,True
3300001,3200001,A,OP6,9600011,OP6:9600011,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,98,3,0,0,0,True
3300001,3200001,A,OP6,9600012,OP6:9600012,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,69,11,0,0,0,True
3300001,3200001,A,OP6,9600013,OP6:9600013,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,29,8,0,0,0,True
3300001,3200001,A,OP6,9600014,OP6:9600014,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,39,32,0,0,0,True
3300001,3200001,A,OP6,9600015,OP6:9600015,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,31,21,0,0,0,True
3300001,3200001,A,OP6,9600016,OP6:9600016,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,29,4,0,0,0,True
3300001,3200001,A,OP6,9600017,OP6:9600017,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,91,13,0,0,0,True
3300001,3200001,A,OP6,9600018,OP6:9600018,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,31,14,0,0,0,True
3300001,3200001,A,OP6,9600019,OP6:9600019,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,38,54,0,0,0,True
3300001,3200001,A,OP6,9600020,OP6:9600020,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,27,67,0,0,0,True
3300001,3200001,A,OP6,9600021,OP6:9600021,2.0,3.0,-1.0,0,1,0,2,3,1,1,0,1,27,30,0,0,0,True
3300001,3200001,A,OP6,9600022,OP6:9600022,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,121,27,0,0,0,True
3300001,3200001,A,OP6,9600023,OP6:9600023,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,27,5,0,0,0,True
3300001,3200001,A,OP6,9600024,OP6:9600024,1.0,3.0,-2.0,0,1,0,1,3,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP6,9600025,OP6:9600025,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,39,35,0,0,0,True
3300001,3200001,A,OP6,9600026,OP6:9600026,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,69,21,0,0,0,True
3300001,3200001,A,OP6,9600027,OP6:9600027,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,86,12,0,0,0,True
3300001,3200001,A,OP6,9600028,OP6:9600028,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,66,5,0,0,0,True
3300001,3200001,A,OP6,9600029,OP6:9600029,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,72,22,0,0,0,True
3300001,3200001,A,OP7,9600000,OP7:9600000,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,193,1,0,0,0,True
3300001,3200001,A,OP7,9600001,OP7:9600001,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,104,10,0,0,0,True
3300001,3200001,A,OP7,9600002,OP7:9600002,1.0,1.0,0.0,0,0,1,1,1,1,0,1,1,58,2,0,0,0,True
3300001,3200001,A,OP7,9600003,OP7:9600003,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600004,OP7:9600004,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600005,OP7:9600005,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600006,OP7:9600006,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600007,OP7:9600007,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600008,OP7:9600008,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,133,1,0,0,0,True
3300001,3200001,A,OP7,9600009,OP7:9600009,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,78,20,0,0,0,True
3300001,3200001,A,OP7,9600010,OP7:9600010,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,142,15,0,0,0,True
3300001,3200001,A,OP7,9600011,OP7:9600011,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,237,2,0,0,0,True
3300001,3200001,A,OP7,9600012,OP7:9600012,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600013,OP7:9600013,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600014,OP7:9600014,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600015,OP7:9600015,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600016,OP7:9600016,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600017,OP7:9600017,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,227,4,0,0,0,True
3300001,3200001,A,OP7,9600018,OP7:9600018,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,106,16,0,0,0,True
3300001,3200001,A,OP7,9600019,OP7:9600019,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600020,OP7:9600020,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,44,16,0,0,0,True
3300001,3200001,A,OP7,9600021,OP7:9600021,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600022,OP7:9600022,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,239,1,0,0,0,True
3300001,3200001,A,OP7,9600023,OP7:9600023,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,146,12,0,0,0,True
3300001,3200001,A,OP7,9600024,OP7:9600024,2.0,1.0,1.0,1,0,0,2,1,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600025,OP7:9600025,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,166,6,0,0,0,True
3300001,3200001,A,OP7,9600026,OP7:9600026,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600027,OP7:9600027,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,142,10,0,0,0,True
3300001,3200001,A,OP7,9600028,OP7:9600028,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP7,9600029,OP7:9600029,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600000,OP8:9600000,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600001,OP8:9600001,2.0,0.0,2.0,1,0,0,2,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600002,OP8:9600002,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,60,8,0,0,0,True
3300001,3200001,A,OP8,9600003,OP8:9600003,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,144,1,0,0,0,True
3300001,3200001,A,OP8,9600004,OP8:9600004,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,65,15,0,0,0,True
3300001,3200001,A,OP8,9600005,OP8:9600005,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,150,3,0,0,0,True
3300001,3200001,A,OP8,9600006,OP8:9600006,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,228,3,0,0,0,True
3300001,3200001,A,OP8,9600007,OP8:9600007,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600008,OP8:9600008,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,137,4,0,0,0,True
3300001,3200001,A,OP8,9600009,OP8:9600009,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,111,8,0,0,0,True
3300001,3200001,A,OP8,9600010,OP8:9600010,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,72,7,0,0,0,True
3300001,3200001,A,OP8,9600011,OP8:9600011,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600012,OP8:9600012,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,61,3,0,0,0,True
3300001,3200001,A,OP8,9600013,OP8:9600013,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600014,OP8:9600014,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600015,OP8:9600015,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600016,OP8:9600016,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,131,6,0,0,0,True
3300001,3200001,A,OP8,9600017,OP8:9600017,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600018,OP8:9600018,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,99,16,0,0,0,True
3300001,3200001,A,OP8,9600019,OP8:9600019,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,64,11,0,0,0,True
3300001,3200001,A,OP8,9600020,OP8:9600020,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,85,7,0,0,0,True
3300001,3200001,A,OP8,9600021,OP8:9600021,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,101,9,0,0,0,True
3300001,3200001,A,OP8,9600022,OP8:9600022,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,148,7,0,0,0,True
3300001,3200001,A,OP8,9600023,OP8:9600023,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600024,OP8:9600024,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600025,OP8:9600025,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,143,9,0,0,0,True
3300001,3200001,A,OP8,9600026,OP8:9600026,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600027,OP8:9600027,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP8,9600028,OP8:9600028,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,116,12,0,0,0,True
3300001,3200001,A,OP8,9600029,OP8:9600029,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,142,8,0,0,0,True
3300001,3200001,A,OP9,9600000,OP9:9600000,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600001,OP9:9600001,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,144,33,0,0,0,True
3300001,3200001,A,OP9,9600002,OP9:9600002,0.0,1.0,-1.0,0,1,0,0,1,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600003,OP9:9600003,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,218,2,0,0,0,True
3300001,3200001,A,OP9,9600004,OP9:9600004,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,125,20,0,0,0,True
3300001,3200001,A,OP9,9600005,OP9:9600005,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600006,OP9:9600006,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,198,22,0,0,0,True
3300001,3200001,A,OP9,9600007,OP9:9600007,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,41,59,0,0,0,True
3300001,3200001,A,OP9,9600008,OP9:9600008,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600009,OP9:9600009,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,218,9,0,0,0,True
3300001,3200001,A,OP9,9600010,OP9:9600010,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,105,11,0,0,0,True
3300001,3200001,A,OP9,9600011,OP9:9600011,0.0,1.0,-1.0,0,1,0,0,1,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600012,OP9:9600012,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600013,OP9:9600013,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP9,9600014,OP9:9600014,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,90,29,0,0,0,True
