episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,o1_response_oracle_seed3300003,25260,688,0,43,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,43,0.3999999761581421,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,7.516865575036337,1.0,0.5,-0.011514812707901001,0.029999999329447746,1.0,100.0,0.0,0.5553991794586182,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
2,o1_response_oracle_seed3300003,25260,880,0,55,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,55,0.3999999761581421,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,6.474398526278409,1.0,0.5,-0.010387524962425232,0.014999999664723873,1.0,100.0,-0.004000000189989805,0.5541067123413086,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
3,o1_response_oracle_seed3300003,25260,992,0,62,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,62,0.5199999809265137,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,7.102254559916835,1.0,0.5,-0.029326513409614563,0.029999999329447746,1.0,100.0,0.0,0.554628849029541,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
4,o1_response_oracle_seed3300003,25260,1120,0,70,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,70,0.5199999809265137,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,5.889239065987724,1.0,0.5,-0.0351591557264328,0.029999999329447746,1.0,100.0,0.0,0.5543764233589172,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
5,o1_response_oracle_seed3300003,25260,1248,0,78,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,78,0.3999999761581421,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,7.10011487129407,1.0,0.5,-0.009411916136741638,0.0,1.0,100.0,0.0,0.554192304611206,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
6,o1_response_oracle_seed3300003,25260,1248,0,78,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,78,0.47999998927116394,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,5.42666508601262,1.0,0.5,-0.009469136595726013,0.04999999701976776,1.0,100.0,0.0,0.5563512444496155,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
7,o1_response_oracle_seed3300003,25260,1264,0,79,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,79,0.3999999761581421,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,6.035022977032239,1.0,0.5,-0.005245521664619446,0.02499999850988388,1.0,100.0,0.0,0.5554540157318115,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
8,o1_response_oracle_seed3300003,25260,1376,0,86,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,86,0.47999998927116394,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,6.485695062681686,1.0,0.5,-0.005284518003463745,0.0,1.0,100.0,0.0,0.5543709993362427,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
9,o1_response_oracle_seed3300003,25260,1472,0,92,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,92,0.4399999976158142,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,6.254159015157948,-1.0,-0.5,-0.0021634697914123535,0.0,-1.0,-100.0,0.0,-0.554693341255188,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
10,o1_response_oracle_seed3300003,25260,1600,0,100,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,100,0.5600000023841858,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,5.652833251953125,-1.0,-0.5,0.015873536467552185,0.0,-1.0,-100.0,0.0,-0.5539124011993408,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
11,o1_response_oracle_seed3300003,25260,1680,0,105,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,105,0.47999998927116394,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,6.434964425223214,1.0,0.5,-0.032800525426864624,0.029999999329447746,1.0,100.0,0.0,0.5544785261154175,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
