episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,o3_run_3400001,54748,1408,0,88,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,88,0.5600000023841858,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,6.734401356090199,1.0,0.5,-0.01701273024082184,0.029999999329447746,1.0,100.0,-0.004000000189989805,0.5544693470001221,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
2,o3_run_3400001,54748,1424,0,89,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,89,0.5999999642372131,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,6.825775489378511,1.0,0.5,-0.010149583220481873,0.0,1.0,100.0,0.0,0.5541603565216064,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
3,o3_run_3400001,54748,1456,0,91,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,91,0.6800000071525574,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,7.321870573274382,1.0,0.5,-0.001796618103981018,0.02499999850988388,1.0,100.0,-0.004000000189989805,0.5549113750457764,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
4,o3_run_3400001,54748,1520,0,95,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,95,0.5199999809265137,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,6.882358269942435,1.0,0.5,-0.0013790875673294067,0.014999999664723873,1.0,100.0,0.0,0.5551888942718506,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
5,o3_run_3400001,54748,1584,0,99,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,99,0.5999999642372131,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,8.023860430476642,1.0,0.5,-0.01129576563835144,0.029999999329447746,1.0,100.0,-0.00800000037997961,0.5540240406990051,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
6,o3_run_3400001,54748,1696,0,106,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,106,0.47999998927116394,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,6.190224701503538,1.0,0.5,-0.01208457350730896,0.029999999329447746,1.0,100.0,0.0,0.5553745031356812,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
7,o3_run_3400001,54748,1856,0,116,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,116,0.5600000023841858,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,7.178750399885507,-1.0,-0.5,-0.0009446442127227783,0.0,-1.0,-100.0,0.0,-0.5546405911445618,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
8,o3_run_3400001,54748,2112,1,4,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,132,0.6399999856948853,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,6.84572578198982,-1.0,-0.5,0.010993480682373047,0.019999999552965164,-1.0,-100.0,0.0,-0.5532569885253906,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
9,o3_run_3400001,54748,2128,1,5,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,133,0.6399999856948853,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,5.893691442962876,-1.0,-0.5,-0.013958215713500977,0.0,-1.0,-100.0,0.0,-0.5552034378051758,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
10,o3_run_3400001,54748,2160,1,7,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,135,0.7199999690055847,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,7.310904495804398,1.0,0.5,-0.008056193590164185,0.029999999329447746,1.0,100.0,0.0,0.5555486679077148,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
11,o3_run_3400001,54748,2192,1,9,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,137,0.5199999809265137,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,6.794385478444343,-1.0,-0.5,0.015839189291000366,0.0,-1.0,-100.0,-0.004000000189989805,-0.5546066761016846,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
12,o3_run_3400001,54748,2224,1,11,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,139,0.5999999642372131,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,5.573319469424461,1.0,0.5,-0.021701961755752563,0.014999999664723873,1.0,100.0,-0.004000000189989805,0.5536165237426758,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
13,o3_run_3400001,54748,2256,1,13,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,0,3,141,0.5600000023841858,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,6.32661730177859,1.0,0.5,-0.03374393284320831,0.014999999664723873,1.0,100.0,0.0,0.5537880659103394,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
14,o3_run_3400001,54748,2640,1,37,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,165,0.5600000023841858,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,5.7722197561553035,-1.0,-0.5,-0.012426674365997314,0.0,-1.0,-100.0,-0.004000000189989805,-0.5558286905288696,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
15,o3_run_3400001,54748,2720,1,42,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,170,0.5600000023841858,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,5.265328799977022,-1.0,-0.5,-0.0015513300895690918,0.0,-1.0,-100.0,-0.004000000189989805,-0.5553587675094604,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
