episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,o3_smoke,53172,352,0,88,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,88,0.5600000023841858,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,6.734401356090199,1.0,0.5,-0.01701273024082184,0.029999999329447746,1.0,100.0,-0.004000000189989805,0.5544693470001221,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
2,o3_smoke,53172,464,0,116,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,116,0.5600000023841858,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,7.178750399885507,-1.0,-0.5,-0.0009446442127227783,0.0,-1.0,-100.0,0.0,-0.5546405911445618,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
3,o3_smoke,53172,528,1,4,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,132,0.6399999856948853,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,6.84572578198982,-1.0,-0.5,0.010993480682373047,0.019999999552965164,-1.0,-100.0,0.0,-0.5532569885253906,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
4,o3_smoke,53172,660,1,37,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,165,0.5600000023841858,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,5.7722197561553035,-1.0,-0.5,-0.012426674365997314,0.0,-1.0,-100.0,-0.004000000189989805,-0.5558286905288696,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
5,o3_smoke,53172,844,1,83,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,95,0.5199999809265137,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,6.453189247532895,1.0,0.5,-0.03556621074676514,0.029999999329447746,1.0,100.0,-0.004000000189989805,0.5536657571792603,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
6,o3_smoke,53172,1040,2,4,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP12,11,1,3,0,3,172,0.5999999642372131,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,7.1854766135992,1.0,0.5,-0.009520679712295532,0.0,1.0,100.0,0.0,0.5541875958442688,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
7,o3_smoke,53172,1160,2,34,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP12,11,1,3,1,2,158,0.5600000023841858,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,7.54390977304193,1.0,0.5,-0.008780375123023987,0.0,1.0,100.0,0.0,0.5542196035385132,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
8,o3_smoke,53172,1516,2,123,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP12,11,1,3,1,2,89,0.5999999642372131,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,6.003454315528441,1.0,0.5,-0.005984902381896973,0.0,1.0,100.0,0.0,0.5543407201766968,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
9,o3_smoke,53172,1592,3,14,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP12,11,1,3,1,2,138,0.5199999809265137,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,7.319563713626585,1.0,0.5,-0.008042559027671814,0.0,1.0,100.0,-0.004000000189989805,0.5535584092140198,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
10,o3_smoke,53172,1620,3,21,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP10,9,0,0,0,0,240,0.5999999642372131,1,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.950426737467448,-0.5,0.0,-0.0015507638454437256,0.0,0.0,0.0,0.0,-0.12444842606782913,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
11,o3_smoke,53172,1804,3,67,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP9,8,1,2,1,1,240,0.6800000071525574,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,5.32679189046224,1.0,0.0,-0.0038933753967285156,0.0,0.0,0.0,-0.004000000189989805,0.24374954402446747,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
12,o3_smoke,53172,2080,4,8,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP11,10,1,3,0,3,141,0.5999999642372131,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,5.40924981299867,1.0,0.5,-5.762279033660889e-05,0.0,1.0,100.0,0.0,0.5545972585678101,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
13,o3_smoke,53172,2552,4,126,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP9,8,0,0,1,-1,240,0.6800000071525574,1,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0,5.771749369303385,-1.0,0.0,0.017323940992355347,0.0,0.0,0.0,-0.004000000189989805,-0.2448408603668213,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
14,o3_smoke,53172,2580,5,5,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP11,10,0,0,0,0,240,0.5999999642372131,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.654374694824218,-0.5,0.0,0.01718786358833313,0.0,0.0,0.0,-0.004000000189989805,-0.1242799162864685,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
15,o3_smoke,53172,2764,5,51,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP9,8,1,2,1,1,240,0.6399999856948853,0,2,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0,4.95224355061849,1.0,0.0,0.0064636170864105225,0.0,0.0,0.0,0.0,0.2452983558177948,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
16,o3_smoke,53172,3040,5,120,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP10,9,1,1,0,1,240,0.5999999642372131,0,2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,6.461465454101562,1.0,0.0,-0.020645737648010254,0.0,0.0,0.0,-0.00800000037997961,0.2418231964111328,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
17,o3_smoke,53172,3512,6,110,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP10,9,0,0,0,0,240,0.5199999809265137,0,2,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.318105061848958,-0.5,0.0,-0.0016255378723144531,0.0,0.0,0.0,0.0,-0.12445303052663803,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
18,o3_smoke,53172,3540,6,117,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP9,8,1,1,0,1,240,0.5600000023841858,0,3,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,4.652265930175782,1.0,0.0,0.0006635487079620361,0.0,0.0,0.0,0.0,0.24495765566825867,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
19,o3_smoke,53172,3724,7,35,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP8,7,1,2,0,2,240,0.5600000023841858,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,5.294881184895833,1.0,0.0,-0.019080638885498047,0.0,0.0,0.0,-0.004000000189989805,0.24285653233528137,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
20,o3_smoke,53172,4000,7,104,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,0,1,1,0,240,0.6399999856948853,0,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,5.625439961751302,-0.5,0.0,0.017514586448669434,0.0,0.0,0.0,-0.004000000189989805,-0.124259814620018,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
21,o3_smoke,53172,4472,8,94,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP9,8,1,2,0,2,240,0.5600000023841858,0,2,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.0,4.527678426106771,1.0,0.0,0.005252093076705933,0.0,0.0,0.0,-0.00800000037997961,0.24334654211997986,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
22,o3_smoke,53172,4500,8,101,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP8,7,0,0,0,0,240,0.5600000023841858,0,2,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.0274200439453125,-0.5,0.0,-0.0018635392189025879,0.0,0.0,0.0,-0.00800000037997961,-0.12643620371818542,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
23,o3_smoke,53172,4684,9,19,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP11,10,1,1,0,1,240,0.5600000023841858,0,2,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,5.181038920084635,1.0,0.0,-0.020354747772216797,0.0,0.0,0.0,-0.00800000037997961,0.24184030294418335,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
24,o3_smoke,53172,4960,9,88,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP9,8,0,1,1,0,240,0.5199999809265137,0,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.0,4.694905598958333,-0.5,0.0,-0.0016597509384155273,0.0,0.0,0.0,-0.004000000189989805,-0.12543952465057373,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
