update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,53172-1786283689645890800,53172,512,2,1,1,0,0.5,0.5,0.5,0.0015885480679571629,0.07255911827087402,0.029634110629558563,0.27599987387657166,2,1,1,0,0.5,0.5,2.5,2.0,0.032614827156066895,0.0,0.0015625001396983862,0.004530765116214752,0.011025389656424522,0.00390625,0.390625,-0.002749999985098839,0.0,0.0,0.0,0.0,0.0015885480679571629,0.00390625,0.005451538832858205,1.3952367606009866,1.0,0.7038198183118148,-0.03436760112832005,0.0676662486512214,0.053800374269485474,0.008661792613565922,0.05661880224943161,0.06909926235675812,0.07629060745239258,0.086973637342453,0.0,0.0,0.0,3.6607381403446198,0.011789749078161549,0.10462436842499301,0.31454011891037226,0.00044666666666666666,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.27146172523498535,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,53172-1786283689645890800,53172,1024,5,2,3,0,0.4,0.4,0.4,0.001174101373180747,0.05781649053096771,0.15506252646446228,0.2927069067955017,3,1,2,0,0.3333333333333333,0.0,2.3333333333333335,2.3333333333333335,0.18097203969955444,-0.001953125,0.0021484375465661287,0.0018710065633058548,0.004833984188735485,0.005859375,0.5859375,-0.003070312552154064,0.0,0.0,0.0,0.0,0.001174101373180747,0.00390625,0.0038246852345764637,0.978868829631189,1.0,0.7857988488461358,-0.02345116787017787,0.07322051972150803,0.05756588280200958,0.01176049467176199,0.059454403817653656,0.0719100758433342,0.08754249662160873,0.0894714966416359,0.0,0.0,0.0,3.794582962989807,0.008361466629221992,0.07529304400086403,0.5644215077161789,0.0003933333333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.26490023732185364,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,53172-1786283689645890800,53172,1536,8,5,3,0,0.625,0.625,0.625,0.003782030660659075,0.06384013593196869,0.27308768033981323,0.16954311728477478,3,3,0,0,1.0,2.3333333333333335,3.0,0.6666666666666666,0.1676957607269287,0.005859375,0.004882812965661287,0.0022914428263902664,0.004716796800494194,0.0078125,0.78125,-0.0034062499180436134,0.0,0.0,0.0,0.0,0.003782030660659075,0.013671875,0.006634872872382402,0.4852580655043217,1.0,0.24912462946114944,-0.025960734511440365,0.020800134725868703,0.017191443592309952,0.002363631036132574,0.018164072185754776,0.02046426385641098,0.023677833378314972,0.0244863573461771,0.0,0.0,0.0,4.193413519859314,0.015320713044700618,0.12211132626980543,0.9059290051460266,0.00033999999999999997,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15467539429664612,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,53172-1786283689645890800,53172,2048,11,7,3,1,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0030250851996243,0.038822636008262634,0.3100658655166626,0.18264563381671906,3,2,0,1,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,0.3624052405357361,0.0029296875,0.0052734375931322575,0.0009676455520093441,0.0015624999068677425,0.0078125,0.78125,-0.0035781250335276127,0.0,0.0,0.0,0.0,0.0030250851996243,0.0107421875,0.005905973957851529,0.5497413088854243,1.0,0.33305990736246693,-0.030271024474325503,0.018975545186549425,0.014059138484299183,0.0025276015512645245,0.015933401882648468,0.018407197669148445,0.022237781435251236,0.022966764867305756,0.0,0.0,0.0,4.112789615988731,0.012166420154012175,0.1213969822274521,1.1343752220273018,0.0002866666666666666,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.14584168791770935,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,53172-1786283689645890800,53172,2560,13,8,4,1,0.6153846153846154,0.6153846153846154,0.6153846153846154,8.050206815823913e-05,0.04172402247786522,0.2459556609392166,0.18669193983078003,2,1,1,0,0.5,1.0,1.5,0.5,-0.10295164585113525,0.0,0.001757812686264515,-0.00026648218045011163,0.0026464841794222593,0.001953125,0.1953125,-0.0034765624441206455,0.0,0.0,0.0,0.0,8.050206815823913e-05,0.001953125,0.002352813186007552,1.2040238910036727,1.0,1.7790890777819461,-0.007151814999588169,0.031137414808784212,0.02084302343428135,0.006383519619703293,0.024487782269716263,0.03255845233798027,0.038358405232429504,0.041876643896102905,0.0,0.0,0.0,4.172172682625907,0.01614164549529156,0.15875558342252458,1.0177583013262068,0.00023333333333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.19606667757034302,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,53172-1786283689645890800,53172,3072,16,10,4,2,0.625,0.625,0.625,0.002295119222253561,0.03216877952218056,0.27396661043167114,0.17802365124225616,3,2,0,1,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,-0.1002194881439209,0.0029296875,0.004101562313735485,0.0012709106085821986,0.0013281248975545168,0.005859375,0.5859375,-0.0038984373677521944,0.0,0.0,0.0,0.0,0.002295119222253561,0.0087890625,0.004751321190269664,0.5405332658635436,1.0,0.44350507948631707,-0.009669277509345875,0.028725474374368787,0.0241105817258358,0.002602203283458948,0.025930704548954964,0.02885262295603752,0.03147656470537186,0.032804522663354874,0.0,0.0,0.0,4.627713143825531,0.011168140572928198,0.10186503827571869,0.9606295675039291,0.00017999999999999998,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.18673139810562134,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,53172-1786283689645890800,53172,3584,18,11,4,3,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.0005669045494869351,0.030256502330303192,0.261435866355896,0.17439033091068268,2,1,0,1,0.5,0.5,0.5,0.0,0.19897985458374023,0.0009765625,0.0033203125931322575,-3.763125278055668e-05,0.0012695312034338713,0.001953125,0.1953125,-0.004124999977648258,0.0,0.0,0.0,0.0,0.0005669045494869351,0.0029296875,0.003628287580795586,1.2380329123441465,1.0,1.4075195590277907,-0.02149835140631673,0.023557866108603776,0.01774454303085804,0.0036143935285508633,0.018380681052803993,0.02401077374815941,0.02780083194375038,0.028475388884544373,0.0,0.0,0.0,4.640336275100708,0.005465681309841708,0.03941723256139085,0.9516028240323067,0.00012666666666666666,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15607887506484985,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,53172-1786283689645890800,53172,4096,20,12,4,4,0.6,0.6,0.6,0.0005452221957966685,0.02037390135228634,0.2697770595550537,0.13481879234313965,2,1,0,1,0.5,1.0,1.5,0.5,-0.29686927795410156,0.0009765625,0.0029296875,0.000677129253745079,0.0016699216794222593,0.001953125,0.1953125,-0.004101562313735485,0.0,0.0,0.0,0.0,0.0005452221957966685,0.0029296875,0.0035164502332918346,1.199872123278867,1.0,1.399522232832905,-0.012396294568091548,0.012603443232364953,0.009927620179951191,0.0011608522618189454,0.011601696722209454,0.01255755964666605,0.013977396301925182,0.014729820191860199,0.0,0.0,0.0,4.439431667327881,0.006635062328781305,0.05442515341565013,1.3699208609759808,7.33333333333333e-05,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15353186428546906,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,53172-1786283689645890800,53172,4608,22,13,4,5,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.002232479164376855,0.03037683665752411,0.2931084632873535,0.1726822555065155,2,1,0,1,0.5,1.0,1.0,0.0,-0.005637764930725098,0.0009765625,0.005664062686264515,0.0008173900423571467,0.0025878907181322575,0.005859375,0.5859375,-0.003999999724328518,0.0,0.0,0.0,0.0,0.002232479164376855,0.0068359375,0.006515382876386866,0.9529680323078668,1.0,0.5850572313010786,-0.020610057978558416,0.021298866719007492,0.018888212740421295,0.0013185413554310799,0.020109912380576134,0.020862538367509842,0.023218827322125435,0.023885659873485565,0.0,0.0,0.0,4.227496430277824,0.009354891904516494,0.09690703195519745,1.475012257695198,5e-05,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17316834628582,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,53172-1786283689645890800,53172,5120,24,14,4,6,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.001783014740794897,0.03416678309440613,0.3120572566986084,0.1572439819574356,2,1,0,1,0.5,0.5,1.0,0.5,-0.1318122148513794,0.0009765625,0.00546875037252903,0.0013964732643216848,0.0019335936522111297,0.00390625,0.390625,-0.003757812548428774,0.0,0.0,0.0,0.0,0.001783014740794897,0.0048828125,0.0063012671016622335,1.290235262238719,1.0,0.7694424281089361,-0.011540701463133018,0.020769900525920093,0.01711273565888405,0.0021779676899313927,0.017950352281332016,0.020845526829361916,0.02340320125222206,0.02480042167007923,0.0,0.0,0.0,4.007264420390129,0.0038183472520015305,0.021853169717360288,1.4380145855247974,5e-05,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16728661954402924,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
