blue_style,red_style,map,episode_index,episode_seed,success,blue_score,red_score,win_margin,steps,return,outcome,time_to_first_score,collision_free,zone_coverage
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,0,661001,0,0,3,-3,181,-7.069063151240698,loss,99.0,0,0.5999999642372131
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,0,661001,0,0,1,-1,240,-9.607728576491354,loss,45.0,0,0.7999999523162842
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,0,661001,1,3,1,2,133,-2.9322395869821776,win,40.0,1,0.7999999523162842
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,0,661001,0,1,3,-2,220,-9.29608517268207,loss,52.0,0,0.5600000023841858
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,1,661002,0,2,3,-1,190,-6.792266784934327,loss,41.0,0,0.7599999904632568
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,1,661002,0,0,1,-1,240,-10.062806300469674,loss,77.0,0,0.8799999952316284
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,1,661002,1,3,2,1,110,-5.137493582034949,win,38.0,1,0.8799999952316284
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,1,661002,0,1,3,-2,166,-5.656556764733978,loss,48.0,0,0.5999999642372131
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,2,661003,0,1,3,-2,118,-4.545694619842834,loss,36.0,1,0.7599999904632568
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,2,661003,0,0,2,-2,240,-11.910250074317446,loss,113.0,0,0.7999999523162842
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,2,661003,1,3,1,2,144,-4.474438631295925,win,32.0,1,0.8799999952316284
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,2,661003,0,1,3,-2,107,-3.0333252534619533,loss,32.0,1,0.6399999856948853
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,3,661004,0,1,3,-2,126,-4.338827351344662,loss,34.0,0,0.5999999642372131
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,3,661004,0,0,1,-1,240,-9.246152263134718,loss,41.0,0,0.7599999904632568
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,3,661004,1,3,2,1,97,-2.300232472451171,win,33.0,1,0.7999999523162842
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,3,661004,0,0,3,-3,138,-6.430183461052366,loss,32.0,1,0.47999998927116394
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,4,661005,0,0,3,-3,128,-5.623491664300673,loss,34.0,1,0.4399999976158142
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,4,661005,0,0,1,-1,240,-11.484304264828097,loss,220.0,0,0.7199999690055847
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,4,661005,0,2,3,-1,108,-5.64057217669324,loss,35.0,1,0.7999999523162842
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,4,661005,0,2,3,-1,154,-5.634657073242124,loss,36.0,0,0.5999999642372131
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,5,661006,0,0,3,-3,167,-7.9824729366082465,loss,35.0,1,0.4399999976158142
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,5,661006,0,0,3,-3,206,-9.409879183280282,loss,43.0,0,0.9199999570846558
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,5,661006,1,3,2,1,100,-2.6674356804578565,win,34.0,1,0.7999999523162842
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,5,661006,0,0,3,-3,132,-6.177447176014539,loss,35.0,1,0.47999998927116394
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,6,661007,0,0,3,-3,146,-6.491938607272459,loss,37.0,0,0.7199999690055847
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,6,661007,0,0,3,-3,131,-7.995068530086428,loss,43.0,1,0.9199999570846558
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,6,661007,1,3,2,1,106,-2.3899549833731726,win,33.0,1,0.8799999952316284
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,6,661007,0,1,3,-2,148,-5.31523508389364,loss,33.0,0,0.7599999904632568
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,7,661008,0,0,3,-3,153,-6.210664082318544,loss,36.0,0,0.7199999690055847
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,7,661008,0,1,2,-1,240,-7.707076161663281,loss,43.0,0,0.8399999737739563
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,7,661008,1,3,1,2,88,-1.6663973669928964,win,33.0,1,0.8399999737739563
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,7,661008,0,0,3,-3,157,-8.889121785556199,loss,39.0,0,0.5999999642372131
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,8,661009,0,0,3,-3,155,-6.671896342741093,loss,35.0,1,0.5600000023841858
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,8,661009,0,0,1,-1,240,-10.463619773916434,loss,116.0,0,0.8399999737739563
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,8,661009,1,3,1,2,101,-1.8279655218066182,win,33.0,1,0.9199999570846558
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,8,661009,0,0,3,-3,150,-8.131577672000276,loss,33.0,1,0.6399999856948853
