blue_style,red_style,map,episode_index,episode_seed,blue_score,red_score,win_margin,steps,time_first_red_midfield_cross,time_both_red_enter_blue_territory,time_first_red_flag_touch,time_first_red_capture,time_blue_counterattack_start,time_first_blue_flag_touch,time_first_blue_capture,red_death_count,blue_death_count,red_carrier_death_count,blue_carrier_death_count,red_tag_count,blue_tag_count,red_carrier_tag_count,blue_carrier_tag_count,post_tag_carrier_event_count,post_tag_counterattack_launch_count,post_tag_blue_flag_touch_count,post_tag_blue_capture_before_red_reentry_count,post_tag_mean_steps_to_blue_flag_touch,post_tag_mean_steps_to_red_reentry,op6_regroup_active_steps,op6_regroup_blue_flag_touch_count,op6_regroup_blue_capture_count,op7_mean_red_lateral_separation,op7_blue_opposite_lane_penetration_steps,op7_min_blue0_to_red_flag,op7_min_blue1_to_red_flag,op7_red0_target_switches,op7_red1_target_switches,op7_both_red_target_same_blue_steps,op7_uncovered_lane_steps,op7_max_consecutive_uncovered_lane_steps,op7_mean_uncovered_blue_progress,op7_flag_touch_during_uncovered_lane,split_flag_touch_count,split_pickup_count,split_touches_per_pickup,split_capture_count,split_capture_given_pickup,split_mean_carrier_lifetime,split_mean_max_return_progress,split_mean_teammate_dist_at_pickup,split_mean_sep_before_pickup,split_mean_sep_after_pickup,split_converged_after_pickup_count,split_noncarrier_flag_pressure_steps,split_noncarrier_support_steps,split_mean_red_retarget_latency_after_pickup,split_carrier_loss_tag_count,split_carrier_loss_capture_count,split_carrier_loss_other_count,pre_touch_min_red0_to_blue,pre_touch_min_red1_to_blue,pre_touch_min_any_red_to_blue,pre_touch_steps_red0_one_defender_in_tag_range,pre_touch_steps_red1_one_defender_in_tag_range,pre_touch_steps_red0_two_defenders_in_tag_range,pre_touch_steps_red1_two_defenders_in_tag_range,pre_touch_steps_any_red_two_defenders_in_tag_range,pre_touch_max_consecutive_red0_two_defenders,pre_touch_max_consecutive_red1_two_defenders,pre_touch_max_consecutive_any_red_two_defenders,pre_touch_max_red0_tag_accumulator,pre_touch_max_red1_tag_accumulator,tag_threshold_seconds,tag_required_consecutive_steps,pre_touch_red0_accumulator_reset_count,pre_touch_red1_accumulator_reset_count,pre_touch_reset_defender0_left_radius,pre_touch_reset_defender1_left_radius,pre_touch_reset_red_left_blue_side,pre_touch_reset_defender_left_blue_side,pre_touch_reset_target_switched,pre_touch_reset_defender_became_tagged,pre_touch_reset_red_target_became_tagged,pre_touch_reset_carrier_turn_or_lane_change,pre_touch_reset_other,pre_touch_mean_reset_relative_speed,pre_touch_path_cross_count,turtle_def0_target_red0_steps,turtle_def0_target_red1_steps,turtle_def0_target_blue_flag_steps,turtle_def0_target_red_flag_steps,turtle_def1_target_red0_steps,turtle_def1_target_red1_steps,turtle_def1_target_blue_flag_steps,turtle_def1_target_red_flag_steps,min_turtle_defender_dist_to_blue_flag,mean_turtle_defender_dist_to_blue_flag,final_both_red_forward,final_blue_had_counterattack
BLUE_RUSH,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,0,761001,0,0,0,240,21,,,,6,14,,0,0,0,0,0,13,0,5,0,0,0,0,,,0,0,0,1.2819578925768533,10,0.0,2.170571572153411,20,22,48,5,3,5.257918630327497,5,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,0,761001,0,0,0,240,9,10,,,6,34,,0,0,0,0,5,11,0,3,0,0,0,0,,,0,0,0,1.8620431145032248,18,1.818014242628107,0.0,28,28,38,7,4,1.0923277991158622,0,0,0,,0,,,,,,,0,0,0,,0,0,0,0.1436963528394699,0.7520645260810852,0.1436963528394699,15,16,4,6,77,2,2,2,0.9900000095367432,0.9900000095367432,1.0,3,2,3,5,5,5,0,0,0,4,0,0,0.9853527663871556,3,134,91,10,5,99,73,0,68,1.0317506790161133,7.755595713853836,1,1
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,0,761001,3,0,3,89,10,12,,,6,22,41,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0,0,2.898467964000916,5,0.0,0.0,6,8,6,1,1,3.136331558227539,0,3,3,1.0,2,0.6666666666666666,19.666666666666668,15.223312060038248,14.964755694071451,9.135892327626546,11.713979430117849,1,0,1,0.0,0,2,1,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_ESCORT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,0,761001,0,1,-1,240,9,10,131,157,7,14,,0,0,0,0,0,7,0,4,0,0,0,0,,,0,0,0,2.0608556906382245,45,0.0,0.6724419218071068,44,38,113,8,2,4.739117842454177,8,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_RUSH,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,1,761002,0,0,0,240,19,,,,6,39,,0,0,0,0,0,10,0,3,0,0,0,0,,,0,0,0,2.263607081770897,31,0.0,1.5781683642412625,17,21,45,17,9,3.0944686465793185,6,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,1,761002,0,0,0,240,14,,,,5,167,,0,0,0,0,2,11,0,1,0,0,0,0,,,0,0,0,1.656658399105072,29,1.284008640555688,0.0,33,35,48,7,7,1.317746707371303,0,0,0,,0,,,,,,,0,0,0,,0,0,0,0.32491180300712585,0.7751269340515137,0.32491180300712585,24,0,10,0,74,3,0,3,0.9900000095367432,0.0,1.0,3,4,0,4,2,2,0,0,0,2,0,0,1.0030499752534727,0,147,89,1,3,136,64,0,40,0.9941056966781616,8.04050206070145,0,1
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,1,761002,3,0,3,164,57,61,,,5,22,69,0,0,0,0,0,4,0,3,0,0,0,0,,,0,0,0,4.570811364708877,19,0.0,0.0,13,13,25,17,5,2.999540540907118,8,6,6,1.0,2,0.3333333333333333,13.833333333333334,9.379205663998922,11.42624537150065,9.825926657076236,10.829977045576257,2,3,4,0.0,3,2,1,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_ESCORT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,1,761002,2,0,2,240,19,165,215,,6,39,178,0,0,0,0,4,7,1,3,1,1,1,0,13.0,1.0,0,0,0,1.9231619785229366,13,0.0,0.7004618390507779,25,27,63,0,0,,0,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_RUSH,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,2,761003,0,0,0,240,10,12,,,9,15,,0,0,0,0,0,9,0,4,0,0,0,0,,,0,0,0,2.101562511920929,37,0.0,1.1112833342258552,17,17,59,14,3,1.7587941033499581,6,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,2,761003,0,0,0,240,9,58,,,9,77,,0,0,0,0,4,11,0,2,0,0,0,0,,,0,0,0,1.9631675084431965,10,1.0145154741852054,0.0,31,31,30,6,4,1.282981236775716,1,0,0,,0,,,,,,,0,0,0,,0,0,0,0.3487323522567749,0.43002763390541077,0.3487323522567749,10,13,4,2,39,2,2,2,0.9900000095367432,0.9900000095367432,1.0,3,2,1,3,3,3,0,0,0,3,0,0,0.7846188797972028,1,120,100,16,4,104,91,0,45,0.914769172668457,7.580211726824443,1,1
