blue_style,red_style,map,episode_index,episode_seed,success,blue_score,red_score,win_margin,steps,return,outcome,time_to_first_score,collision_free,zone_coverage
BLUE_RUSH,OP9_SPLIT_LANE_FEINT,map_b_split_lane,0,511001,0,0,0,0,240,-15.387532380846096,draw,,0,0.6399999856948853
BLUE_TURTLE,OP9_SPLIT_LANE_FEINT,map_b_split_lane,0,511001,0,0,1,-1,240,-13.239619538129773,loss,77.0,0,0.7199999690055847
BLUE_SPLIT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,0,511001,1,3,0,3,215,-9.744279540725984,win,156.0,1,0.8399999737739563
BLUE_ESCORT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,0,511001,1,1,0,1,240,-9.896708324260544,win,34.0,0,0.6800000071525574
BLUE_RUSH,OP9_SPLIT_LANE_FEINT,map_b_split_lane,1,511002,0,0,0,0,240,-17.500747116544517,draw,,0,0.3999999761581421
BLUE_TURTLE,OP9_SPLIT_LANE_FEINT,map_b_split_lane,1,511002,0,0,0,0,240,-19.251441385335056,draw,,0,0.5600000023841858
BLUE_SPLIT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,1,511002,1,2,0,2,240,-11.815308057470247,win,201.0,1,0.8799999952316284
BLUE_ESCORT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,1,511002,0,0,0,0,240,-13.17726582614705,draw,,1,0.3999999761581421
BLUE_RUSH,OP9_SPLIT_LANE_FEINT,map_b_split_lane,2,511003,0,0,0,0,240,-17.647006642684573,draw,,0,0.47999998927116394
BLUE_TURTLE,OP9_SPLIT_LANE_FEINT,map_b_split_lane,2,511003,0,0,0,0,240,-9.559934585995506,draw,,0,0.6800000071525574
BLUE_SPLIT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,2,511003,1,3,0,3,130,-4.427098810268944,win,42.0,1,0.7999999523162842
BLUE_ESCORT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,2,511003,0,0,0,0,240,-12.464462113013724,draw,,0,0.35999998450279236
BLUE_RUSH,OP9_SPLIT_LANE_FEINT,map_b_split_lane,3,511004,0,0,0,0,240,-15.025690321082948,draw,,0,0.7199999690055847
BLUE_TURTLE,OP9_SPLIT_LANE_FEINT,map_b_split_lane,3,511004,0,0,0,0,240,-12.279453444381943,draw,,0,0.6399999856948853
