policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,collision_metric_source,stuck_metric_source,route_metric_source,wall_collision_source,stuck_source,route_source,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps
baseline,map_a_open,OP8,OP8,OP8,7000,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,158.0,158.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,79
candidate,map_a_open,OP8,OP8,OP8,7000,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,156.0,156.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,78
baseline,map_a_open,OP8,OP8,OP8,7001,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,150.0,150.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,75
candidate,map_a_open,OP8,OP8,OP8,7001,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,186.0,186.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,93
baseline,map_a_open,OP9,OP9,OP9,7000,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,148.0,148.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,74
candidate,map_a_open,OP9,OP9,OP9,7000,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,150.0,150.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,75
baseline,map_a_open,OP9,OP9,OP9,7001,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,160.0,160.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,80
candidate,map_a_open,OP9,OP9,OP9,7001,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,146.0,146.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,73
baseline,map_a_open,OP10,OP10,OP10,7000,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,148.0,148.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,74
candidate,map_a_open,OP10,OP10,OP10,7000,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,148.0,148.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,74
baseline,map_a_open,OP10,OP10,OP10,7001,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,142.0,142.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,71
candidate,map_a_open,OP10,OP10,OP10,7001,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,142.0,142.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,71
baseline,map_b_split_lane,OP8,OP8,OP8,7000,3.0,0.0,1,0,0,3.0,1.0,0.0,0.0,0.0,22.0,74.0,114.0,1.0,210.0,210.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,9.523809523809524,0.0,0.0,1.0,0.10476190476190476,0.3523809523809524,1.0,105
candidate,map_b_split_lane,OP8,OP8,OP8,7000,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,18.0,95.0,115.0,3.0,228.0,228.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.07894736842105263,0.4166666666666667,3.0,114
baseline,map_b_split_lane,OP8,OP8,OP8,7001,3.0,1.0,1,0,0,2.0,2.0,0.0,0.0,0.0,25.0,110.0,161.0,2.0,296.0,296.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,13.513513513513514,0.0,0.0,1.0,0.08445945945945946,0.3716216216216216,2.0,148
candidate,map_b_split_lane,OP8,OP8,OP8,7001,3.0,0.0,1,0,0,3.0,1.0,0.0,0.0,0.0,31.0,53.0,96.0,2.0,180.0,180.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,11.11111111111111,0.0,0.0,1.0,0.17222222222222222,0.29444444444444445,2.0,90
baseline,map_b_split_lane,OP9,OP9,OP9,7000,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,79.0,119.0,0.0,198.0,198.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.0,0.398989898989899,0.0,99
candidate,map_b_split_lane,OP9,OP9,OP9,7000,3.0,1.0,1,0,0,2.0,17.0,15.0,10.0,10.0,44.0,58.0,118.0,3.0,220.0,205.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,154.54545454545453,68.18181818181819,90.9090909090909,0.9318181818181818,0.2,0.2636363636363636,3.0,110
baseline,map_b_split_lane,OP9,OP9,OP9,7001,3.0,2.0,1,0,0,1.0,10.0,6.0,2.0,2.0,41.0,109.0,148.0,4.0,298.0,292.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,67.11409395973155,20.13422818791946,13.422818791946309,0.9798657718120806,0.13758389261744966,0.36577181208053694,4.0,149
candidate,map_b_split_lane,OP9,OP9,OP9,7001,3.0,1.0,1,0,0,2.0,1.0,0.0,0.0,0.0,18.0,56.0,100.0,2.0,174.0,174.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,11.494252873563218,0.0,0.0,1.0,0.10344827586206896,0.3218390804597701,2.0,87
