policy,map,requested_opponent,resolved_opponent,opponent,episodes,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps,collision_metric_source,stuck_metric_source,route_metric_source,route_crossings
baseline,map_a_open,OP10,OP10,OP10,2,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,145.0,145.0,0.0,0.0,0.0,1.0,,,,72.5,environment_exact,environment_exact,unavailable,0.0
baseline,map_a_open,OP8,OP8,OP8,2,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,154.0,154.0,0.0,0.0,0.0,1.0,,,,77.0,environment_exact,environment_exact,unavailable,0.0
baseline,map_a_open,OP9,OP9,OP9,2,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,154.0,154.0,0.0,0.0,0.0,1.0,,,,77.0,environment_exact,environment_exact,unavailable,0.0
baseline,map_b_split_lane,OP10,OP10,OP10,2,3.0,1.5,1.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,26.5,66.0,118.5,4.0,211.0,211.0,9.70873786407767,0.0,0.0,1.0,0.12559241706161137,0.3127962085308057,4.0,105.5,environment_exact,environment_exact,environment_exact,92.5
baseline,map_b_split_lane,OP8,OP8,OP8,2,3.0,0.5,1.0,0.0,0.0,2.5,1.5,0.0,0.0,0.0,23.5,92.0,137.5,1.5,253.0,253.0,11.518661518661519,0.0,0.0,1.0,0.09288537549407115,0.36363636363636365,1.5,126.5,environment_exact,environment_exact,environment_exact,115.5
baseline,map_b_split_lane,OP9,OP9,OP9,2,3.0,1.0,1.0,0.0,0.0,2.0,5.0,3.0,1.0,1.0,20.5,94.0,133.5,2.0,248.0,245.0,33.557046979865774,10.06711409395973,6.7114093959731544,0.9899328859060403,0.08266129032258064,0.3790322580645161,2.0,124.0,environment_exact,environment_exact,environment_exact,114.5
candidate,map_a_open,OP10,OP10,OP10,2,3.0,1.5,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,,,,,145.0,145.0,0.0,0.0,0.0,1.0,,,,72.5,environment_exact,environment_exact,unavailable,0.0
candidate,map_a_open,OP8,OP8,OP8,2,3.0,1.5,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,,,,,171.0,171.0,0.0,0.0,0.0,1.0,,,,85.5,environment_exact,environment_exact,unavailable,0.0
candidate,map_a_open,OP9,OP9,OP9,2,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,148.0,148.0,0.0,0.0,0.0,1.0,,,,74.0,environment_exact,environment_exact,unavailable,0.0
candidate,map_b_split_lane,OP10,OP10,OP10,2,3.0,1.5,1.0,0.0,0.0,1.5,2.5,1.0,0.0,0.0,28.0,80.5,128.5,4.0,237.0,236.0,20.161290322580644,4.032258064516129,0.0,0.9959677419354839,0.11814345991561181,0.339662447257384,4.0,118.5,environment_exact,environment_exact,environment_exact,108.5
candidate,map_b_split_lane,OP8,OP8,OP8,2,3.0,0.5,1.0,0.0,0.0,2.5,0.5,0.0,0.0,0.0,24.5,74.0,105.5,2.5,204.0,204.0,5.555555555555555,0.0,0.0,1.0,0.12009803921568628,0.3627450980392157,2.5,102.0,environment_exact,environment_exact,environment_exact,98.5
candidate,map_b_split_lane,OP9,OP9,OP9,2,3.0,1.0,1.0,0.0,0.0,2.0,9.0,7.5,5.0,5.0,31.0,57.0,109.0,2.5,197.0,189.5,83.01985370950888,34.09090909090909,45.45454545454545,0.9659090909090908,0.15736040609137056,0.2893401015228426,2.5,98.5,environment_exact,environment_exact,environment_exact,88.0
