tick,b0_x,b0_y,b1_x,b1_y,r0_x,r0_y,r1_x,r1_y,a0_macro,a0_tgt,a1_macro,a1_tgt,blue_score,red_score
0,1.0936366319656372,17.441347122192383,4.974409580230713,9.862515449523926,14.713247299194336,12.311226844787598,14.034029006958008,0.539429783821106,0,45,0,45,0,0
1,1.5510334968566895,17.265457153320312,5.463862419128418,9.886700630187988,14.261577606201172,12.121111869812012,13.601668357849121,0.770109236240387,0,45,0,45,0,0
2,2.465827465057373,16.913679122924805,6.442768096923828,9.935070991516113,13.35823917388916,11.740880966186523,12.736946105957031,1.2314682006835938,0,45,0,45,0,0
3,3.482264995574951,16.52281379699707,7.5304412841796875,9.988815307617188,12.401615142822266,11.338221549987793,11.821216583251953,1.720041275024414,0,45,0,45,0,0
4,4.498702526092529,16.131948471069336,8.618114471435547,10.042559623718262,11.444991111755371,10.935561180114746,10.905487060546875,2.2086143493652344,0,45,0,45,0,0
5,5.515140056610107,15.741083145141602,9.705787658691406,10.096303939819336,10.488367080688477,10.532901763916016,9.989757537841797,2.6971874237060547,0,45,0,45,0,0
6,6.5315775871276855,15.350217819213867,9.781329154968262,11.1826810836792,9.531743049621582,10.130241394042969,9.074028015136719,3.185760498046875,0,45,0,45,0,0
7,7.548015117645264,14.959352493286133,8.711562156677246,11.386445045471191,8.575119018554688,9.727581977844238,8.15829849243164,3.6743335723876953,0,45,0,45,0,0
8,8.564453125,14.568487167358398,7.645079612731934,11.166135787963867,7.618495464324951,9.324921607971191,7.242569446563721,4.162907123565674,0,45,0,45,0,0
9,9.580890655517578,14.177621841430664,6.578597068786621,10.945826530456543,6.661871910095215,8.922262191772461,6.326840400695801,4.651480674743652,0,45,0,45,0,0
10,10.597328186035156,13.78675651550293,5.512114524841309,10.725517272949219,5.70524787902832,8.51960277557373,5.411110877990723,5.140053749084473,0,45,0,45,0,0
11,11.613765716552734,13.395891189575195,4.445631980895996,10.505208015441895,5.1318359375,9.384739875793457,4.495381832122803,5.628627300262451,0,45,0,45,0,0
12,12.630203247070312,13.005025863647461,3.3791494369506836,10.28489875793457,5.875350475311279,10.108928680419922,4.805279731750488,6.61919641494751,0,45,0,45,0,0
13,13.64664077758789,12.614160537719727,3.4715099334716797,9.199822425842285,6.829283714294434,10.517921447753906,5.609404563903809,7.275433540344238,0,45,0,45,0,0
14,14.663078308105469,12.223295211791992,4.559885025024414,9.162932395935059,7.821357250213623,10.822969436645508,6.473964214324951,7.8497161865234375,0,45,0,45,0,0
15,15.679515838623047,11.832429885864258,5.643856048583984,9.267472267150879,8.838190078735352,11.031088829040527,7.490875720977783,8.057453155517578,0,45,0,45,0,0
16,16.695953369140625,11.441564559936523,6.727827072143555,9.3720121383667,9.86905574798584,11.151836395263672,8.507787704467773,8.265190124511719,0,45,0,45,0,0
17,17.712390899658203,11.050699234008789,7.811798095703125,9.47655200958252,10.906035423278809,11.195844650268555,9.524699211120605,8.47292709350586,0,45,0,45,0,0
18,18.413494110107422,10.78109359741211,8.895769119262695,9.58109188079834,11.94371223449707,11.17371654510498,10.541610717773438,8.6806640625,0,45,0,45,0,0
19,18.732847213745117,10.65828800201416,9.979740142822266,9.68563175201416,12.979719161987305,11.110845565795898,11.55852222442627,8.88840103149414,0,45,0,45,0,0
20,18.878311157226562,10.602350234985352,11.063711166381836,9.79017162322998,14.014435768127441,11.029451370239258,12.575433731079102,9.096138000488281,0,45,0,45,0,0
21,18.944570541381836,10.57686996459961,12.147682189941406,9.8947114944458,14.126736640930176,9.997631072998047,13.592345237731934,9.303874969482422,0,45,0,45,0,0
22,18.97475242614746,10.565263748168945,13.373194694519043,10.478798866271973,13.001286506652832,9.21876049041748,14.609256744384766,9.511611938476562,0,45,0,45,0,0
23,18.988500595092773,10.559977531433105,14.462093353271484,10.493653297424316,12.677486419677734,9.818757057189941,15.626168251037598,9.71934986114502,0,45,0,45,0,0
24,18.994762420654297,10.55756950378418,15.194992065429688,10.859598159790039,13.075961112976074,10.725184440612793,15.971576690673828,10.09372329711914,0,45,0,45,0,0
25,18.99761390686035,10.556472778320312,15.185050964355469,9.304357528686523,14.11179256439209,10.790889739990234,15.722307205200195,10.966955184936523,0,45,0,45,0,0
