update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,39268-1785686910547444500,39268,2048,8,2,5,1,0.25,0.25,0.25,-0.002154007786884904,0.06767893582582474,-0.1644267737865448,0.28002965450286865,8,2,5,1,0.25,-0.375,2.25,2.625,0.009911656379699707,-0.001708984375,-0.002050781389698386,0.0028649284504354,0.008522949181497097,-0.005419922061264515,-0.5419921875,-0.002830078359693289,0.0,0.0,0.0,0.0,-0.002154007786884904,-0.007128906436264515,0.0007961880182847381,0.11166878912114801,1.0,0.39693064488178853,-0.017564576177392155,0.07215872523374856,0.05917578563094139,0.007379495073109865,0.06268265843391418,0.07318908721208572,0.07985628396272659,0.0873492881655693,0.0,0.0,0.0,3.5674440264701843,0.010148479566851165,0.0970458984375,0.20365345245227218,0.0004965866666666667,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.27863842248916626,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,39268-1785686910547444500,39268,4096,17,5,10,2,0.29411764705882354,0.29411764705882354,0.29411764705882354,-0.00015085283666849136,0.05390358716249466,-0.08128045499324799,0.26008862257003784,9,3,5,1,0.3333333333333333,-0.3333333333333333,2.0,2.3333333333333335,0.15006649494171143,-0.001220703125,0.0020019530784338713,0.0005810371367260814,0.0043090819381177425,0.0006347657181322575,0.0634765625,-0.0033320311922580004,0.0,0.0,0.0,0.0,-0.00015085283666849136,-0.0005859374068677425,0.0032244828471448272,5.493742278844762,1.0,5.676978760034667,-0.01707597990753129,0.05345290689729154,0.04532654210925102,0.004581589717417955,0.04675624147057533,0.05402659624814987,0.05840829014778137,0.06240493804216385,0.0,0.0,0.0,4.085332497954369,0.008900985420041252,0.0848388671875,0.27085230499505997,0.0004931733333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.2397804707288742,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,39268-1785686910547444500,39268,6144,28,10,12,6,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.0006011184304952621,0.04609086364507675,-0.08552423864603043,0.1988900899887085,11,5,2,4,0.45454545454545453,0.6363636363636364,1.5454545454545454,0.9090909090909091,0.2899755835533142,0.00048828125,0.0025878907181322575,0.0004931220319122076,0.003093261504545808,0.0020996094681322575,0.2099609375,-0.0033554688561707735,0.0,0.0,0.0,0.0,0.0006011184304952621,0.0025878907181322575,0.0034844866022467613,1.3459380799049823,1.0,1.2961029342295143,-0.01711250515654683,0.026692035258747637,0.022890469059348106,0.0021819891408085823,0.02386315166950226,0.026944078505039215,0.029048247262835503,0.03117525950074196,0.0,0.0,0.0,4.140440404415131,0.009134588137385435,0.08642578125,0.2791330898180604,0.00048976,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1675906628370285,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,39268-1785686910547444500,39268,8192,37,15,12,10,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.0018452201038599014,0.04670504108071327,0.006789630278944969,0.2630176246166229,9,5,0,4,0.5555555555555556,1.0,2.111111111111111,1.1111111111111112,0.3570905327796936,0.00146484375,0.004199218936264515,0.0009831630159169436,0.0026953122578561306,0.005322265438735485,0.5322265625,-0.0036171877291053534,0.0,0.0,0.0,0.0,0.0018452201038599014,0.006787109188735485,0.0051188377547077835,0.7540888946221179,1.0,0.5328711764253716,-0.022862702433485538,0.04235854488797486,0.03129395470023155,0.004802664276212454,0.03721790760755539,0.04302039369940758,0.04738403856754303,0.051843516528606415,0.0,0.0,0.0,4.360078901052475,0.012497933006670792,0.1229248046875,0.3568510813638568,0.00048634666666666666,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.21089182794094086,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,39268-1785686910547444500,39268,10240,46,20,14,12,0.43478260869565216,0.43478260869565216,0.43478260869565216,-0.0004947285633534193,0.028998980298638344,-0.0581844262778759,0.19841064512729645,9,5,2,2,0.5555555555555556,0.3333333333333333,1.0,0.6666666666666666,0.09089779853820801,0.0009765625,0.0013671875931322575,-0.00042525160824880004,0.0018383788410574198,-0.0010253905784338713,-0.1025390625,-0.003728515701368451,0.0,0.0,0.0,0.0,-0.0004947285633534193,-4.882807843387127e-05,0.0017204694013344124,34.52811056355931,1.0,74.82760360339212,-0.025737158837728202,0.032987381680868566,0.028659990057349205,0.0028369061183184385,0.029200227931141853,0.032615453004837036,0.03687310591340065,0.0387629009783268,0.0,0.0,0.0,4.466814458370209,0.012254459710675292,0.1163330078125,0.2926240498200059,0.0004829333333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.18917830288410187,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,39268-1785686910547444500,39268,12288,54,25,14,15,0.46296296296296297,0.46,0.46296296296296297,0.001953340834006667,0.04231317341327667,0.05817306414246559,0.2283778041601181,8,5,0,3,0.625,1.0,1.0,0.0,0.30534863471984863,0.001708984375,0.004199218936264515,0.000697427021805197,0.0023291013203561306,0.0050292969681322575,0.5029296875,-0.0034121093340218067,0.0,0.0,0.0,0.0,0.001953340834006667,0.0067382813431322575,0.004955851021804847,0.7353678781870657,1.0,0.506301660413533,-0.02559759997529909,0.03766479413025081,0.03287912905216217,0.002785339020192623,0.03395345062017441,0.037899456918239594,0.041302479803562164,0.0426756776869297,0.0,0.0,0.0,4.1572993993759155,0.011173826344020199,0.10400390625,0.3604797348380089,0.00047952,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.19034318625926971,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,39268-1785686910547444500,39268,14336,66,31,16,19,0.4696969696969697,0.54,0.4696969696969697,0.00019309826893731952,0.04345417022705078,-0.01874786987900734,0.2069637030363083,12,6,2,4,0.5,0.5833333333333334,1.6666666666666667,1.0833333333333333,0.3965875506401062,0.0009765625,0.0015625000232830644,0.0004750062362290919,0.0027514647226780653,0.001269531319849193,0.126953125,-0.003515625139698386,0.0,0.0,0.0,0.0,0.00019309826893731952,0.002246093819849193,0.0023691177630098537,1.0543030033204621,1.0,1.5645208529541177,-0.025616690516471863,0.025660009123384953,0.02138838917016983,0.003091497579589486,0.022279683500528336,0.02571437880396843,0.028125111013650894,0.03472991660237312,0.0,0.0,0.0,4.213347136974335,0.011319158256810624,0.1048583984375,0.29101745318621397,0.0004761066666666667,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16076862812042236,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,39268-1785686910547444500,39268,16384,75,35,16,24,0.4666666666666667,0.54,0.4666666666666667,0.0019286437891423702,0.038625914603471756,0.1161729246377945,0.2807377576828003,9,4,0,5,0.4444444444444444,0.6666666666666666,1.2222222222222223,0.5555555555555556,0.3893454670906067,0.000732421875,0.00439453125,0.0009418466361239552,0.0021508787758648396,0.0060058594681322575,0.6005859375,-0.0034960939083248377,0.0,0.0,0.0,0.0,0.0019286437891423702,0.0067382813431322575,0.005167712602997199,0.7668046991781128,1.0,0.5187636085096184,-0.02995915964129381,0.04902241099625826,0.04086276516318321,0.005285188090056181,0.045327745378017426,0.0482344850897789,0.05208438262343407,0.06616024672985077,0.0,0.0,0.0,4.198813259601593,0.012139025624492206,0.1092529296875,0.3845627158880234,0.00047269333333333337,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.21938079595565796,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,39268-1785686910547444500,39268,18432,85,38,18,29,0.4470588235294118,0.5,0.4470588235294118,-0.000850085518322885,0.03969888016581535,0.019901927560567856,0.2086818367242813,10,3,2,5,0.3,0.1,0.8,0.7,0.40580397844314575,-0.000732421875,0.0009277344215661287,0.00024735170882195234,0.00274658203125,-0.0009765625,-0.09765625,-0.0036210936959832907,0.0,0.0,0.0,0.0,-0.000850085518322885,-0.001708984375,0.0016762178565841168,0.9802533175685403,1.0,2.117618002201506,-0.023033729037986353,0.025053029163525656,0.019597500562667847,0.0027305944822728634,0.021759390830993652,0.025241564959287643,0.028220007196068764,0.028364796191453934,0.0,0.0,0.0,4.2381364565629225,0.01254907545920175,0.11673677884615384,0.36036840081214905,0.00046928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16086053848266602,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,39268-1785686910547444500,39268,20480,94,41,21,32,0.43617021276595747,0.44,0.43617021276595747,0.0010660022962838411,0.04160716012120247,0.09727710485458374,0.27923205494880676,9,3,3,3,0.3333333333333333,0.3333333333333333,1.2222222222222223,0.8888888888888888,0.4114699363708496,-0.000732421875,0.0040039061568677425,0.0008538059191778302,0.0021508783102035522,0.004199218936264515,0.419921875,-0.0034550782293081284,0.0,0.0,0.0,0.0,0.0010660022962838411,0.003466797061264515,0.004755077214213088,1.3712097709890707,1.0,0.9963323021123535,-0.027643260512767092,0.04412124439009598,0.0362672433257103,0.004566470626741648,0.03802139312028885,0.04315407946705818,0.049763720482587814,0.05163367837667465,0.0,0.0,0.0,4.1051559788840155,0.012691234238445759,0.10700334821428571,0.4027068763971329,0.00046586666666666664,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.21421486139297485,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
