episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,g0_v2_rewardv5_seed3100001,28180,1424,0,89,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,89,0.3999999761581421,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,6.350633942679073,1.0,0.5,-0.004777386784553528,0.0,1.0,100.0,0.0,0.55439293384552,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
2,g0_v2_rewardv5_seed3100001,28180,1488,0,93,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,93,0.5199999809265137,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,7.434081374957997,1.0,0.5,-0.010354235768318176,0.0,1.0,100.0,-0.004000000189989805,0.5534581542015076,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
3,g0_v2_rewardv5_seed3100001,28180,1504,0,94,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,94,0.5199999809265137,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,6.775989288979388,1.0,0.5,-0.010091349482536316,0.0,1.0,100.0,0.0,0.554162859916687,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
4,g0_v2_rewardv5_seed3100001,28180,1552,0,97,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,97,0.5600000023841858,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,6.602240808231315,1.0,0.5,-0.03531394898891449,0.029999999329447746,1.0,100.0,0.0,0.5543697476387024,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
5,g0_v2_rewardv5_seed3100001,28180,1696,0,106,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,106,0.5999999642372131,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,6.293804240676592,-1.0,-0.5,-0.013822197914123535,0.0,-1.0,-100.0,-0.00800000037997961,-0.55657958984375,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
6,g0_v2_rewardv5_seed3100001,28180,1696,0,106,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,106,0.5199999809265137,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,6.426661653338738,1.0,0.0,0.003496214747428894,0.0,0.0,0.0,0.0,0.24512404203414917,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
7,g0_v2_rewardv5_seed3100001,28180,1856,0,116,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,116,0.5600000023841858,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,7.399207805765086,-1.0,-0.5,0.015172362327575684,0.0,-1.0,-100.0,-0.004000000189989805,-0.5546355843544006,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
8,g0_v2_rewardv5_seed3100001,28180,1856,0,116,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,116,0.6399999856948853,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,7.018515225114493,-1.0,0.0,-0.007540032267570496,0.0,0.0,0.0,-0.004000000189989805,-0.24630115926265717,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
9,g0_v2_rewardv5_seed3100001,28180,1856,0,116,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,116,0.5999999642372131,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,6.023289647595636,-1.0,-0.5,-0.0012732744216918945,0.0,-1.0,-100.0,-0.004000000189989805,-0.5553468465805054,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
10,g0_v2_rewardv5_seed3100001,28180,2144,1,6,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,2,1,134,0.6399999856948853,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,6.328545869286381,1.0,0.5,-0.021654218435287476,0.04999999701976776,1.0,100.0,0.0,0.5558252334594727,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
