condition,condition_display,opponent,map,cell_seed,episode_index,episode_seed,return,success,steps,blue_score,red_score,score_margin,strategy_switches,strategy_resamples,strategy_unique_count,strategy_entropy_mean,strategy_dominant,checkpoint
learned_qphi_switching,learned_router,OP8,map_b,12000,0,1567454902,-1.0224197009811178,1,77,3,0,3,0,3,1,1.3770484475346354,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,12000,1,828165341,-0.8263547296519391,1,96,3,0,3,0,3,1,1.3770829016963642,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,12000,2,2288446678,-1.4030796508595813,1,95,3,2,1,0,3,1,1.37618828572725,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,12000,3,1246762053,-1.239762066543335,1,104,3,1,2,0,4,1,1.3766889170958445,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,12000,4,4204714612,-1.7028108690283261,1,103,3,2,1,0,4,1,1.3766426299382182,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,12000,5,3390190298,-0.41779061386478133,1,81,3,1,2,0,3,1,1.3769377263975733,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,12000,6,3786980591,-1.4147737123712432,1,112,3,1,2,0,4,1,1.3766517170837946,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,12000,7,206865822,-0.5195738823676948,1,87,3,0,3,0,3,1,1.3767815102105854,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,12000,8,3902646178,-2.3334580285591073,1,110,3,1,2,0,4,1,1.3765259796922857,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,12000,9,2768330915,-1.6344755867030472,1,109,3,1,2,0,4,1,1.3763535667996887,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,12100,0,812546814,-3.119251960917609,1,141,3,1,2,0,5,1,1.377084217172988,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,12100,1,1217414495,-5.237404120154679,1,141,3,0,3,0,5,1,1.3770510583904618,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,12100,2,2711509458,-5.928459200746147,1,146,3,1,2,0,5,1,1.3758981799426144,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,12100,3,932595850,-2.321616146567976,1,109,3,1,2,0,4,1,1.3771528902403805,3,checkpoints/2v2/final_v6i9-router-credit-mechanism-seed1_2v2.zip
