condition,condition_display,opponent,map,episode_seed,cell_seed,episode_index,initial_z,z_sequence,z_sequence_len,z_switches_at_opportunities,logged_switches,router_entropy_mean,return,score_margin,episode_length,strategy_switches,strategy_resamples,strategy_unique_count
learned_qphi_switching,learned_router,OP8,map_b,1567454902,12000,0,3,3 3 3,3,0,0,1.3745475872358661,-1.0224197009811178,3,77,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,828165341,12000,1,,,0,0,0,nan,-0.8263547296519391,3,96,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,2288446678,12000,2,,,0,0,0,nan,-1.4030796508595813,1,95,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,1246762053,12000,3,,,0,0,0,nan,-1.239762066543335,2,104,0,4,1
learned_qphi_switching,learned_router,OP8,map_b,4204714612,12000,4,,,0,0,0,nan,-1.7028108690283261,1,103,0,4,1
learned_qphi_switching,learned_router,OP8,map_b,3390190298,12000,5,,,0,0,0,nan,-0.41779061386478133,2,81,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,3786980591,12000,6,,,0,0,0,nan,-1.4147737123712432,2,112,0,4,1
learned_qphi_switching,learned_router,OP8,map_b,206865822,12000,7,,,0,0,0,nan,-0.5195738823676948,3,87,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,3902646178,12000,8,,,0,0,0,nan,-2.3334580285591073,2,110,0,4,1
learned_qphi_switching,learned_router,OP8,map_b,2768330915,12000,9,,,0,0,0,nan,-1.6344755867030472,2,109,0,4,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,812546814,12100,0,3,3 3 3 3 3,5,0,0,1.3764603251559764,-3.119251960917609,2,141,0,5,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,1217414495,12100,1,,,0,0,0,nan,-5.237404120154679,3,141,0,5,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,2711509458,12100,2,,,0,0,0,nan,-5.928459200746147,2,146,0,5,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,932595850,12100,3,,,0,0,0,nan,-2.321616146567976,2,109,0,4,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3185858285,12100,4,,,0,0,0,nan,-0.8387708324880805,3,82,0,3,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3646931710,12100,5,,,0,0,0,nan,-0.5604793089150917,2,91,0,3,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3540334443,12100,6,,,0,0,0,nan,-0.7337685411330312,2,81,0,3,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4255550319,12100,7,,,0,0,0,nan,-6.639969282812672,3,178,0,6,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3918272334,12100,8,,,0,0,0,nan,-1.0691429423750378,3,97,0,4,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,689111831,12100,9,,,0,0,0,nan,-0.7902215816720854,3,82,0,3,1
learned_qphi_switching,learned_router,OP10,map_b,284427023,13000,0,3,3 3 3 3,4,0,0,1.37702875486718,-1.9377811955637299,2,102,0,4,1
learned_qphi_switching,learned_router,OP10,map_b,2715975335,13000,1,,,0,0,0,nan,-1.5346823160653003,3,93,0,3,1
learned_qphi_switching,learned_router,OP10,map_b,1039790048,13000,2,,,0,0,0,nan,-9.238058332819492,-1,193,0,7,1
learned_qphi_switching,learned_router,OP10,map_b,1121016425,13000,3,,,0,0,0,nan,-4.510020639834693,3,154,0,5,1
learned_qphi_switching,learned_router,OP10,map_b,3746914714,13000,4,,,0,0,0,nan,-8.165029171999777,2,187,0,6,1
learned_qphi_switching,learned_router,OP10,map_b,603743737,13000,5,,,0,0,0,nan,-4.068324936670251,3,156,0,5,1
learned_qphi_switching,learned_router,OP10,map_b,3842096435,13000,6,,,0,0,0,nan,-20.05730076445616,2,388,0,13,1
learned_qphi_switching,learned_router,OP10,map_b,1635050873,13000,7,,,0,0,0,nan,-13.038262569636572,1,275,0,9,1
learned_qphi_switching,learned_router,OP10,map_b,2038744223,13000,8,,,0,0,0,nan,-0.7060939721413888,3,94,0,3,1
learned_qphi_switching,learned_router,OP10,map_b,3951542792,13000,9,,,0,0,0,nan,-4.625297886610497,1,150,0,5,1
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,2777372960,13100,0,3,3 3 3 3 3,5,0,0,1.376754951132073,-5.3378409382130485,2,143,0,5,1
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,3407611472,13100,1,,,0,0,0,nan,-6.898606857226696,3,195,0,7,1
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,15168419,13100,2,,,0,0,0,nan,-0.7590799788886216,3,112,0,4,1
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,926867686,13100,3,,,0,0,0,nan,-12.728850385581609,3,262,0,9,1
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,2767448926,13100,4,,,0,0,0,nan,-3.530605717882281,2,123,0,4,1
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,4145272665,13100,5,,,0,0,0,nan,-1.5720209188002627,1,97,0,4,1
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,767378748,13100,6,,,0,0,0,nan,-5.8003867251682095,2,160,0,5,1
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,3685093027,13100,7,,,0,0,0,nan,-3.4918637855444103,3,124,0,4,1
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,726531779,13100,8,,,0,0,0,nan,-5.048200952558545,2,135,0,5,1
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,2562741175,13100,9,,,0,0,0,nan,-5.687829187721945,2,141,0,5,1
fixed_z2,fixed_z2,OP8,map_b,1567454902,12000,0,2,2,1,0,0,nan,-3.0267194341577124,2,114,0,0,1
fixed_z2,fixed_z2,OP8,map_b,828165341,12000,1,2,2,1,0,0,nan,-1.755606940801954,2,109,0,0,1
fixed_z2,fixed_z2,OP8,map_b,2288446678,12000,2,2,2,1,0,0,nan,-3.8511972743144725,2,161,0,0,1
fixed_z2,fixed_z2,OP8,map_b,1246762053,12000,3,2,2,1,0,0,nan,-2.133858081535436,2,106,0,0,1
fixed_z2,fixed_z2,OP8,map_b,4204714612,12000,4,2,2,1,0,0,nan,-0.7757786275760736,3,86,0,0,1
fixed_z2,fixed_z2,OP8,map_b,3390190298,12000,5,2,2,1,0,0,nan,-1.0793010118068196,2,93,0,0,1
fixed_z2,fixed_z2,OP8,map_b,3786980591,12000,6,2,2,1,0,0,nan,-3.459876168461051,1,141,0,0,1
fixed_z2,fixed_z2,OP8,map_b,206865822,12000,7,2,2,1,0,0,nan,-3.278732775186654,1,127,0,0,1
fixed_z2,fixed_z2,OP8,map_b,3902646178,12000,8,2,2,1,0,0,nan,-3.7424699422554113,2,150,0,0,1
fixed_z2,fixed_z2,OP8,map_b,2768330915,12000,9,2,2,1,0,0,nan,-1.0343335634679534,2,91,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,812546814,12100,0,2,2,1,0,0,nan,-0.1475043382961303,3,87,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,1217414495,12100,1,2,2,1,0,0,nan,-0.5188729758083355,3,91,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,2711509458,12100,2,2,2,1,0,0,nan,-3.4902495805290528,2,115,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,932595850,12100,3,2,2,1,0,0,nan,-7.748300294333603,2,208,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,3185858285,12100,4,2,2,1,0,0,nan,-0.4338936523417942,2,86,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,3646931710,12100,5,2,2,1,0,0,nan,-6.738438879488967,3,181,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,3540334443,12100,6,2,2,1,0,0,nan,-0.5530607474502176,2,75,0,0,1
