condition,condition_display,opponent,map,episode_seed,cell_seed,episode_index,initial_z,z_sequence,z_sequence_len,z_switches_at_opportunities,logged_switches,router_entropy_mean,return,score_margin,episode_length,strategy_switches,strategy_resamples,strategy_unique_count
learned_qphi_switching,learned_router,OP8,map_b,4179445,14000,0,3,3 3 3 3 3,5,0,0,1.2374280830945061,-4.737459754920565,3,160,0,5,1
learned_qphi_switching,learned_router,OP8,map_b,320145262,14000,1,,,0,0,0,nan,-1.8073574428563006,2,94,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,175670965,14000,2,,,0,0,0,nan,-1.6271068154310342,1,100,0,4,1
learned_qphi_switching,learned_router,OP8,map_b,3309360977,14000,3,,,0,0,0,nan,-1.072823638416594,2,91,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,831158229,14000,4,,,0,0,0,nan,-1.1926044051360805,2,102,0,4,1
learned_qphi_switching,learned_router,OP8,map_b,2057729978,14000,5,,,0,0,0,nan,-0.9161347647604998,3,95,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,921379453,14000,6,,,0,0,0,nan,-3.1824597463710234,3,129,0,5,1
learned_qphi_switching,learned_router,OP8,map_b,1059735358,14000,7,,,0,0,0,nan,-4.301710002793698,2,144,0,5,1
learned_qphi_switching,learned_router,OP8,map_b,2140741734,14000,8,,,0,0,0,nan,-0.5096241002902389,2,90,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,3436750701,14000,9,,,0,0,0,nan,-9.136658462142805,1,202,0,7,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3030732559,14100,0,3,3 3 3,3,0,0,1.2200504585314043,-1.5212294419761747,2,81,0,3,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3514442894,14100,1,,,0,0,0,nan,-1.8889652201032732,2,119,0,4,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,448673558,14100,2,,,0,0,0,nan,-1.7806680526118726,2,113,0,4,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,2496852945,14100,3,,,0,0,0,nan,-0.986665607750183,2,79,0,3,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3445903776,14100,4,,,0,0,0,nan,-2.0553094378556125,3,91,0,3,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,1269436864,14100,5,,,0,0,0,nan,-5.7868226462451275,2,156,0,5,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3396241328,14100,6,,,0,0,0,nan,-1.334433314652415,1,90,0,3,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,222470533,14100,7,,,0,0,0,nan,-3.288857681734953,2,133,0,5,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,1665388930,14100,8,,,0,0,0,nan,-0.5731244933849666,2,80,0,3,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,2936868036,14100,9,,,0,0,0,nan,-0.643012109270785,2,89,0,3,1
learned_qphi_switching,learned_router,OP10,map_b,578142903,15000,0,3,3 3 3 3 3 3 3,7,0,0,1.2375117216646125,-8.112368169153342,3,207,0,7,1
learned_qphi_switching,learned_router,OP10,map_b,501772131,15000,1,,,0,0,0,nan,-4.254301250912249,2,133,0,5,1
learned_qphi_switching,learned_router,OP10,map_b,4233525847,15000,2,,,0,0,0,nan,-1.1525087439804338,3,111,0,4,1
learned_qphi_switching,learned_router,OP10,map_b,3579978587,15000,3,,,0,0,0,nan,-0.6633396317774896,2,91,0,3,1
