condition,condition_display,opponent,map,cell_seed,episode_index,episode_seed,return,success,steps,blue_score,red_score,score_margin,strategy_switches,strategy_resamples,strategy_unique_count,strategy_entropy_mean,strategy_dominant,checkpoint
learned_qphi_switching,learned_router,OP8,map_b,9000,0,3931152401,-10.581967527308734,1,239,3,1,2,2,8,2,1.3853525776244606,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,1,4133960357,-0.8149629623512737,1,103,3,1,2,0,4,1,1.3856213173819978,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,2,2168068180,-2.3622560373623855,1,102,3,2,1,1,4,2,1.3856271201489019,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,3,1198698609,-6.322821407899028,1,192,3,1,2,3,6,2,1.385527345041434,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,4,1809413231,-4.77906746516237,1,162,3,1,2,0,6,1,1.3854590514559804,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,5,2369751177,-7.351740331097972,1,185,3,1,2,3,6,2,1.3854608806403907,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,6,2634179127,-2.391357275628252,1,120,3,1,2,1,4,2,1.3856218655904133,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,7,1959344709,-3.294819671253208,1,125,3,1,2,0,4,1,1.3855183591842652,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,8,307956145,-6.347638753242791,1,185,3,1,2,3,6,2,1.3855089297165741,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,9,2260348611,-8.24065122421598,1,202,3,1,2,0,7,1,1.3853724067754085,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,10,164305612,-0.7444426619622391,1,95,3,1,2,0,3,1,1.385510886342902,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,11,323063123,-2.25610534005682,1,126,3,1,2,1,4,2,1.385628098533267,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,12,2408712126,-2.3456787337199785,1,102,3,2,1,1,4,2,1.3857180289193696,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,13,3285696593,-1.3990727794298436,1,94,3,2,1,0,3,1,1.3856986367956121,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,14,941609525,-12.241890413046349,1,266,3,1,2,0,9,1,1.3854299245920396,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,15,3379009567,-2.8405012387083843,1,112,3,1,2,1,4,2,1.385681896337441,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,16,1685689940,-5.478094052930828,1,173,3,1,2,0,6,1,1.385360583404585,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,17,1115813738,-1.6219154952268582,1,92,3,1,2,1,3,2,1.3856467086335886,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,18,486952603,-0.05713589341030456,1,78,3,1,2,0,3,1,1.385709857329344,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,19,244585634,-0.6540940392296761,1,91,3,1,2,0,3,1,1.3856601728187812,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,20,1257603099,-1.7417763842677232,1,100,3,1,2,0,4,1,1.3855406725406647,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,21,264235122,-3.7170563796244096,1,150,3,0,3,3,5,2,1.3854124712944031,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,22,909622915,-9.975650990207214,1,230,3,2,1,0,8,1,1.3854690919751707,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9000,23,3446772807,-1.0380643894022796,1,91,3,1,2,0,3,1,1.3856885406997177,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
