condition,condition_display,opponent,map,episode_seed,cell_seed,episode_index,initial_z,z_sequence,z_sequence_len,z_switches_at_opportunities,logged_switches,router_entropy_mean,return,score_margin,episode_length,strategy_switches,strategy_resamples,strategy_unique_count
learned_qphi_switching,learned_router,OP8,map_b,3931152401,9000,0,3,3 3 3 3 3 0 3 3,8,2,2,1.3854452845861962,-10.581967527308734,2,239,2,8,2
learned_qphi_switching,learned_router,OP8,map_b,4133960357,9000,1,,,0,0,0,nan,-0.8149629623512737,2,103,0,4,1
learned_qphi_switching,learned_router,OP8,map_b,2168068180,9000,2,,,0,0,0,nan,-2.3622560373623855,1,102,1,4,2
learned_qphi_switching,learned_router,OP8,map_b,1198698609,9000,3,,,0,0,0,nan,-6.322821407899028,2,192,3,6,2
learned_qphi_switching,learned_router,OP8,map_b,1809413231,9000,4,,,0,0,0,nan,-4.77906746516237,2,162,0,6,1
learned_qphi_switching,learned_router,OP8,map_b,2369751177,9000,5,,,0,0,0,nan,-7.351740331097972,2,185,3,6,2
learned_qphi_switching,learned_router,OP8,map_b,2634179127,9000,6,,,0,0,0,nan,-2.391357275628252,2,120,1,4,2
learned_qphi_switching,learned_router,OP8,map_b,1959344709,9000,7,,,0,0,0,nan,-3.294819671253208,2,125,0,4,1
learned_qphi_switching,learned_router,OP8,map_b,307956145,9000,8,,,0,0,0,nan,-6.347638753242791,2,185,3,6,2
learned_qphi_switching,learned_router,OP8,map_b,2260348611,9000,9,,,0,0,0,nan,-8.24065122421598,2,202,0,7,1
learned_qphi_switching,learned_router,OP8,map_b,164305612,9000,10,,,0,0,0,nan,-0.7444426619622391,2,95,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,323063123,9000,11,,,0,0,0,nan,-2.25610534005682,2,126,1,4,2
learned_qphi_switching,learned_router,OP8,map_b,2408712126,9000,12,,,0,0,0,nan,-2.3456787337199785,1,102,1,4,2
learned_qphi_switching,learned_router,OP8,map_b,3285696593,9000,13,,,0,0,0,nan,-1.3990727794298436,1,94,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,941609525,9000,14,,,0,0,0,nan,-12.241890413046349,2,266,0,9,1
learned_qphi_switching,learned_router,OP8,map_b,3379009567,9000,15,,,0,0,0,nan,-2.8405012387083843,2,112,1,4,2
learned_qphi_switching,learned_router,OP8,map_b,1685689940,9000,16,,,0,0,0,nan,-5.478094052930828,2,173,0,6,1
learned_qphi_switching,learned_router,OP8,map_b,1115813738,9000,17,,,0,0,0,nan,-1.6219154952268582,2,92,1,3,2
learned_qphi_switching,learned_router,OP8,map_b,486952603,9000,18,,,0,0,0,nan,-0.05713589341030456,2,78,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,244585634,9000,19,,,0,0,0,nan,-0.6540940392296761,2,91,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,1257603099,9000,20,,,0,0,0,nan,-1.7417763842677232,2,100,0,4,1
learned_qphi_switching,learned_router,OP8,map_b,264235122,9000,21,,,0,0,0,nan,-3.7170563796244096,3,150,3,5,2
learned_qphi_switching,learned_router,OP8,map_b,909622915,9000,22,,,0,0,0,nan,-9.975650990207214,1,230,0,8,1
learned_qphi_switching,learned_router,OP8,map_b,3446772807,9000,23,,,0,0,0,nan,-1.0380643894022796,2,91,0,3,1
learned_qphi_switching,learned_router,OP8,map_b,3588524931,9000,24,,,0,0,0,nan,-3.6890480337606277,2,134,1,5,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,1016020432,9100,0,0,0 3 3 0,4,2,2,1.3853535682698541,-1.6981166541518178,2,119,2,4,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3977254452,9100,1,,,0,0,0,nan,-1.6976504492631648,1,85,1,3,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,166971756,9100,2,,,0,0,0,nan,-7.35512152640149,3,197,3,7,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,758984956,9100,3,,,0,0,0,nan,-1.2266542222350836,3,119,1,4,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,1384147215,9100,4,,,0,0,0,nan,-2.3370035449333955,2,94,1,3,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3467558512,9100,5,,,0,0,0,nan,-3.3208978472976014,3,132,0,5,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,1862507479,9100,6,,,0,0,0,nan,-3.014191643538652,3,125,1,4,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,779818389,9100,7,,,0,0,0,nan,-2.478203561156988,3,115,1,4,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,485061299,9100,8,,,0,0,0,nan,-4.231401940342039,2,147,0,5,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4067586421,9100,9,,,0,0,0,nan,-3.1192324584990274,2,124,1,4,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,3126833638,9100,10,,,0,0,0,nan,-5.808498495258391,-1,134,1,5,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,1171708654,9100,11,,,0,0,0,nan,-5.752553706028266,3,172,2,6,2
