condition,condition_display,opponent,map,episode_seed,cell_seed,episode_index,initial_z,z_sequence,z_sequence_len,z_switches_at_opportunities,logged_switches,router_entropy_mean,return,score_margin,episode_length,strategy_switches,strategy_resamples,strategy_unique_count
fixed_z2,fixed_z2,OP8,map_b,1016020432,9100,0,2,2,1,0,0,nan,-6.693783697090112,2,180,0,0,1
fixed_z2,fixed_z2,OP8,map_b,1016020432,9100,1,2,2,1,0,0,nan,-6.693783697090112,2,180,0,0,1
uniform_episode_fixed,uniform_z_episode_fixed,OP8,map_b,1016020432,9100,0,1,1,1,0,0,1.384302574826596,-2.0947583149536513,2,99,0,1,1
uniform_episode_fixed,uniform_z_episode_fixed,OP8,map_b,1016020432,9100,1,1,1,1,0,0,1.384302574826596,-2.0947583149536513,2,99,0,1,1
qphi_initial_only_no_switch,learned_router_start_only,OP8,map_b,1016020432,9100,0,0,0,1,0,0,1.384302574826596,-2.5691873488249257,2,156,0,1,1
qphi_initial_only_no_switch,learned_router_start_only,OP8,map_b,1016020432,9100,1,0,0,1,0,0,1.384302574826596,-2.5691873488249257,2,156,0,1,1
shuffled_qphi_initial_only_no_switch,shuffled_router_start_only,OP8,map_b,1016020432,9100,0,0,0,1,0,0,1.384302574826596,-2.5691873488249257,2,156,0,1,1
shuffled_qphi_initial_only_no_switch,shuffled_router_start_only,OP8,map_b,1016020432,9100,1,0,0,1,0,0,1.384302574826596,-2.5691873488249257,2,156,0,1,1
learned_qphi_switching,learned_router,OP8,map_b,1016020432,9100,0,0,0 3 0 3,4,3,3,1.3851398122030871,-2.890362682257546,2,124,3,4,2
learned_qphi_switching,learned_router,OP8,map_b,1016020432,9100,1,0,0 3 0 3,4,3,4,1.3851398122030871,-2.890362682257546,2,124,3,4,2
