condition,opponent,seed,environment_seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
uniform_episode_fixed,OP8,9100,1016020432,0,0,0,1,-1,0,0.03260670602321625,-0.1013450101017952,-0.09049610048532486,0.027751237154006958,0.2663852572441101,0.23298916220664978,0.23553059995174408,0.26509496569633484
uniform_episode_fixed,OP8,9100,1016020432,1,0,0,1,1,0,0.03260670602321625,-0.1013450101017952,-0.09049610048532486,0.027751237154006958,0.2663852572441101,0.23298916220664978,0.23553059995174408,0.26509496569633484
qphi_initial_only_no_switch,OP8,9100,1016020432,0,0,0,0,-1,0,0.03260670602321625,-0.1013450101017952,-0.09049610048532486,0.027751237154006958,0.2663852572441101,0.23298916220664978,0.23553059995174408,0.26509496569633484
qphi_initial_only_no_switch,OP8,9100,1016020432,1,0,0,0,0,0,0.03260670602321625,-0.1013450101017952,-0.09049610048532486,0.027751237154006958,0.2663852572441101,0.23298916220664978,0.23553059995174408,0.26509496569633484
shuffled_qphi_initial_only_no_switch,OP8,9100,1016020432,0,0,0,0,-1,0,0.03260670602321625,-0.1013450101017952,-0.09049610048532486,0.027751237154006958,0.2663852572441101,0.23298916220664978,0.23553059995174408,0.26509496569633484
shuffled_qphi_initial_only_no_switch,OP8,9100,1016020432,1,0,0,0,0,0,0.03260670602321625,-0.1013450101017952,-0.09049610048532486,0.027751237154006958,0.2663852572441101,0.23298916220664978,0.23553059995174408,0.26509496569633484
learned_qphi_switching,OP8,9100,1016020432,0,0,0,0,-1,0,0.03260670602321625,-0.1013450101017952,-0.09049610048532486,0.027751237154006958,0.2663852572441101,0.23298916220664978,0.23553059995174408,0.26509496569633484
learned_qphi_switching,OP8,9100,1016020432,0,1,32,3,0,1,-0.02618429996073246,-0.02506486140191555,-0.04333756864070892,-0.01316744089126587,0.2501741945743561,0.2504543960094452,0.24591948091983795,0.25345197319984436
learned_qphi_switching,OP8,9100,1016020432,0,2,64,0,3,1,0.023893574252724648,-0.07882177829742432,-0.0887465626001358,0.01886145770549774,0.2637940049171448,0.23804344236850739,0.2356926053762436,0.26246991753578186
learned_qphi_switching,OP8,9100,1016020432,0,3,96,3,0,1,-0.006380273029208183,-0.04803154990077019,-0.09881650656461716,0.03231986612081528,0.2557302713394165,0.24529755115509033,0.2331511676311493,0.26582103967666626
learned_qphi_switching,OP8,9100,1016020432,1,0,0,0,3,1,0.03260670602321625,-0.1013450101017952,-0.09049610048532486,0.027751237154006958,0.2663852572441101,0.23298916220664978,0.23553059995174408,0.26509496569633484
learned_qphi_switching,OP8,9100,1016020432,1,1,32,3,0,1,-0.02618429996073246,-0.02506486140191555,-0.04333756864070892,-0.01316744089126587,0.2501741945743561,0.2504543960094452,0.24591948091983795,0.25345197319984436
learned_qphi_switching,OP8,9100,1016020432,1,2,64,0,3,1,0.023893574252724648,-0.07882177829742432,-0.0887465626001358,0.01886145770549774,0.2637940049171448,0.23804344236850739,0.2356926053762436,0.26246991753578186
learned_qphi_switching,OP8,9100,1016020432,1,3,96,3,0,1,-0.006380273029208183,-0.04803154990077019,-0.09881650656461716,0.03231986612081528,0.2557302713394165,0.24529755115509033,0.2331511676311493,0.26582103967666626
