exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7924-1788826458935354200,7924,2048,2,2,0,0,1.0,1.0,1.0,0.0020943074487149715,0.04270835220813751,0.12428992986679077,0.20785251259803772,2,2,0,0,1.0,2.5,3.0,0.5,0.02989351749420166,0.0009765625,0.0047851563431322575,0.0006212768494151533,0.012349274009466171,0.0059570311568677425,0.595703125,-0.005914062261581421,0.0,0.0,0.0,0.0,0.0020943074487149715,0.0069335936568677425,0.008027794057852589,1.1576444785488165,1.0,0.8528347231599319,-0.02560443917172961,0.03939768159762025,0.03246075287461281,0.003862337674945593,0.034837380051612854,0.039373915642499924,0.043247222900390625,0.04910925030708313,0.0,0.0,0.0,7.382225126028061,0.010104705557751004,0.085693359375,0.23406941443681717,0.000374232,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.20472222566604614,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7924-1788826458935354200,7924,4096,16,11,1,4,0.6875,0.6875,0.6875,0.0008427123539149761,0.03352103382349014,0.09377225488424301,0.15037673711776733,14,9,1,4,0.6428571428571429,0.7857142857142857,1.2142857142857142,0.42857142857142855,0.0645674467086792,0.0029296875,0.0015625001396983862,-0.0012614422012120485,0.026620464399456978,-0.002294922014698386,-0.2294921875,-0.004939453210681677,0.0,0.0,0.0,0.0,0.0008427123539149761,0.0006347654853016138,0.007902255689259619,12.429513510804547,1.0,7.769300669630325,-0.016484488296555355,0.019442350836470723,0.016565019264817238,0.001515809795819223,0.017787132412195206,0.01921285316348076,0.021100450307130814,0.022879185155034065,0.0,0.0,0.0,6.095504194498062,0.011832080010208301,0.1011962890625,0.31237483117729425,0.000373464,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.14544101059436798,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7924-1788826458935354200,7924,6144,18,12,1,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.00048394364421255887,0.029779762029647827,0.027553491294384003,0.16286148130893707,2,1,0,1,0.5,0.5,1.0,0.5,0.06696271896362305,0.000244140625,0.001757812569849193,-0.0012529760133475065,0.026066003367304802,-0.004687499720603228,-0.46875,-0.005410156212747097,0.0,0.0,0.0,0.0,-0.00048394364421255887,-0.004443359095603228,0.007961069408338517,1.7912750156067148,1.0,1.2173085244392887,-0.02168759028427303,0.02428747550584376,0.02000478282570839,0.0018504781182855368,0.022587209939956665,0.024069547653198242,0.026621108874678612,0.027725230902433395,0.0,0.0,0.0,6.606158763170242,0.011753403865441214,0.102294921875,0.35640010982751846,0.000372696,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15731418132781982,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7924-1788826458935354200,7924,8192,32,17,2,13,0.53125,0.53125,0.53125,-0.00013834596029482782,0.02726156637072563,0.04755473509430885,0.14983701705932617,14,5,1,8,0.35714285714285715,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.11043500900268555,0.0,0.0013183595146983862,-0.0008465796709060669,0.027805183082818985,-0.0036132812965661287,-0.361328125,-0.004976562689989805,0.0,0.0,0.0,0.0,-0.00013834596029482782,-0.0036132812965661287,0.008058010367676616,2.2294917596293358,1.0,1.3769162612544736,-0.023973621893674135,0.019280286971479654,0.015949796885252,0.0018968387739732862,0.016922708600759506,0.019428271800279617,0.021539637818932533,0.0220009945333004,0.0,0.0,0.0,6.062918305397034,0.010324434384529013,0.089599609375,0.2994189253076911,0.000371928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.14132140576839447,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7924-1788826458935354200,7924,10240,35,18,2,15,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.0006306266295723617,0.03665156289935112,0.037251848727464676,0.17425471544265747,3,1,0,2,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.286510705947876,0.0,0.002978515811264515,-0.001384007278829813,0.027026452124118805,-0.0012207032414153218,-0.1220703125,-0.005339843686670065,0.0,0.0,0.0,0.0,0.0006306266295723617,-0.0012207032414153218,0.009389127022586763,7.685276345595698,1.0,4.370818956397259,-0.03609061747556552,0.020531891146674752,0.018335580825805664,0.0013910433044657111,0.01871175318956375,0.020642291754484177,0.022430408746004105,0.023081447929143906,0.0,0.0,0.0,6.50216269493103,0.014548261409800034,0.125,0.4036587364971638,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.14718998968601227,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7924-1788826458935354200,7924,12288,48,26,3,19,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0006889954674988985,0.02937675639986992,0.035480137914419174,0.1590234339237213,13,8,1,4,0.6153846153846154,0.6923076923076923,0.9230769230769231,0.23076923076923078,0.27313363552093506,0.00244140625,0.0015625000232830644,-0.0009649667190387845,0.027102656662464142,-0.002636718563735485,-0.263671875,-0.004929687827825546,0.0,0.0,0.0,0.0,0.0006889954674988985,-0.00019531231373548508,0.008096922509139404,41.24510763012732,1.0,25.111454977133533,-0.025379971171227787,0.01656923507555173,0.014531002379953861,0.0014955907827243209,0.015080137178301811,0.016385866329073906,0.018306752666831017,0.019971679896116257,0.0,0.0,0.0,6.029899927286001,0.013080386355376014,0.1005108173076923,0.4426060456496019,0.00037039200000000004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1355777531862259,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7924-1788826458935354200,7924,14336,53,28,4,21,0.5283018867924528,0.5,0.5283018867924528,0.0004842430353164673,0.03110857866704464,0.026153551414608955,0.1593480259180069,5,2,1,2,0.4,0.2,0.8,0.6,0.33720719814300537,0.0,0.0010742187732830644,-0.0019819014705717564,0.032323095947504044,-0.0018066405318677425,-0.1806640625,-0.004724609665572643,0.0,0.0,0.0,0.0,0.0004842430353164673,-0.0018066405318677425,0.008659517392516136,4.790508533003904,1.0,2.6136887186806694,-0.028823954549928508,0.01589346074809631,0.01392509788274765,0.001216782140545547,0.014658426865935326,0.015879618003964424,0.016990402713418007,0.018889255821704865,0.0,0.0,0.0,5.737966950734457,0.013858658929045002,0.10859375,0.531572683652242,0.000369624,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1297285556793213,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7924-1788826458935354200,7924,16384,66,32,5,29,0.48484848484848486,0.42,0.48484848484848486,0.0001019361661747098,0.037100642919540405,0.03203105181455612,0.2250513881444931,13,4,1,8,0.3076923076923077,0.46153846153846156,0.6923076923076923,0.23076923076923078,0.4627948999404907,-0.00048828125,0.0022949217818677425,-0.000553941703401506,0.026153549551963806,-0.002343749860301614,-0.234375,-0.0051484378054738045,0.0,0.0,0.0,0.0,0.0001019361661747098,-0.002832031110301614,0.008694823744008318,3.0690886917520075,1.0,1.8172895407864704,-0.03275179717456922,0.025030645774677396,0.0211891308426857,0.002151290187612176,0.022557619959115982,0.024481333792209625,0.028009971603751183,0.02838093228638172,0.0,0.0,0.0,6.25532791018486,0.01360274717444554,0.1214599609375,0.5924456305801868,0.00036885600000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16494978964328766,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7924-1788826458935354200,7924,18432,70,35,5,30,0.5,0.44,0.5,0.001319818664342165,0.03333594650030136,0.03020683117210865,0.17644909024238586,4,3,0,1,0.75,1.0,1.25,0.25,0.3270105719566345,0.001220703125,0.0022949217818677425,-0.0015546593349426985,0.031312666833400726,-0.0005371093866415322,-0.0537109375,-0.004802734591066837,0.0,0.0,0.0,0.0,0.001319818664342165,0.0006835937383584678,0.00973442365648225,14.219270657987085,1.0,7.015452117021882,-0.028829339820031937,0.020321049082737703,0.01774945668876171,0.0018373369239270687,0.018167531117796898,0.020367946475744247,0.02300364151597023,0.023815248161554337,0.0,0.0,0.0,5.837849837083083,0.013583743111946834,0.11733774038461539,0.4747463854459616,0.00036808800000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1447516679763794,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7924-1788826458935354200,7924,20480,83,41,5,37,0.4939759036144578,0.46,0.4939759036144578,0.0005145012983120978,0.031252421438694,0.05181296542286873,0.21807807683944702,13,6,0,7,0.46153846153846156,0.46153846153846156,0.8461538461538461,0.38461538461538464,0.43307191133499146,0.001220703125,0.0012695312034338713,-0.001046125777065754,0.024751214310526848,-0.0009277343051508069,-0.0927734375,-0.005214843899011612,0.0,0.0,0.0,0.0,0.0005145012983120978,0.0002929688198491931,0.007195803336799145,24.47811757890042,1.0,17.73944563810149,-0.026993031190200287,0.026880178092555565,0.024096518754959106,0.0018207497196272016,0.02547113224864006,0.026275072246789932,0.02800215221941471,0.031359948217868805,0.0,0.0,0.0,6.242800625887784,0.01273133234247904,0.10298295454545454,0.5919072221625935,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16420108079910278,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
