exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2620-1790091728798514000,2620,2048,1,1,0,0,1.0,1.0,1.0,0.0033092426601797342,0.03500768169760704,3.073622703552246,1.8750842809677124,1,1,0,0,1.0,3.0,3.0,0.0,0.7624467015266418,0.00048828125,0.0062500000931322575,0.0010163042461499572,0.02249980717897415,0.00693359412252903,0.693359375,-0.0056757815182209015,0.0,0.0,0.0,0.0,0.0033092426601797342,0.00742187537252903,0.012129027949413285,1.634006680793946,1.0,0.7646338155192709,0.007187818177044392,0.8263186365365982,0.7304777503013611,0.0864698737859726,0.7482767701148987,0.8046971559524536,0.9216576814651489,0.9654024839401245,0.0,0.0,0.0,2.180051565170288,0.01975317385222297,0.09814453125,3.1257585883140564,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.9139056205749512,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2620-1790091728798514000,2620,4096,16,12,0,4,0.75,0.75,0.75,0.0024478116538375616,0.02354183793067932,5.31569766998291,3.2962305545806885,15,11,0,4,0.7333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.9912417531013489,0.00439453125,0.002490234561264515,-0.0015411595813930035,0.033657949417829514,-0.00039062497671693563,-0.0390625,-0.004574218764901161,0.0,0.0,0.0,0.0,0.0024478116538375616,0.004003906273283064,0.010519432020373642,2.6266362562712926,1.0,1.142153761603863,0.002919289283454418,0.0936519555747509,0.061274703592061996,0.017350103706121445,0.073301300406456,0.1022360771894455,0.10756541788578033,0.11101150512695312,0.0,0.0,0.0,2.3807011604309083,0.008425049678771756,0.03203125,1.563331937789917,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.3084796369075775,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2620-1790091728798514000,2620,6144,17,13,0,4,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.001987599767744541,0.03248414769768715,3.0663418769836426,2.3226423263549805,1,1,0,0,1.0,2.0,2.0,0.0,0.8614344596862793,0.00048828125,0.004345702938735485,-0.0011062121484428644,0.02243552915751934,0.0040039061568677425,0.400390625,-0.0058710938319563866,0.0,0.0,0.0,0.0,0.001987599767744541,0.0044921874068677425,0.009678032191004604,2.153934682584558,1.0,1.30666569192786,-0.005148779135197401,0.7551034763455391,0.6813704967498779,0.07532227039337158,0.6831454038619995,0.755469799041748,0.8260888457298279,0.9253314137458801,0.0,0.0,0.0,2.67859947681427,0.012355148828646634,0.0810546875,4.862354576587677,0.00036348,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.8645894527435303,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2620-1790091728798514000,2620,8192,32,23,0,9,0.71875,0.71875,0.71875,0.0021605058573186398,0.031167926266789436,4.437196731567383,3.4188039302825928,15,10,0,5,0.6666666666666666,0.8666666666666667,1.0666666666666667,0.2,0.9393200278282166,0.003662109375,0.003466797061264515,-0.0010683643631637096,0.02707393281161785,0.00019531248835846782,0.01953125,-0.004921874962747097,0.0,0.0,0.0,0.0,0.0021605058573186398,0.003857421863358468,0.00996818917337805,2.583488671376511,1.0,1.2756186692512084,-0.006565900726450814,0.7015862332450019,0.5458362102508545,0.11869679391384125,0.5959786176681519,0.6744821071624756,0.8472118377685547,0.9687493443489075,0.0,0.0,0.0,2.6243294609917536,0.010974759326523377,0.05946180555555555,3.6837695837020874,0.00035964,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.8421642184257507,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2620-1790091728798514000,2620,10240,36,26,0,10,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.0036694002337753773,0.04132923111319542,3.651803970336914,1.9183496236801147,4,3,0,1,0.75,2.0,2.25,0.25,0.752967894077301,0.001220703125,0.0069824219681322575,-9.98827163130045e-05,0.021316805854439735,0.007763671688735485,0.7763671875,-0.005716796964406967,0.0,0.0,0.0,0.0,0.0036694002337753773,0.008984374813735485,0.01228665275266394,1.3674057017501329,1.0,0.6362335554069476,0.00410340866073966,0.8833203486033848,0.771778404712677,0.07065068930387497,0.7876611948013306,0.916003942489624,0.9505615234375,0.969764232635498,0.0,0.0,0.0,2.8606133460998535,0.012061026192636095,0.07366071428571429,4.6989849635532925,0.0003558,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.9534643292427063,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2620-1790091728798514000,2620,12288,48,35,0,13,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.0029313028790056705,0.032341182231903076,4.726554870605469,2.701584815979004,12,9,0,3,0.75,1.0,1.0833333333333333,0.08333333333333333,0.8761009573936462,0.003662109375,0.004150390625,-0.001017165370285511,0.025040170177817345,0.0035156249068677425,0.3515625,-0.005119140259921551,0.0,0.0,0.0,0.0,0.0029313028790056705,0.0071777342818677425,0.010156141826882958,1.4147538309832193,1.0,0.713097888697681,-0.015581015788484365,0.8729279190301895,0.6893105506896973,0.14112986624240875,0.7173075675964355,0.8221271634101868,1.093384027481079,1.108757495880127,0.0,0.0,0.0,2.8981983959674835,0.010284407027938869,0.0579833984375,3.220599614083767,0.00035196,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.9509388208389282,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2620-1790091728798514000,2620,14336,52,39,0,13,0.75,0.74,0.75,0.0020540347322821617,0.025640642270445824,3.8750267028808594,2.5241901874542236,4,4,0,0,1.0,1.25,1.25,0.0,0.9662086367607117,0.001953125,0.002636718563735485,-0.0017955814255401492,0.02730238065123558,0.0025878907181322575,0.2587890625,-0.00510937487706542,0.0,0.0,0.0,0.0,0.0020540347322821617,0.0045410157181322575,0.009013418370159343,1.9844533637734285,1.0,1.1249135172888545,-0.02915471556286017,0.20514871875445048,0.1684502363204956,0.026440273970365524,0.1731109470129013,0.20386865735054016,0.2358279973268509,0.2704165577888489,0.0,0.0,0.0,2.9754063765207928,0.012317155573206643,0.06848958333333334,1.2641123374303183,0.00034812,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4640074074268341,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2620-1790091728798514000,2620,16384,65,49,0,16,0.7538461538461538,0.74,0.7538461538461538,0.003411324694752693,0.03646299988031387,3.6331443786621094,3.018836736679077,13,10,0,3,0.7692307692307693,1.1538461538461537,1.2307692307692308,0.07692307692307693,0.9323385953903198,0.004150390625,0.004931640811264515,-0.00041148849413730204,0.018574781715869904,0.00634765625,0.634765625,-0.005716796964406967,0.0,0.0,0.0,0.0,0.003411324694752693,0.010498046875,0.009472464116697665,0.9022213377533536,1.0,0.5445062806624499,-0.020817338954657316,0.5841074486573538,0.49968844652175903,0.04640422388911247,0.5126698017120361,0.5868486762046814,0.6411876678466797,0.6673535108566284,0.0,0.0,0.0,3.1660370031992593,0.009454776998609304,0.049641927083333336,2.3450263241926828,0.00034428000000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.7852538824081421,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2620-1790091728798514000,2620,18432,70,51,0,19,0.7285714285714285,0.7,0.7285714285714285,0.0015049796784296632,0.022160697728395462,3.3474721908569336,2.7520203590393066,5,2,0,3,0.4,0.8,0.8,0.0,0.9720150232315063,0.000244140625,0.00244140625,-0.0019602125976234674,0.028299450874328613,0.0020996094681322575,0.2099609375,-0.005080078262835741,0.0,0.0,0.0,0.0,0.0015049796784296632,0.0023437500931322575,0.009026215819176286,3.849542791623702,1.0,2.166575567142624,-0.019415185709173482,0.2025914117693901,0.15289539098739624,0.02126554772257805,0.17537130415439606,0.20993416011333466,0.2250831127166748,0.2267257571220398,0.0,0.0,0.0,3.007914364337921,0.00847287182114087,0.039713541666666664,1.5347283780574799,0.00034044,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4603773355484009,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2620-1790091728798514000,2620,20480,82,60,1,21,0.7317073170731707,0.74,0.7317073170731707,0.001909495797008276,0.03044394589960575,3.2153069972991943,3.1720190048217773,12,9,1,2,0.75,1.0,1.0833333333333333,0.08333333333333333,0.9418002367019653,0.00341796875,0.0042968750931322575,-0.0010525713441893458,0.019934065639972687,0.001220703125,0.1220703125,-0.005751953460276127,0.0,0.0,0.0,0.0,0.001909495797008276,0.004638671875,0.009017248667078093,1.943509995968862,1.0,1.2397328119838489,-0.026681673945859075,0.537319814786315,0.4853607714176178,0.0412243977189064,0.49482810497283936,0.5267003774642944,0.5889217853546143,0.6419438123703003,0.0,0.0,0.0,3.2073355317115784,0.012976480124052614,0.0697021484375,1.940865471959114,0.0003366,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.7652376294136047,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
