episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,pi_A_specialist_4v4_b3,53836,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.7599999904632568,0,4,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,8.536429850260417,1.0,0.0,0.0073121339082717896,0.03583333268761635,0.0,0.0,-0.004000000189989805,0.24651280045509338,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,pi_A_specialist_4v4_b3,53836,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.7199999690055847,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.972231038411458,-0.5,0.0,-0.013761080801486969,0.04333333298563957,0.0,0.0,-0.00800000037997961,-0.12450239807367325,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,pi_A_specialist_4v4_b3,53836,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.6800000071525574,0,2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.104673258463542,-0.5,0.0,0.02134336531162262,0.04999999701976776,0.0,0.0,-0.004000000189989805,-0.12094607949256897,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,pi_A_specialist_4v4_b3,53836,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,1,1,240,0.8799999952316284,1,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,8.31706288655599,1.0,0.0,0.010949619114398956,0.04999999701976776,0.0,0.0,-0.00800000037997961,0.24661871790885925,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,pi_A_specialist_4v4_b3,53836,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.7599999904632568,1,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.333126831054688,-0.5,0.0,0.01564730703830719,0.03583333268761635,0.0,0.0,-0.00800000037997961,-0.12315411865711212,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,pi_A_specialist_4v4_b3,53836,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.6800000071525574,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.055673217773437,-0.5,0.0,-0.019622497260570526,0.04333333298563957,0.0,0.0,0.0,-0.12289372831583023,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,pi_A_specialist_4v4_b3,53836,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.8799999952316284,0,2,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,9.954475911458333,1.0,0.0,-0.02089162915945053,0.021666666492819786,0.0,0.0,-0.004000000189989805,0.24402396380901337,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,pi_A_specialist_4v4_b3,53836,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.6399999856948853,0,3,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,9.635920206705729,1.0,0.0,0.010327279567718506,0.04999999701976776,0.0,0.0,0.0,0.24845963716506958,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,pi_A_specialist_4v4_b3,53836,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.6800000071525574,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,11.437678019205729,1.0,0.0,-0.019001692533493042,0.03583333268761635,0.0,0.0,0.0,0.24590729176998138,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,pi_A_specialist_4v4_b3,53836,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,1,0,240,0.8399999737739563,0,7,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,6.115904235839844,-0.5,0.0,0.008594483137130737,0.0,0.0,0.0,-0.004000000189989805,-0.124808669090271,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
