exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,53836-1788939980238357600,53836,2048,0,0,0,0,0.0,0.0,0.0,0.0003934908309020102,0.027157755568623543,0.005650360137224197,0.11088713258504868,0,0,0,0,0.0,0.0,0.0,0.0,0.00832676887512207,0.0,0.002636718563735485,-0.000296227604849264,0.018831336870789528,-2.9103830456733704e-11,0.0,-0.005505859851837158,0.0,0.0,0.0,0.0,0.0003934908309020102,-2.9103830456733704e-11,0.007270495880220551,7270.284287099287,1.0,5505.699614889021,-0.02297493926016614,0.011068612802773714,0.009838135913014412,0.0008953098440542817,0.010068437084555626,0.010942893102765083,0.01245845016092062,0.012866965495049953,0.0,0.0,0.0,6.80300098657608,0.007902270685008261,0.0662841796875,0.1963089033961296,0.000374232,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.11042449623346329,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53836-1788939980238357600,53836,4096,16,6,0,10,0.375,0.375,0.375,-0.00043679444934241474,0.024315258488059044,-0.017163638025522232,0.14995989203453064,16,6,0,10,0.375,0.375,0.5,0.125,-0.06725525856018066,0.00048828125,0.0008300781482830644,-0.0017203341703861952,0.033389776945114136,-0.006640624720603228,-0.6640625,-0.004386718850582838,0.0,0.0,0.0,0.0,-0.00043679444934241474,-0.006152343470603228,0.00874743884196505,1.4215749346277782,1.0,0.7129000471921969,-0.022481040621642023,0.021924601984210312,0.01763448864221573,0.0018907872727140784,0.019509540870785713,0.02194945141673088,0.02420089580118656,0.0251868087798357,0.0,0.0,0.0,5.460214167833328,0.01040086957073072,0.0941162109375,0.26275954954326153,0.000373464,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15492063760757446,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,53836-1788939980238357600,53836,6144,17,7,0,10,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.001605073339305818,0.03452860563993454,0.061451222747564316,0.1838858425617218,1,1,0,0,1.0,3.0,3.0,0.0,0.07743966579437256,0.00048828125,0.0035644532181322575,-0.00046039358130656183,0.017784330993890762,0.004150390625,0.4150390625,-0.005644530989229679,0.0,0.0,0.0,0.0,0.001605073339305818,0.004638671875,0.007895437571278308,1.7017232649190968,1.0,1.216579780058192,-0.027001895010471344,0.03208082157652825,0.024702034890651703,0.0038662138395011425,0.028629885986447334,0.03125159069895744,0.037716157734394073,0.040103137493133545,0.0,0.0,0.0,6.928355842828751,0.013861666397133376,0.1263427734375,0.5964316129684448,0.000372696,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17662236094474792,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,53836-1788939980238357600,53836,8192,33,16,1,16,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.001702107721939683,0.03057491034269333,0.10609142482280731,0.18793074786663055,16,9,1,6,0.5625,0.9375,1.0625,0.125,0.1969861388206482,0.00244140625,0.00244140625,-0.0009577109012752771,0.026397937908768654,0.0008789062267169356,0.087890625,-0.004876953084021807,0.0,0.0,0.0,0.0,0.001702107721939683,0.0033203124767169356,0.008801463001873344,2.649995465218452,1.0,1.4683812854738068,-0.031148592883255333,0.02634678373578936,0.020075593143701553,0.004168840125203133,0.02092701382935047,0.02539033442735672,0.0318404920399189,0.03374869376420975,0.0,0.0,0.0,5.984021812677383,0.01441303695901297,0.1263427734375,0.47136603854596615,0.000371928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16840669512748718,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,53836-1788939980238357600,53836,10240,33,16,1,16,0.48484848484848486,0.48484848484848486,0.48484848484848486,-0.0005242477636784315,0.026729285717010498,0.030214138329029083,0.16154207289218903,0,0,0,0,0.0,0.0,0.0,0.0,0.18866485357284546,0.0,0.0001953125320142135,-0.0023385239765048027,0.027130069211125374,-0.0032226562034338713,-0.322265625,-0.005330078303813934,0.0,0.0,0.0,0.0,-0.0005242477636784315,-0.0032226562034338713,0.006393198840669356,1.9832136050547995,1.0,1.6534264100918332,-0.031707768474007025,0.02121262636501342,0.01641455665230751,0.0019759859424084425,0.01929260790348053,0.02154475636780262,0.022740688174962997,0.025656670331954956,0.0,0.0,0.0,6.445430248975754,0.01719818852143362,0.14453125,0.5855531729757786,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.14550764858722687,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,53836-1788939980238357600,53836,12288,49,18,3,28,0.3673469387755102,0.3673469387755102,0.3673469387755102,-0.0010597853688523173,0.023773133754730225,0.0043001919984817505,0.15005390346050262,16,2,2,12,0.125,-0.0625,0.25,0.3125,0.33610236644744873,-0.0029296875,0.0005371093284338713,-0.0012475789990276098,0.02571640908718109,-0.003027343889698386,-0.302734375,-0.005035156384110451,0.0,0.0,0.0,0.0,-0.0010597853688523173,-0.005957031389698386,0.006654316850472242,1.1168650205465103,1.0,0.8451040376887551,0.006513632135465741,0.015692252665758133,0.014635978266596794,0.0008767235558480024,0.01479070633649826,0.015599879436194897,0.016667697578668594,0.016933273524045944,0.0,0.0,0.0,6.125958561897278,0.01729432411957532,0.14794921875,0.8894267976284027,0.00037039200000000004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.12226378917694092,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,53836-1788939980238357600,53836,14336,49,18,3,28,0.3673469387755102,0.3673469387755102,0.3673469387755102,-0.0005181949818506837,0.025181693956255913,-0.002500043250620365,0.13228128850460052,0,0,0,0,0.0,0.0,0.0,0.0,0.150642991065979,0.0,0.0005859375232830644,-0.0024556685239076614,0.03296802192926407,-0.0054687499068677425,-0.546875,-0.004875000566244125,0.0,0.0,0.0,0.0,-0.0005181949818506837,-0.0054687499068677425,0.008214025874622166,1.5017187283661266,1.0,0.8912657158461929,-0.021059571765363216,0.014739074959204746,0.013176120817661285,0.0009512761025689542,0.013490456156432629,0.015040453523397446,0.015901625156402588,0.016177969053387642,0.0,0.0,0.0,5.847564513866718,0.014092809977368094,0.1180889423076923,0.5954295901151804,0.000369624,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1219111904501915,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,53836-1788939980238357600,53836,16384,65,22,8,35,0.3384615384615385,0.32,0.3384615384615385,0.0008372553857043386,0.035387761890888214,0.06068960577249527,0.23053701221942902,16,4,5,7,0.25,-0.125,0.25,0.375,0.34988081455230713,-0.002197265625,0.004345703404396772,-0.0001973442267626524,0.02413087897002697,0.00048828116268850863,0.048828125,-0.00506445299834013,0.0,0.0,0.0,0.0,0.0008372553857043386,-0.0017089844623114914,0.010329087090212852,6.040456692951694,1.0,2.961695331134294,-0.031598368543200195,0.0295186328003183,0.023796305060386658,0.0038211632054299116,0.025747423991560936,0.028303230181336403,0.0343070849776268,0.03692995384335518,0.0,0.0,0.0,6.229649037122726,0.01676528583629988,0.1412353515625,0.5443344507366419,0.00036885600000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.18588191270828247,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,53836-1788939980238357600,53836,18432,70,27,8,35,0.38571428571428573,0.34,0.38571428571428573,0.002798419678583741,0.038736749440431595,0.1495848298072815,0.22349020838737488,5,5,0,0,1.0,2.8,3.0,0.2,0.611869215965271,0.00244140625,0.0035644532181322575,-0.001213460578583181,0.026437491178512573,0.004833984188735485,0.4833984375,-0.005054687615483999,0.0,0.0,0.0,0.0,0.002798419678583741,0.007275390438735485,0.009870460868114606,1.3565051176431822,1.0,0.69466965221872,-0.03568450751481578,0.0189639984164387,0.017194995656609535,0.0010197056690230966,0.017521249130368233,0.019050821661949158,0.020275456830859184,0.020470907911658287,0.0,0.0,0.0,6.083129197359085,0.012057257823471446,0.0933837890625,0.6555444318801165,0.00036808800000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.139234721660614,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,53836-1788939980238357600,53836,20480,81,30,8,43,0.37037037037037035,0.32,0.37037037037037035,0.000962055055424571,0.02847285382449627,0.11010703444480896,0.22386206686496735,11,3,0,8,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.5104414820671082,-0.00048828125,0.0025390624068677425,-0.0009010700159706175,0.02574324607849121,0.000732421875,0.0732421875,-0.0049804686568677425,0.0,0.0,0.0,0.0,0.000962055055424571,0.000244140625,0.008749606422497891,35.69219268531232,1.0,20.31678207913414,-0.03696088900323957,0.023816054104827344,0.019872352480888367,0.002068527275696397,0.0213675107806921,0.023348674178123474,0.026405896991491318,0.027176756411790848,0.0,0.0,0.0,6.043544054031372,0.01883973892836366,0.1466064453125,0.6113100554794073,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15663282573223114,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
