episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,pi_A_specialist_4v4_b3_role,13768,2288,1,15,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,143,0.5999999642372131,0,3,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,6.1821148212139425,1.0,0.5,0.002588406205177307,0.0,1.0,100.0,-0.004000000189989805,0.5540190935134888,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,pi_A_specialist_4v4_b3_role,13768,3232,1,74,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,202,0.7999999523162842,0,4,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,6.112609258972772,1.0,0.5,-0.0076477378606796265,0.0,1.0,100.0,-0.004000000189989805,0.5535755753517151,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,pi_A_specialist_4v4_b3_role,13768,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.7199999690055847,0,2,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,8.065509033203124,-1.0,0.0,0.004614025354385376,0.03583333268761635,0.0,0.0,-0.00800000037997961,-0.2444223016500473,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,pi_A_specialist_4v4_b3_role,13768,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,2,-1,240,0.6800000071525574,1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,9.335594685872396,-1.0,0.0,0.008041560649871826,0.04999999701976776,0.0,0.0,-0.004000000189989805,-0.24244707822799683,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,pi_A_specialist_4v4_b3_role,13768,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.6399999856948853,0,3,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,11.295998128255208,1.0,0.0,-0.007343769073486328,0.0499076247215271,0.0,0.0,0.0,0.24741768836975098,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,pi_A_specialist_4v4_b3_role,13768,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.7999999523162842,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.810103352864584,-0.5,0.0,-0.012160412967205048,0.04333333298563957,0.0,0.0,-0.004000000189989805,-0.12341926246881485,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,pi_A_specialist_4v4_b3_role,13768,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.6800000071525574,0,2,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.162075805664063,-0.5,0.0,0.009982995688915253,0.04999999701976776,0.0,0.0,-0.004000000189989805,-0.12164565920829773,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,pi_A_specialist_4v4_b3_role,13768,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,1,0,240,0.7199999690055847,0,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,9.543946329752604,-0.5,0.0,-0.009446680545806885,0.036666665226221085,0.0,0.0,-0.004000000189989805,-0.1236625462770462,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,pi_A_specialist_4v4_b3_role,13768,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.6399999856948853,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.650635782877604,-0.5,0.0,0.009458906948566437,0.04999999701976776,0.0,0.0,-0.00800000037997961,-0.12266301363706589,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,pi_A_specialist_4v4_b3_role,13768,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.7599999904632568,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,10.484926350911458,1.0,0.0,-0.013900473713874817,0.04333333298563957,0.0,0.0,-0.004000000189989805,0.2457076907157898,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
