episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,pi_A_specialist_4v4_b3_role,44628,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.5199999809265137,1,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,9.741414388020834,-1.0,0.0,-0.006512463092803955,0.03583333268761635,0.0,0.0,-0.012000000104308128,-0.2460157573223114,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,pi_A_specialist_4v4_b3_role,44628,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.7199999690055847,1,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.911404418945313,-0.5,0.0,0.0005493015050888062,0.03583333268761635,0.0,0.0,-0.00800000037997961,-0.12408331781625748,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,pi_A_specialist_4v4_b3_role,44628,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,2,-1,240,0.7999999523162842,0,1,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,7.874485778808594,-1.0,0.0,-0.011498577892780304,0.03583333268761635,0.0,0.0,0.0,-0.24348844587802887,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,pi_A_specialist_4v4_b3_role,44628,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,1,1,240,0.8399999737739563,1,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,9.324927775065104,1.0,0.0,-0.007105931639671326,0.03583333268761635,0.0,0.0,-0.00800000037997961,0.24472635984420776,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,pi_A_specialist_4v4_b3_role,44628,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.7999999523162842,0,1,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.623789469401041,-0.5,0.0,-0.007372990250587463,0.03583326190710068,0.0,0.0,0.0,-0.12260136008262634,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,pi_A_specialist_4v4_b3_role,44628,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.6399999856948853,0,1,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,10.151228841145834,1.0,0.0,0.010931581258773804,0.04999999701976776,0.0,0.0,0.0,0.24849508702754974,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,pi_A_specialist_4v4_b3_role,44628,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,2,-1,240,0.7599999904632568,0,3,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,8.612889607747396,-1.0,0.0,-0.0017001628875732422,0.02916666492819786,0.0,0.0,-0.00800000037997961,-0.2451850026845932,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,pi_A_specialist_4v4_b3_role,44628,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.7199999690055847,0,1,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.397831217447917,-0.5,0.0,0.015871673822402954,0.021666361019015312,0.0,0.0,0.0,-0.12204249203205109,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,pi_A_specialist_4v4_b3_role,44628,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.7199999690055847,1,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,10.886720784505208,1.0,0.0,0.012719064950942993,0.03583328425884247,0.0,0.0,-0.004000000189989805,0.24683018028736115,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,pi_A_specialist_4v4_b3_role,44628,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.6800000071525574,0,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.314728800455729,-0.5,0.0,-0.01703806221485138,0.02916666492819786,0.0,0.0,-0.012000000104308128,-0.12655968964099884,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
