exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,616-1788957899919247200,616,2048,0,0,0,0,0.0,0.0,0.0,-5.380679795052856e-05,0.030530083924531937,0.052557848393917084,0.16123342514038086,0,0,0,0,0.0,0.0,0.0,0.0,0.047733843326568604,0.0,0.0038574221543967724,-4.372984039946459e-05,0.003756895661354065,0.0022460937034338713,0.224609375,-0.007064453326165676,0.0,0.0,0.0,0.0,-5.380679795052856e-05,0.0022460937034338713,0.0047857136096354225,2.1297347780033324,1.0,3.143817863656602,-0.020750937634147704,0.022192291566170752,0.019304461777210236,0.0019255764782428741,0.020125165581703186,0.021853741258382797,0.024510202929377556,0.026600006967782974,0.0,0.0,0.0,8.648900508880615,0.011126947923912667,0.09765625,0.2435879586264491,0.000374232,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1573382318019867,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,616-1788957899919247200,616,4096,16,9,2,5,0.5625,0.5625,0.5625,0.0011204937472939491,0.035487961024045944,0.11489532887935638,0.20779499411582947,16,9,2,5,0.5625,0.9375,1.1875,0.25,0.2180318832397461,0.002197265625,0.004443359561264515,-0.0002934382064267993,0.005537098273634911,0.0040527344681322575,0.4052734375,-0.006890625227242708,0.0,0.0,0.0,0.0,0.0011204937472939491,0.0062500000931322575,0.005754274578066543,0.9205366329123161,1.0,1.1023236481492271,-0.021169357001781464,0.030909697408787906,0.02417304739356041,0.0028642877005040646,0.027328001335263252,0.03102482482790947,0.034211136400699615,0.034686073660850525,0.0,0.0,0.0,8.379724979400635,0.010967133850499522,0.09228515625,0.3420538641512394,0.000373464,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1837509423494339,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,616-1788957899919247200,616,6144,17,10,2,5,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.0002667554363142699,0.026242602616548538,0.11619045585393906,0.15667791664600372,1,1,0,0,1.0,1.0,1.0,0.0,0.25890427827835083,0.00048828125,0.002978515811264515,-0.0014598954003304243,0.015242311172187328,0.0007324219332076609,0.0732421875,-0.006425781175494194,0.0,0.0,0.0,0.0,0.0002667554363142699,0.001220703183207661,0.006424119754228741,5.258331027149981,1.0,5.259690949337538,-0.023343529435805976,0.018140758154913783,0.016580451279878616,0.0008562714792788029,0.017216814681887627,0.01812741905450821,0.019226200878620148,0.019641604274511337,0.0,0.0,0.0,7.743170231580734,0.011348349122272339,0.0960693359375,0.42623075656592846,0.000372696,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1348791867494583,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,616-1788957899919247200,616,8192,32,17,3,12,0.53125,0.53125,0.53125,0.0018351275939494371,0.039105724543333054,0.21969693899154663,0.22524838149547577,15,7,1,7,0.4666666666666667,0.7333333333333333,1.0,0.26666666666666666,0.27113205194473267,0.001220703125,0.00537109375,-2.336961915716529e-05,0.015452785417437553,0.003466797061264515,0.3466796875,-0.005974609404802322,0.0,0.0,0.0,0.0,0.0018351275939494371,0.004687500186264515,0.009228447699570097,1.9683155237160628,1.0,1.2743114359482395,-0.0295365838392172,0.03556082723662257,0.03184090554714203,0.002187421079725027,0.03271441534161568,0.035751864314079285,0.03880928084254265,0.03975518047809601,0.0,0.0,0.0,7.311160027980804,0.01321975596511038,0.1090087890625,0.4532264396548271,0.000371928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.19230301678180695,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,616-1788957899919247200,616,10240,35,19,3,13,0.5428571428571428,0.5428571428571428,0.5428571428571428,-0.0002032772172242403,0.030727801844477654,0.18238241970539093,0.21311123669147491,3,2,0,1,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.40818631649017334,0.000732421875,0.0034667968284338713,-0.0014543065335601568,0.013776814565062523,-0.001171874813735485,-0.1171875,-0.006656249985098839,0.0,0.0,0.0,0.0,-0.0002032772172242403,-0.0004394529387354851,0.006547423836309463,14.865206383017304,1.0,15.112284195920108,-0.03426322963787243,0.025816692039370537,0.02304619736969471,0.0019539175555109978,0.023821331560611725,0.025629738345742226,0.027590110898017883,0.03122726082801819,0.0,0.0,0.0,7.964178055524826,0.015067633859871421,0.1400146484375,0.45939389057457447,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1639452576637268,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,616-1788957899919247200,616,12288,48,26,3,19,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.002273046411573887,0.03459484875202179,0.2898291349411011,0.24996045231819153,13,7,0,6,0.5384615384615384,1.0,1.1538461538461537,0.15384615384615385,0.5410779714584351,0.001953125,0.005615234840661287,-0.00019634187628980726,0.013166362419724464,0.0049804686568677425,0.498046875,-0.00613867212086916,0.0,0.0,0.0,0.0,0.002273046411573887,0.0069335936568677425,0.008857739976519952,1.2773264613345587,1.0,0.8852244882134753,-0.016408077999949457,0.028687957488000394,0.024576738476753235,0.0030770644079893827,0.025423219427466393,0.028288276866078377,0.03226187825202942,0.03458374738693237,0.0,0.0,0.0,7.456439065933227,0.013385030394420027,0.1123046875,0.6225292056798934,0.00037039200000000004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16933268308639526,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,616-1788957899919247200,616,14336,51,29,3,19,0.5686274509803921,0.56,0.5686274509803921,0.001084841089323163,0.0253375805914402,0.26629409193992615,0.21146197617053986,3,3,0,0,1.0,1.3333333333333333,1.3333333333333333,0.0,0.529165506362915,0.00146484375,0.0031250000465661287,-0.0014033676125109196,0.021232185885310173,0.0010253905784338713,0.1025390625,-0.00600195350125432,0.0,0.0,0.0,0.0,0.001084841089323163,0.0024902343284338713,0.008082204614765942,3.2442570827317017,1.0,2.409228803870683,-0.0019249619217589498,0.020905473036691546,0.018762553110718727,0.00163757661357522,0.019600506871938705,0.020289532840251923,0.02326270565390587,0.024168098345398903,0.0,0.0,0.0,7.13736629486084,0.01387233001878485,0.10595703125,0.8128130808472633,0.000369624,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1450996696949005,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,616-1788957899919247200,616,16384,65,36,3,26,0.5538461538461539,0.54,0.5538461538461539,0.0008898708620108664,0.027487140148878098,0.30952930450439453,0.20440378785133362,14,7,0,7,0.5,0.7142857142857143,0.7142857142857143,0.0,0.5870806574821472,0.001708984375,0.0030761719681322575,-0.0010045956587418914,0.018162868916988373,0.0005371093866415322,0.0537109375,-0.005820312537252903,0.0,0.0,0.0,0.0,0.0008898708620108664,0.002246093761641532,0.007365740282693878,3.2778962802660736,1.0,2.5901511706396647,-0.026461953355465084,0.016836089140269905,0.013176970183849335,0.0017913110787048936,0.014510590583086014,0.016792848706245422,0.01863245666027069,0.020800257101655006,0.0,0.0,0.0,7.004225045442581,0.013873172836611047,0.117919921875,0.5273130312561989,0.00036885600000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1313474178314209,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,616-1788957899919247200,616,18432,69,39,3,27,0.5652173913043478,0.56,0.5652173913043478,0.001292168046347797,0.03363492339849472,0.3767053484916687,0.2023540735244751,4,3,0,1,0.75,2.25,2.25,0.0,0.2596753239631653,0.001220703125,0.0050292969681322575,-0.0006087989313527942,0.008399944752454758,0.004687500186264515,0.46875,-0.0070585934445261955,0.0,0.0,0.0,0.0,0.001292168046347797,0.005908203311264515,0.006977083423407748,1.1807147352854774,1.0,1.194508476476116,-0.017595332962545483,0.028337646106427365,0.025692205876111984,0.0024178707972168922,0.02616998180747032,0.02726643905043602,0.032437220215797424,0.03332752734422684,0.0,0.0,0.0,8.336847045204856,0.014611796401864425,0.12926136363636365,0.5363886193795637,0.00036808800000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17410974204540253,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,616-1788957899919247200,616,20480,81,46,3,32,0.5679012345679012,0.6,0.5679012345679012,0.0007229535840451717,0.031212761998176575,0.3112921118736267,0.19935396313667297,12,7,0,5,0.5833333333333334,0.8333333333333334,0.8333333333333334,0.0,0.5070315599441528,0.002197265625,0.0033203125931322575,-0.0005804244428873062,0.010052812285721302,0.0022460937034338713,0.224609375,-0.006900390610098839,0.0,0.0,0.0,0.0,0.0007229535840451717,0.004443359328433871,0.005688409553840756,1.2799166614291897,1.0,1.5526176216112655,-0.0318158004374709,0.019585000933147967,0.0174497552216053,0.0013090163702145219,0.017989180982112885,0.019445646554231644,0.02146098017692566,0.02169509418308735,0.0,0.0,0.0,8.123891055583954,0.01527460222132504,0.1361083984375,0.6922798063606024,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1399698406457901,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,616-1788957899919247200,616,22528,88,50,6,32,0.5681818181818182,0.58,0.5681818181818182,0.0013022978091612458,0.03998861089348793,0.3511178493499756,0.21591971814632416,7,4,3,0,0.5714285714285714,1.0,1.4285714285714286,0.42857142857142855,0.28775840997695923,0.00048828125,0.005566406063735485,-0.00037017458816990256,0.010183226317167282,0.004150390625,0.4150390625,-0.006789062637835741,0.0,0.0,0.0,0.0,0.0013022978091612458,0.004638671875,0.00801966899598483,1.728499172365466,1.0,1.4632635282717577,-0.031147930829320103,0.03248718986287713,0.028323717415332794,0.001908330013975501,0.030161835253238678,0.03255528211593628,0.034521132707595825,0.0362514853477478,0.0,0.0,0.0,8.022156596183777,0.017722929318551905,0.1641845703125,0.7428819164633751,0.000366552,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.18222415447235107,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,616-1788957899919247200,616,24576,98,56,7,35,0.5714285714285714,0.6,0.5714285714285714,0.000790731399320066,0.03236941248178482,0.32332420349121094,0.21946553885936737,10,6,1,3,0.6,0.8,1.1,0.3,0.5312174558639526,0.001708984375,0.0035644532181322575,-0.00046246626880019903,0.01375020481646061,0.0014160156715661287,0.1416015625,-0.006558593828231096,0.0,0.0,0.0,0.0,0.000790731399320066,0.0031250000465661287,0.00688638785504736,2.2029391402639193,1.0,2.098078608615386,-0.03378616544068791,0.021866548457182944,0.01926013082265854,0.0020175857935100794,0.01931929402053356,0.021314721554517746,0.024648774415254593,0.025883346796035767,0.0,0.0,0.0,7.75080943107605,0.015507040283409879,0.1429443359375,0.6222393270581961,0.00036578399999999997,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1502629965543747,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,616-1788957899919247200,616,26624,105,61,7,37,0.580952380952381,0.64,0.580952380952381,0.00041585834696888924,0.026012839749455452,0.31424111127853394,0.21590577065944672,7,5,0,2,0.7142857142857143,1.1428571428571428,1.1428571428571428,0.0,0.6092116832733154,0.001953125,0.002734375186264515,-0.0013529101852327585,0.017968973144888878,-0.0007812499534338713,-0.078125,-0.006250000558793545,0.0,0.0,0.0,0.0,0.00041585834696888924,0.0011718750465661287,0.006888390926178545,5.873081660613338,1.0,5.32878636739004,-0.03400224290089682,0.017447620106395334,0.014368647709488869,0.0017110167536884546,0.01488940604031086,0.017568036913871765,0.019510164856910706,0.02046111226081848,0.0,0.0,0.0,7.348726034164429,0.017134194102254696,0.1512451171875,0.5546092223376036,0.000365016,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1349693089723587,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
