exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18228-1789302023334952100,18228,2048,3,3,0,0,1.0,1.0,1.0,0.004116916097700596,0.04246238246560097,0.9742867350578308,0.26451635360717773,3,3,0,0,1.0,3.0,3.0,0.0,0.40541279315948486,0.00146484375,0.011132813058793545,0.001697556464932859,0.002629394643008709,0.01137695275247097,1.1376953125,-0.00750585924834013,0.0,0.0,0.0,0.0,0.004116916097700596,0.01284179650247097,0.012214550835778937,0.9510818639405244,1.0,0.5844411882486804,0.00663178941855828,0.043869998306035995,0.03910040110349655,0.005857517477124929,0.03935818374156952,0.04038930684328079,0.04977409169077873,0.05212028697133064,0.0,0.0,0.0,5.2971140543619795,0.022938321228139102,0.17513020833333334,1.7016377846399944,0.000374232,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.20396719872951508,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18228-1789302023334952100,18228,4096,16,16,0,0,1.0,1.0,1.0,0.003337957663461566,0.035979073494672775,1.7608850002288818,0.8473402857780457,13,13,0,0,1.0,1.8461538461538463,1.8461538461538463,0.0,0.815039873123169,0.00634765625,0.00732421875,0.0004212687781546265,0.00920490175485611,0.00537109375,0.537109375,-0.007292968686670065,0.0,0.0,0.0,0.0,0.003337957663461566,0.01171875,0.009730761383252684,0.8302874535081964,1.0,0.6222802266831686,0.010545782977715135,0.13116494938731194,0.11136865615844727,0.013466324657201767,0.11639698594808578,0.13253512978553772,0.14483676850795746,0.14822089672088623,0.0,0.0,0.0,5.247713088989258,0.014364223374286667,0.12109375,1.9131247103214264,0.000373464,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.3644155263900757,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18228-1789302023334952100,18228,6144,20,20,0,0,1.0,1.0,1.0,0.002682805061340332,0.03675707057118416,1.3796908855438232,0.5168216228485107,4,4,0,0,1.0,1.75,1.75,0.0,0.9089893698692322,0.001953125,0.008056640625,0.0003863609745167196,0.004165546968579292,0.008105468936264515,0.810546875,-0.0078125,0.0,0.0,0.0,0.0,0.002682805061340332,0.010058593936264515,0.009194617610774003,0.9140147871801962,1.0,0.7766218049653264,-0.005760359391570091,0.024681809172034264,0.022982321679592133,0.0012896767584607005,0.023410577327013016,0.02465112879872322,0.026073411107063293,0.026921790093183517,0.0,0.0,0.0,5.849327278137207,0.013718509871978313,0.1046875,1.698298716545105,0.000372696,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15591458976268768,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18228-1789302023334952100,18228,8192,33,32,0,1,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.0037186937406659126,0.04319983720779419,1.4991397857666016,0.620730459690094,13,12,0,1,0.9230769230769231,1.8461538461538463,1.9230769230769231,0.07692307692307693,0.7780643701553345,0.005615234375,0.00922851637005806,0.0003152222780045122,0.003981119487434626,0.007763671688735485,0.7763671875,-0.0077460939064621925,0.0,0.0,0.0,0.0,0.0037186937406659126,0.013378906063735485,0.010302601811417844,0.7700055413200337,1.0,0.5789348497338845,-0.018415048718452454,0.0867087369163831,0.06949489563703537,0.00993369985371828,0.07429683208465576,0.088892862200737,0.09693650901317596,0.09702092409133911,0.0,0.0,0.0,5.6819530328114825,0.015085336480600139,0.11360677083333333,1.626283327738444,0.000371928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.29242637753486633,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18228-1789302023334952100,18228,10240,38,36,0,2,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.003052246058359742,0.04091011360287666,1.3334875106811523,0.5390327572822571,5,4,0,1,0.8,1.8,1.8,0.0,0.8489086627960205,0.001708984375,0.00815429724752903,0.00046035449486225843,0.007172596175223589,0.00874023512005806,0.8740234375,-0.007445312570780516,0.0,0.0,0.0,0.0,0.003052246058359742,0.01044921949505806,0.010062534915050492,0.9629017763511183,1.0,0.7124551378371935,-0.010402912087738515,0.0439319908618927,0.04177529364824295,0.0023718299344182014,0.041784148663282394,0.04281194508075714,0.04688359424471855,0.04786739498376846,0.0,0.0,0.0,5.591373920440674,0.011397030460648239,0.083984375,1.611106777191162,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.20952455699443817,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,18228-1789302023334952100,18228,12288,50,48,0,2,0.96,0.96,0.96,0.004100918769836426,0.042401693761348724,1.3780919313430786,0.63463294506073,12,12,0,0,1.0,2.0833333333333335,2.1666666666666665,0.08333333333333333,0.8689111471176147,0.005859375,0.00898437574505806,0.0005432969774119556,0.006054751109331846,0.00844726525247097,0.8447265625,-0.00736914062872529,0.0,0.0,0.0,0.0,0.004100918769836426,0.01430664025247097,0.01063388776674401,0.7432314189551633,1.0,0.5150493371856074,-0.021264314302243292,0.05169484345242381,0.043177392333745956,0.004985692445188761,0.045317258685827255,0.052406132221221924,0.058177798986434937,0.0587831474840641,0.0,0.0,0.0,5.520648777484894,0.01570815512968693,0.128662109375,1.5548319965600967,0.00037039200000000004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.22977645695209503,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18228-1789302023334952100,18228,14336,59,57,0,2,0.9661016949152542,0.96,0.9661016949152542,0.004104183986783028,0.04402117058634758,1.3554482460021973,0.5777914524078369,9,9,0,0,1.0,2.3333333333333335,2.3333333333333335,0.0,0.9063310623168945,0.00439453125,0.00961914099752903,0.0005740785272791982,0.0024442547000944614,0.0107421875,1.07421875,-0.007826171815395355,0.0,0.0,0.0,0.0,0.004104183986783028,0.01513671875,0.010373724304372445,0.6852898032850852,1.0,0.5169980988975208,-0.020439687476027757,0.028190211160108447,0.021974192932248116,0.004315581638365984,0.023964177817106247,0.026763856410980225,0.03318890556693077,0.03558345511555672,0.0,0.0,0.0,6.074419558048248,0.018373190283455187,0.138671875,1.3855885118246078,0.000369624,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17683528363704681,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,18228-1789302023334952100,18228,16384,67,65,0,2,0.9701492537313433,0.96,0.9701492537313433,0.003907038830220699,0.03917992487549782,1.2086328268051147,0.8233860731124878,8,8,0,0,1.0,1.625,1.625,0.0,0.8998790979385376,0.00390625,0.00922851637005806,0.0006867607589811087,0.008492453023791313,0.008105468936264515,0.810546875,-0.007066406309604645,0.0,0.0,0.0,0.0,0.003907038830220699,0.012011718936264515,0.011523319815751165,0.9592599208297524,1.0,0.5882437062830358,-0.01771016645943746,0.06766435503959656,0.04928284138441086,0.011602050624787807,0.053674474358558655,0.07240309566259384,0.07866106927394867,0.0793767049908638,0.0,0.0,0.0,5.3819854855537415,0.01414787476460333,0.10986328125,1.3778326287865639,0.00036885600000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.2605348229408264,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,18228-1789302023334952100,18228,18432,79,75,0,4,0.9493670886075949,0.94,0.9493670886075949,0.0037727821618318558,0.044679511338472366,1.2020561695098877,0.838110625743866,12,10,0,2,0.8333333333333334,2.0833333333333335,2.0833333333333335,0.0,0.8733596801757812,0.00439453125,0.009033203125,0.000187029130756855,0.008257127366960049,0.008056640625,0.8056640625,-0.007210937328636646,0.0,0.0,0.0,0.0,0.0037727821618318558,0.012451171875,0.011144242249429226,0.8949637349451721,1.0,0.5790907322050313,-0.014529313892126083,0.085853425519807,0.07678402960300446,0.006767891347408295,0.07891636341810226,0.08674421161413193,0.0935082659125328,0.09818489849567413,0.0,0.0,0.0,5.655396052769253,0.01178127437430833,0.08649553571428571,1.3877666337149483,0.00036808800000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.29825475811958313,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18228-1789302023334952100,18228,20480,89,84,0,5,0.9438202247191011,0.94,0.9438202247191011,0.0034257005900144577,0.039793629199266434,1.5240085124969482,0.708457887172699,10,9,0,1,0.9,2.1,2.1,0.0,0.9008247256278992,0.004150390625,0.008056640625,0.00029115885263308883,0.006637526676058769,0.00830078125,0.830078125,-0.00752343749627471,0.0,0.0,0.0,0.0,0.0034257005900144577,0.012451171875,0.009788812007172965,0.786112824769612,1.0,0.6041867693281185,-0.02063555974746123,0.047149972058832645,0.031208135187625885,0.009535661898553371,0.03533846512436867,0.048544492572546005,0.05868752673268318,0.05883753299713135,0.0,0.0,0.0,5.7077959179878235,0.012838024158554617,0.08984375,1.3920614197850227,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.22310833632946014,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18228-1789302023334952100,18228,22528,96,88,0,8,0.9166666666666666,0.88,0.9166666666666666,0.0030601597391068935,0.0400034636259079,1.3301100730895996,0.6234555244445801,7,4,0,3,0.5714285714285714,1.2857142857142858,1.2857142857142858,0.0,0.8551532626152039,0.001220703125,0.009082031436264515,0.0005508551839739084,0.0037845862098038197,0.00927734375,0.927734375,-0.0075859371572732925,0.0,0.0,0.0,0.0,0.0030601597391068935,0.010498046875,0.010165891784708947,0.9682680633530315,1.0,0.7225357927810274,-0.019925539032556117,0.054191451985388994,0.0455034114420414,0.005721848923712969,0.04722797870635986,0.052922673523426056,0.06094139441847801,0.06221175938844681,0.0,0.0,0.0,6.085069298744202,0.017091954447096214,0.141357421875,1.3175733387470245,0.000366552,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.23727929592132568,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
