exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47600-1789100888502544600,47600,2048,0,0,0,0,0.0,0.0,0.0,0.0005878843949176371,0.024371327832341194,0.06386549770832062,0.13420246541500092,0,0,0,0,0.0,0.0,0.0,0.0,0.040537118911743164,0.0,0.0038574221543967724,-9.16493299882859e-05,0.011699823662638664,0.002197265625,0.2197265625,-0.0063652340322732925,0.0,0.0,0.0,0.0,0.0005878843949176371,0.002197265625,0.006759465737559367,3.074908537297155,1.0,2.895570926408537,-0.021644325170200318,0.016848909144755453,0.01455136202275753,0.0010723848827183247,0.015277566388249397,0.016928061842918396,0.01806057244539261,0.018281955271959305,0.0,0.0,0.0,7.763570636510849,0.011520586405822542,0.1038818359375,0.2823081221431494,0.000374232,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1314542442560196,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47600-1789100888502544600,47600,4096,16,8,0,8,0.5,0.5,0.5,0.0009206831455230713,0.033292390406131744,0.09900008141994476,0.17050579190254211,16,8,0,8,0.5,0.9375,1.0,0.0625,0.035449981689453125,0.001953125,0.0033203125931322575,-0.0005870003951713443,0.016936685889959335,0.0006835937965661287,0.068359375,-0.005900390911847353,0.0,0.0,0.0,0.0,0.0009206831455230713,0.0026367187965661287,0.007407733966829255,2.8083865408522293,1.0,2.2369294708475675,-0.02784749714192003,0.025005121948197484,0.019160468131303787,0.002368177054449916,0.022517763078212738,0.02482900395989418,0.0278233103454113,0.028777265921235085,0.0,0.0,0.0,7.22666934132576,0.012859264010330662,0.114013671875,0.4129610173404217,0.000373464,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16745631396770477,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,47600-1789100888502544600,47600,6144,17,8,0,9,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.0005707022501155734,0.036114081740379333,0.11180974543094635,0.17899379134178162,1,0,0,1,0.0,0.0,0.0,0.0,0.249944269657135,-0.000244140625,0.0045410157181322575,-0.0005371721927076578,0.008286269381642342,0.0033203125931322575,0.33203125,-0.006941406521946192,0.0,0.0,0.0,0.0,0.0005707022501155734,0.0030761719681322575,0.006478290015365928,2.1052739601349084,1.0,2.255774650826355,-0.030355802562553436,0.021040679304860532,0.017271630465984344,0.0021712379530072212,0.018429920077323914,0.021384302526712418,0.023090258240699768,0.025587797164916992,0.0,0.0,0.0,8.381818890571594,0.012231682470883243,0.104248046875,0.4081365056335926,0.000372696,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15501894056797028,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,47600-1789100888502544600,47600,8192,32,17,2,13,0.53125,0.53125,0.53125,-0.0010358401341363788,0.026850344613194466,0.08753392100334167,0.1571500450372696,15,9,2,4,0.6,0.7333333333333333,1.0666666666666667,0.3333333333333333,0.1644774079322815,0.00244140625,0.001269531319849193,-0.00047016548342071474,0.00822517741471529,-0.0028808594215661287,-0.2880859375,-0.006812499836087227,0.0,0.0,0.0,0.0,-0.0010358401341363788,-0.00043945317156612873,0.003208284302672837,7.284053129337386,1.0,15.467024137580564,-0.004862032271921635,0.020655845850706102,0.01952328532934189,0.000665634055621922,0.019902458414435387,0.020647790282964706,0.021338649094104767,0.021419372409582138,0.0,0.0,0.0,8.207140350341797,0.008549964660778642,0.071484375,0.5482588768005371,0.000371928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1436460167169571,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,47600-1789100888502544600,47600,10240,34,18,3,13,0.5294117647058824,0.5294117647058824,0.5294117647058824,-0.0004534804029390216,0.03082617186009884,0.013516509905457497,0.19074572622776031,2,1,1,0,0.5,1.0,1.5,0.5,0.3130514621734619,0.0,0.0031738283578306437,-0.00160783005412668,0.014603981748223305,-0.0015136718284338713,-0.1513671875,-0.006480468902736902,0.0,0.0,0.0,0.0,-0.0004534804029390216,-0.0015136718284338713,0.0064228662813548,4.240434238481788,1.0,4.27846400856186,0.008328631985932589,0.024864441249519587,0.023618478327989578,0.0012553513515740633,0.023738857358694077,0.024483580142259598,0.026294713839888573,0.026872126385569572,0.0,0.0,0.0,7.763396382331848,0.012058551103109494,0.08349609375,0.6355873495340347,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15809455513954163,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,47600-1789100888502544600,47600,12288,48,23,3,22,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.00040352324140258133,0.032256048172712326,0.02174169197678566,0.20947372913360596,14,5,0,9,0.35714285714285715,0.5,0.6428571428571429,0.14285714285714285,0.43400436639785767,0.000244140625,0.0040527344681322575,0.00011051911860704422,0.01309637539088726,0.0006835937965661287,0.068359375,-0.006433594040572643,0.0,0.0,0.0,0.0,0.00040352324140258133,0.0009277344215661287,0.007354458095505834,7.918795647849446,1.0,6.9272699398000634,-0.02580258547095582,0.022626375779509544,0.019352886825799942,0.002167171100154519,0.02065102383494377,0.02205413207411766,0.025962915271520615,0.027696751058101654,0.0,0.0,0.0,7.788217127323151,0.012101113788958173,0.1141357421875,0.47972968965768814,0.00037039200000000004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15759271383285522,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,47600-1789100888502544600,47600,14336,50,24,4,22,0.48,0.48,0.48,0.0005266694352030754,0.031649041920900345,0.03585968166589737,0.2233138233423233,2,1,1,0,0.5,0.0,1.0,1.0,0.5249125957489014,0.0,0.0038574219215661287,-0.0011823317036032677,0.01585490256547928,0.0011718750465661287,0.1171875,-0.006458984687924385,0.0,0.0,0.0,0.0,0.0005266694352030754,0.0011718750465661287,0.0075255646370351315,6.416339625493795,1.0,5.506967435989539,-0.016637682759513456,0.023107085842639208,0.020222418010234833,0.0017111776396632195,0.02128828689455986,0.022739121690392494,0.02550213597714901,0.02578321471810341,0.0,0.0,0.0,7.669705669085185,0.013687993943070373,0.10595703125,0.5411693006753922,0.000369624,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15392258763313293,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,47600-1789100888502544600,47600,16384,64,33,4,27,0.515625,0.5,0.515625,0.0015385268488898873,0.03809612616896629,0.06796713173389435,0.2686524987220764,14,9,0,5,0.6428571428571429,1.0,1.1428571428571428,0.14285714285714285,0.5788856148719788,0.003173828125,0.004345703404396772,0.00018528284272179008,0.015300125814974308,0.001660156063735485,0.166015625,-0.006470703519880772,0.0,0.0,0.0,0.0,0.0015385268488898873,0.004833984188735485,0.008217055568820797,1.699499987603856,1.0,1.3383091375885312,-0.030536941718310118,0.029117577243596315,0.024065330624580383,0.00246924115344882,0.025919528678059578,0.029330061748623848,0.031496014446020126,0.03406001999974251,0.0,0.0,0.0,7.591556906700134,0.015914620766125154,0.142822265625,0.5348242931067944,0.00036885600000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17433753609657288,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,47600-1789100888502544600,47600,18432,68,36,5,27,0.5294117647058824,0.54,0.5294117647058824,0.001470963703468442,0.03149111196398735,0.10470195859670639,0.26842910051345825,4,3,1,0,0.75,1.5,1.75,0.25,0.6881536245346069,0.0009765625,0.004345703404396772,-0.00048641051398590207,0.018076909705996513,0.0030273436568677425,0.302734375,-0.006380859762430191,0.0,0.0,0.0,0.0,0.001470963703468442,0.0040039061568677425,0.008743328202399425,2.1831543262021467,1.0,1.5932607438224455,-0.030213555903173983,0.02281575999222696,0.01969149149954319,0.0016305710887536407,0.02073144167661667,0.023038502782583237,0.02471151575446129,0.025384992361068726,0.0,0.0,0.0,7.324826717376709,0.014501916288281791,0.1326904296875,0.6755639761686325,0.00036808800000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.149899423122406,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,47600-1789100888502544600,47600,20480,80,42,6,32,0.525,0.52,0.525,0.0024296334013342857,0.039787761867046356,0.14032235741615295,0.3056621551513672,12,6,1,5,0.5,0.9166666666666666,1.1666666666666667,0.25,0.611257791519165,0.001220703125,0.005566406063735485,0.0002894168137572706,0.015956753864884377,0.006152343936264515,0.615234375,-0.006515624932944775,0.0,0.0,0.0,0.0,0.0024296334013342857,0.007373047061264515,0.009627948733395897,1.3056532801331049,1.0,0.8835887374751122,-0.021469398168846965,0.03639614395797253,0.03166067600250244,0.0023727710358798504,0.034058697521686554,0.03640336915850639,0.038950007408857346,0.040601976215839386,0.0,0.0,0.0,7.51631772518158,0.014510896386733899,0.11507161458333333,0.7046850398182869,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.190577894449234,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,47600-1789100888502544600,47600,22528,89,48,7,34,0.5393258426966292,0.56,0.5393258426966292,0.0022476152516901493,0.03871218487620354,0.11874810606241226,0.2850815951824188,9,6,1,2,0.6666666666666666,1.7777777777777777,2.0,0.2222222222222222,0.5892006158828735,0.001953125,0.005078125279396772,-0.0004496115434449166,0.01964019425213337,0.004443359561264515,0.4443359375,-0.006333984434604645,0.0,0.0,0.0,0.0,0.0022476152516901493,0.006396484561264515,0.009875770956568886,1.5436959420527088,1.0,0.9900742040013116,-0.03048882051371038,0.032698777969926596,0.02909718081355095,0.0018790650647133589,0.03026784025132656,0.03272838145494461,0.034916795790195465,0.03597477078437805,0.0,0.0,0.0,7.231806665658951,0.017447933001676574,0.15478515625,0.7022687438875437,0.000366552,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1827191412448883,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
