exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42464-1790107446369726700,42464,128,0,0,0,0,0.0,0.0,0.0,0.003008456900715828,0.031975097954273224,5.755043029785156,1.0024069547653198,0,0,0,0,0.0,0.0,0.0,0.0,0.9701067805290222,0.0,0.0078125,0.0007337849820032716,0.020053453743457794,0.0078125,0.78125,-0.008281249552965164,0.0,0.0,0.0,0.0,0.003008456900715828,0.0078125,0.013009309681365266,1.6649785219639428,1.0,1.0598642801516818,0.0035741813480854034,0.057963909581303596,0.043374013155698776,0.01458989642560482,0.04629199206829071,0.05796390771865845,0.06963582336902618,0.07255380600690842,0.0,0.0,0.0,0.2880927324295044,0.27608527918346226,0.07421875,3.8018033504486084,0.000374952,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17331261932849884,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,42464-1790107446369726700,42464,256,1,1,0,0,1.0,1.0,1.0,0.00019881664775311947,0.031071407720446587,9.73049545288086,2.6296823024749756,1,1,0,0,1.0,1.0,1.0,0.0,0.9957180619239807,0.0078125,0.0023437500931322575,-0.002270172582939267,0.03392081335186958,-0.010937499813735485,-1.09375,-0.0062812501564621925,0.0,0.0,0.0,0.0,0.00019881664775311947,-0.003124999813735485,0.010256410285364836,3.281001566378439,1.0,2.00935717553875,0.012401929125189781,0.030432471074163914,0.025122256949543953,0.005310214124619961,0.02618429996073246,0.03043247014284134,0.03468064218759537,0.035742685198783875,0.0,0.0,0.0,0.2740256190299988,0.05958249984541908,0.0859375,4.223961353302002,0.000374904,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17207671701908112,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,42464-1790107446369726700,42464,384,1,1,0,0,1.0,1.0,1.0,0.0037186364643275738,0.03182820975780487,6.32744026184082,1.0968550443649292,0,0,0,0,0.0,0.0,0.0,0.0,0.9944735169410706,0.0,0.0054687499068677425,-0.0010271570645272732,0.03558139503002167,0.0078125,0.78125,-0.0065312497317790985,0.0,0.0,0.0,0.0,0.0037186364643275738,0.0078125,0.014107309398241341,1.8055044983990967,1.0,0.8358929713673897,-0.008801513351500034,0.012223259080201387,0.011451422236859798,0.000771836843341589,0.011605789884924889,0.0122232586145401,0.012840728275477886,0.012995095923542976,0.0,0.0,0.0,0.2917304188013077,0.032869733637198806,0.02734375,3.5361205339431763,0.00037485599999999996,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.08154034614562988,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,42464-1790107446369726700,42464,512,2,2,0,0,1.0,1.0,1.0,0.0030418962705880404,0.022754214704036713,9.212492942810059,3.0474209785461426,1,1,0,0,1.0,1.0,1.0,0.0,0.9988667964935303,0.0078125,0.004687500186264515,-0.0015690706204622984,0.02952548675239086,0.0,0.0,-0.007156250067055225,0.0,0.0,0.0,0.0,0.0030418962705880404,0.0078125,0.011676604219246656,1.4944140550645237,1.0,0.9158827755877937,-0.0010210592299699783,0.013291050679981709,0.012032531201839447,0.0012585194781422615,0.0122842350974679,0.013291050679981709,0.014297866262495518,0.01454957015812397,0.0,0.0,0.0,0.24611667543649673,0.0586539797950536,0.046875,4.2203449010849,0.000374808,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.10258631408214569,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,42464-1790107446369726700,42464,640,2,2,0,0,1.0,1.0,1.0,0.0056751687079668045,0.04448745399713516,6.78282356262207,1.0798358917236328,0,0,0,0,0.0,0.0,0.0,0.0,0.8249015808105469,0.0,0.01093750074505806,0.0012589292600750923,0.02096749283373356,0.015625,1.5625,-0.008406250737607479,0.0,0.0,0.0,0.0,0.0056751687079668045,0.015625,0.016494106268510222,1.0555552456489325,1.0,0.5379656174073646,-0.004089904949069023,0.21920493245124817,0.20886969566345215,0.01033523678779602,0.2109367400407791,0.21920493245124817,0.22747312486171722,0.2295401692390442,0.0,0.0,0.0,0.13384930044412613,0.019141805940307677,0.0234375,4.3826003074646,0.00037476,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4518547058105469,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,42464-1790107446369726700,42464,768,3,3,0,0,1.0,1.0,1.0,0.005862613208591938,0.03818836063146591,8.764171600341797,3.158771514892578,1,1,0,0,1.0,2.0,2.0,0.0,0.9986278414726257,0.0078125,0.007031249813735485,0.0019316785037517548,0.028545476496219635,0.0078125,0.78125,-0.006156249903142452,0.0,0.0,0.0,0.0,0.005862613208591938,0.015625,0.014650538563728333,0.9375744633129612,1.0,0.39397477941523434,-0.004276806488633156,0.014047042156259218,0.012977292761206627,0.0007804415072314441,0.013251160271465778,0.014346628449857235,0.014723089523613453,0.014817205257713795,0.0,0.0,0.0,0.19248922169208527,0.01622507255524397,0.044270833333333336,4.019808292388916,0.000374712,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.11700954288244247,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,42464-1790107446369726700,42464,896,3,3,0,0,1.0,1.0,1.0,0.0006253032479435205,0.0025454761926084757,7.304037570953369,1.2908939123153687,0,0,0,0,0.0,0.0,0.0,0.0,0.998370349407196,0.0,-0.0007812500116415322,-0.0038122020196169615,0.04231656715273857,0.0,0.0,-0.006343750283122063,0.0,0.0,0.0,0.0,0.0006253032479435205,0.0,0.00884484127163887,8844.84127163887,1.0,6343.750283122063,-0.003762798383831978,0.005576941883191466,0.0031151804141700268,0.0024617614690214396,0.0036075327079743147,0.00557694211602211,0.007546350825577974,0.008038703352212906,0.0,0.0,0.0,0.2740630507469177,0.023812198545783758,0.078125,3.8404176235198975,0.00037466400000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.05211203545331955,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,42464-1790107446369726700,42464,1024,4,4,0,0,1.0,1.0,1.0,0.004531692713499069,0.038533877581357956,7.933133125305176,3.5282061100006104,1,1,0,0,1.0,1.0,1.0,0.0,0.9933779835700989,0.0078125,0.0054687499068677425,0.0013489637058228254,0.022300148382782936,0.0078125,0.78125,-0.008218749426305294,0.0,0.0,0.0,0.0,0.004531692713499069,0.015625,0.011381027929019183,0.7283391737501077,1.0,0.5259663014402466,-0.011807576403953135,0.1319401152431965,0.12331615388393402,0.006483355537056923,0.1253083199262619,0.13155174255371094,0.1388825923204422,0.14134080708026886,0.0,0.0,0.0,0.17964356765151024,0.025796645670197904,0.052734375,4.514974534511566,0.000374616,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.2871106266975403,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,42464-1790107446369726700,42464,1152,4,4,0,0,1.0,1.0,1.0,0.003243266837671399,0.03155245631933212,7.535031318664551,1.377855896949768,0,0,0,0,0.0,0.0,0.0,0.0,0.970788300037384,0.0,0.00390625,-0.0011372361332178116,0.033831529319286346,0.0078125,0.78125,-0.006406250409781933,0.0,0.0,0.0,0.0,0.003243266837671399,0.0078125,0.012079823296517134,1.5460194914592864,1.0,0.819895105878535,-0.006542102744181951,0.0647725115219752,0.06182538717985153,0.0020846480038017035,0.06269613653421402,0.06617914140224457,0.06628623604774475,0.0663130059838295,0.0,0.0,0.0,0.20500871539115906,0.026003571654049058,0.0390625,2.524162769317627,0.000374568,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.23549522459506989,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,42464-1790107446369726700,42464,1280,5,5,0,0,1.0,1.0,1.0,0.005178630817681551,0.0387076735496521,7.520707130432129,3.2180871963500977,1,1,0,0,1.0,2.0,2.0,0.0,0.9991563558578491,0.0078125,0.0062500000931322575,-0.00034366134786978364,0.028687650337815285,0.0078125,0.78125,-0.007562500424683094,0.0,0.0,0.0,0.0,0.005178630817681551,0.015625,0.013335997340618633,0.8534492090502133,1.0,0.48396905316031574,-0.009368784725666046,0.008677504025399685,0.008515022695064545,0.00016248133033514023,0.008547519333660603,0.008677504025399685,0.008807488717138767,0.008839985355734825,0.0,0.0,0.0,0.24892238527536392,0.022289487547823228,0.0390625,6.598509788513184,0.00037452000000000004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.09347112476825714,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
