episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,pi_B_specialist_6v6_c1_entity_repair,43332,240,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,1,0,1,240,0.5199999809265137,0,57,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,7.62032470703125,1.0,0.0,-0.0056236982345581055,0.04999999701976776,0.0,0.0,-0.004000000189989805,0.24658505618572235,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,pi_B_specialist_6v6_c1_entity_repair,43332,428,3,44,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,188,0.5999999642372131,0,28,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,5.214296706179355,1.0,0.5,-0.014420807361602783,0.0,1.0,100.0,-0.004000000189989805,0.5532819032669067,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,pi_B_specialist_6v6_c1_entity_repair,43332,668,5,28,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,2,0,2,240,0.6399999856948853,0,40,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,7.131650797526041,1.0,0.0,0.014547891914844513,0.04999999701976776,0.0,0.0,-0.004000000189989805,0.24776874482631683,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,pi_B_specialist_6v6_c1_entity_repair,43332,908,7,12,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,1,0,1,240,0.6399999856948853,0,44,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,7.6173253377278645,1.0,0.0,-0.006173238158226013,0.04999999701976776,0.0,0.0,-0.00800000037997961,0.24561335146427155,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,pi_B_specialist_6v6_c1_entity_repair,43332,1023,7,127,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,115,0.5999999642372131,0,41,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,5.081270168138587,1.0,0.5,-0.016385018825531006,0.0,1.0,100.0,-0.004000000189989805,0.5531966686248779,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,pi_B_specialist_6v6_c1_entity_repair,43332,1263,9,111,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,2,0,2,240,0.6399999856948853,0,72,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,6.279588826497396,1.0,0.0,0.000916019082069397,0.04999999701976776,0.0,0.0,-0.012000000104308128,0.24508996307849884,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,pi_B_specialist_6v6_c1_entity_repair,43332,1503,11,95,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,1,0,1,240,0.5600000023841858,0,26,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,8.15226542154948,1.0,0.0,0.009914956986904144,0.04999999701976776,0.0,0.0,-0.00800000037997961,0.24655798077583313,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,pi_B_specialist_6v6_c1_entity_repair,43332,1588,12,52,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,85,0.47999998927116394,0,29,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,5.02919526941636,1.0,0.5,-0.013594403862953186,0.0,1.0,100.0,-0.004000000189989805,0.553317666053772,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,pi_B_specialist_6v6_c1_entity_repair,43332,1681,13,17,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,93,0.5600000023841858,0,34,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,4.901067590200773,1.0,0.5,-0.010874927043914795,0.0,1.0,100.0,-0.004000000189989805,0.5534356236457825,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,pi_B_specialist_6v6_c1_entity_repair,43332,1921,15,1,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,2,0,2,240,0.6800000071525574,0,69,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,7.238242594401042,1.0,0.0,0.00425313413143158,0.04999999701976776,0.0,0.0,0.0,0.24810341000556946,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
