update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
490,48532-1787206736360941200,48532,1003520,1,1,0,0,1.0,1.0,1.0,0.003031353699043393,0.030713748186826706,0.24878980219364166,1.6561847925186157,1,1,0,0,1.0,3.0,3.0,0.0,0.8017349243164062,0.00048828125,0.00400390662252903,0.0018613360589370131,0.022118020802736282,0.0050292969681322575,0.5029296875,-0.002933593699708581,0.0,0.0,0.0,0.0,0.003031353699043393,0.0055175782181322575,0.009998745837947354,1.8118336721394506,1.0,0.5315850539310549,-0.021444999612867832,0.546978051845844,0.493513286113739,0.025096701458096504,0.5153442621231079,0.5479499101638794,0.579742968082428,0.5865482091903687,0.0,0.0,0.0,1.3416949418874888,0.011055275929930549,0.05048076923076923,1.5624053386541514,0.00016549333333333333,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.7374488711357117,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
491,48532-1787206736360941200,48532,1005568,16,8,0,8,0.5,0.5,0.5,0.0026437847409397364,0.02340494655072689,-0.16937965154647827,3.0756335258483887,15,7,0,8,0.4666666666666667,0.6666666666666666,0.7333333333333333,0.06666666666666667,0.9711412191390991,0.00146484375,0.0013183592818677425,-5.214288830757141e-05,0.038541313260793686,0.0007812500116415322,0.078125,-0.0023652343079447746,0.0,0.0,0.0,0.0,0.0026437847409397364,0.002246093761641532,0.010940651874989271,4.86880078693155,1.0,1.052574818336436,-0.017754816100932658,0.260847607627511,0.18975955247879028,0.038754500448703766,0.21583330631256104,0.25922656059265137,0.3030109405517578,0.333686500787735,0.0,0.0,0.0,1.735654778778553,0.007345889360294677,0.024169921875,1.8475295044481754,0.00016481066666666666,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.5224847197532654,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
492,48532-1787206736360941200,48532,1007616,17,9,0,8,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.002426469698548317,0.02883475087583065,0.17027100920677185,1.9925198554992676,1,1,0,0,1.0,1.0,1.0,0.0,0.8425230383872986,0.00048828125,0.00341796875,9.477153071202338e-06,0.02355099469423294,0.0032226562034338713,0.322265625,-0.0030527343042194843,0.0,0.0,0.0,0.0,0.002426469698548317,0.0037109374534338713,0.009308086711826036,2.5076087160938636,1.0,0.8224099523539747,-0.019112490175757557,0.6322950385510921,0.5205302834510803,0.06275341659784317,0.548433244228363,0.6466684341430664,0.6959964632987976,0.7314181327819824,0.0,0.0,0.0,1.4558788388967514,0.005476765327330213,0.0355224609375,2.5672549083828926,0.000164128,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.7906989455223083,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
493,48532-1787206736360941200,48532,1009664,32,16,1,15,0.5,0.5,0.5,0.0019649388268589973,0.02978566102683544,-0.11711623519659042,3.047163963317871,15,7,1,7,0.4666666666666667,0.5333333333333333,0.7333333333333333,0.2,0.9627417922019958,0.001220703125,0.001757812686264515,0.00013931229477748275,0.030488209798932076,9.765627328306437e-05,0.009765625,-0.0026562500279396772,0.0,0.0,0.0,0.0,0.0019649388268589973,0.0013183593982830644,0.009414693209691904,7.135806378416393,1.0,2.0132876844598697,-0.023076084733475,0.3277422580868006,0.2443867027759552,0.04529915750026703,0.25919049978256226,0.33554840087890625,0.3715168237686157,0.43067848682403564,0.0,0.0,0.0,1.6164108216762543,0.010042946266366926,0.05029296875,1.4898148104548454,0.00016344533333333334,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.5881755352020264,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
494,48532-1787206736360941200,48532,1011712,33,17,1,15,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.0017525111325085163,0.019087228924036026,-0.2849336564540863,2.2848732471466064,1,1,0,0,1.0,2.0,2.0,0.0,0.8971598744392395,0.00048828125,0.0016113282181322575,-0.0007066295365802944,0.027132634073495865,0.00146484375,0.146484375,-0.0030546875204890966,0.0,0.0,0.0,0.0,0.0017525111325085163,0.001953125,0.00821782935236115,4.205375476165112,1.0,1.563199652268456,-0.01946825423510745,0.531218433752656,0.4278557002544403,0.060636330395936966,0.4508722722530365,0.5457625985145569,0.6042858362197876,0.6278231143951416,0.0,0.0,0.0,1.536258839070797,0.005987359287246363,0.0380859375,1.9098995178937912,0.00016276266666666667,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.7327289581298828,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
495,48532-1787206736360941200,48532,1013760,48,23,2,23,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.0025008220691233873,0.0313444510102272,-0.6212407350540161,2.63576078414917,15,6,1,8,0.4,0.4666666666666667,0.6,0.13333333333333333,0.9268810153007507,0.00048828125,0.0025878907181322575,0.0011062098201364279,0.02828112617135048,0.0025878907181322575,0.2587890625,-0.002681640675291419,0.0,0.0,0.0,0.0,0.0025008220691233873,0.0030761719681322575,0.009934724716003984,3.2285243785169526,1.0,0.8714627271608375,-0.022026190592441708,0.49775623716413975,0.4052862524986267,0.039360396564006805,0.44875311851501465,0.505821168422699,0.5404859185218811,0.5720428228378296,0.0,0.0,0.0,1.4802815541625023,0.00816849183593149,0.0443115234375,1.6359737515449524,0.00016208,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.7127234935760498,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
496,48532-1787206736360941200,48532,1015808,53,26,2,25,0.49056603773584906,0.48,0.49056603773584906,0.003334794659167528,0.02821362018585205,-0.2806686758995056,2.3339757919311523,5,3,0,2,0.6,1.4,1.6,0.2,0.9212762713432312,0.0009765625,0.0028320313431322575,-0.00042021507397294044,0.03337719291448593,0.00439453125,0.439453125,-0.0025957031175494194,0.0,0.0,0.0,0.0,0.003334794659167528,0.00537109375,0.011071275803260505,2.0608865590367826,1.0,0.48318276603966925,-0.02089211028069258,0.4113652924696604,0.3373003602027893,0.03826206550002098,0.3694550693035126,0.40558958053588867,0.4625483453273773,0.4790843725204468,0.0,0.0,0.0,1.582932750384013,0.009872580925002695,0.041276041666666666,1.484431544939677,0.00016139733333333335,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6548612117767334,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
497,48532-1787206736360941200,48532,1017856,64,30,2,32,0.46875,0.48,0.46875,0.0022601282689720392,0.02853001467883587,0.041196729987859726,2.664411783218384,11,4,0,7,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.9409142136573792,0.000244140625,0.00302734412252903,0.0007346970960497856,0.026556722819805145,0.0020507811568677425,0.205078125,-0.002859374973922968,0.0,0.0,0.0,0.0,0.0022601282689720392,0.0022949217818677425,0.009850199101492763,4.290302561387602,1.0,1.245414803110955,-0.023661484082157794,0.41588708758354187,0.36836618185043335,0.023334277793765068,0.39202192425727844,0.4178310036659241,0.4460207223892212,0.4621853232383728,0.0,0.0,0.0,1.5138843518037062,0.01300799766053947,0.0546875,1.1594493205730731,0.00016071466666666667,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6476537585258484,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
498,48532-1787206736360941200,48532,1019904,70,34,3,33,0.4857142857142857,0.46,0.4857142857142857,0.00303348945453763,0.027177276089787483,0.338585764169693,2.8712170124053955,6,4,1,1,0.6666666666666666,1.0,1.1666666666666667,0.16666666666666666,0.9725072383880615,0.001220703125,0.0023437500931322575,-8.621520828455687e-05,0.03513026237487793,0.0025878907181322575,0.2587890625,-0.0024648436810821295,0.0,0.0,0.0,0.0,0.00303348945453763,0.0038085938431322575,0.0111047618847806,2.9149464068983892,1.0,0.6470095717751184,-0.019189593382179737,0.21972923783155587,0.17047682404518127,0.025906721130013466,0.18303537368774414,0.2175767421722412,0.24956688284873962,0.25141116976737976,0.0,0.0,0.0,1.5819886647737944,0.01127217250625388,0.045522836538461536,1.005354642868042,0.000160032,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4760746359825134,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
499,48532-1787206736360941200,48532,1021952,80,40,4,36,0.5,0.48,0.5,0.003438604064285755,0.0282664243131876,0.26094380021095276,2.5866785049438477,10,6,1,3,0.6,0.7,0.8,0.1,0.9430159330368042,0.001708984375,0.003222656436264515,0.0008782048244029284,0.030868036672472954,0.00390625,0.390625,-0.0026191407814621925,0.0,0.0,0.0,0.0,0.003438604064285755,0.005615234375,0.011159216810483485,1.9869571078011652,1.0,0.4663517593070878,-0.023198883173366387,0.37481371959050497,0.31007492542266846,0.03767344355583191,0.3251942992210388,0.380016565322876,0.4150688648223877,0.4480133652687073,0.0,0.0,0.0,1.5210012833277384,0.012794882045515503,0.055859375,1.0833985169728597,0.00015934933333333336,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6174748539924622,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
