pole,genome_id,episode_seed,blue_style,blue_score,red_score,win,draw,steps,t_intent,t_commit,zero_zero,total_score
A_SDS_G1_4,SDS_G1_4,5000001,BLUE_ONE_DEFENDER_V2,3,1,1,0,203,70,,0,4
A_SDS_G1_4,SDS_G1_4,5000001,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,15,23,1,0
A_SDS_G1_4,SDS_G1_4,5000002,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS_G1_4,SDS_G1_4,5000002,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,13,9,1,0
A_SDS_G1_4,SDS_G1_4,5000003,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS_G1_4,SDS_G1_4,5000003,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,14,22,1,0
A_SDS_G1_4,SDS_G1_4,5000004,BLUE_ONE_DEFENDER_V2,2,2,0,1,240,89,,0,4
A_SDS_G1_4,SDS_G1_4,5000004,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,13,,1,0
A_SDS_G1_4,SDS_G1_4,5000005,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,87,,0,1
A_SDS_G1_4,SDS_G1_4,5000005,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,12,,1,0
A_SDS_G1_4,SDS_G1_4,5000006,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS_G1_4,SDS_G1_4,5000006,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,12,7,1,0
A_SDS_G1_4,SDS_G1_4,5000007,BLUE_ONE_DEFENDER_V2,3,1,1,0,156,,,0,4
A_SDS_G1_4,SDS_G1_4,5000007,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,12,22,1,0
A_SDS_G1_4,SDS_G1_4,5000008,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS_G1_4,SDS_G1_4,5000008,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,12,10,1,0
A_SDS_G1_4,SDS_G1_4,5000009,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS_G1_4,SDS_G1_4,5000009,BLUE_BOTH_ATTACK_V2,1,1,0,1,240,101,85,0,2
A_SDS_G1_4,SDS_G1_4,5000010,BLUE_ONE_DEFENDER_V2,2,3,0,0,229,210,,0,5
A_SDS_G1_4,SDS_G1_4,5000010,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,9,1,0
A_SDS_G1_4,SDS_G1_4,5000011,BLUE_ONE_DEFENDER_V2,1,1,0,1,240,86,,0,2
A_SDS_G1_4,SDS_G1_4,5000011,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,11,,1,0
A_SDS_G1_4,SDS_G1_4,5000012,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS_G1_4,SDS_G1_4,5000012,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,12,8,1,0
A_SDS_G1_4,SDS_G1_4,5000013,BLUE_ONE_DEFENDER_V2,3,1,1,0,148,93,,0,4
A_SDS_G1_4,SDS_G1_4,5000013,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,40,23,1,0
A_SDS_G1_4,SDS_G1_4,5000014,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,111,,0,1
A_SDS_G1_4,SDS_G1_4,5000014,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,15,27,1,0
A_SDS_G1_4,SDS_G1_4,5000015,BLUE_ONE_DEFENDER_V2,3,1,1,0,170,84,,0,4
A_SDS_G1_4,SDS_G1_4,5000015,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,23,8,1,0
A_SDS_G1_4,SDS_G1_4,5000016,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,12,,1,0
A_SDS_G1_4,SDS_G1_4,5000016,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,12,9,1,0
A_SDS_G1_4,SDS_G1_4,5000017,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS_G1_4,SDS_G1_4,5000017,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,16,,1,0
A_SDS_G1_4,SDS_G1_4,5000018,BLUE_ONE_DEFENDER_V2,3,2,1,0,194,139,,0,5
A_SDS_G1_4,SDS_G1_4,5000018,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,11,10,1,0
A_SDS_G1_4,SDS_G1_4,5000019,BLUE_ONE_DEFENDER_V2,1,2,0,0,240,124,,0,3
A_SDS_G1_4,SDS_G1_4,5000019,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,51,50,1,0
A_SDS_G1_4,SDS_G1_4,5000020,BLUE_ONE_DEFENDER_V2,3,1,1,0,214,84,,0,4
A_SDS_G1_4,SDS_G1_4,5000020,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,44,8,0,1
A_SDS_G1_4,SDS_G1_4,5000021,BLUE_ONE_DEFENDER_V2,2,2,0,1,240,,,0,4
A_SDS_G1_4,SDS_G1_4,5000021,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,26,10,1,0
A_SDS_G1_4,SDS_G1_4,5000022,BLUE_ONE_DEFENDER_V2,2,2,0,1,240,13,,0,4
A_SDS_G1_4,SDS_G1_4,5000022,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,13,20,1,0
A_SDS_G1_4,SDS_G1_4,5000023,BLUE_ONE_DEFENDER_V2,2,3,0,0,172,,,0,5
A_SDS_G1_4,SDS_G1_4,5000023,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,11,10,1,0
A_SDS_G1_4,SDS_G1_4,5000024,BLUE_ONE_DEFENDER_V2,3,0,1,0,155,,,0,3
A_SDS_G1_4,SDS_G1_4,5000024,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,25,7,1,0
A_SDS_G1_4,SDS_G1_4,5000025,BLUE_ONE_DEFENDER_V2,2,0,1,0,240,,,0,2
A_SDS_G1_4,SDS_G1_4,5000025,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,13,,1,0
A_SDS_G1_4,SDS_G1_4,5000026,BLUE_ONE_DEFENDER_V2,3,0,1,0,141,84,,0,3
A_SDS_G1_4,SDS_G1_4,5000026,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,28,10,1,0
A_SDS_G1_4,SDS_G1_4,5000027,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS_G1_4,SDS_G1_4,5000027,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,12,10,1,0
A_SDS_G1_4,SDS_G1_4,5000028,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS_G1_4,SDS_G1_4,5000028,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,12,20,1,0
A_SDS_G1_4,SDS_G1_4,5000029,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,11,,1,0
A_SDS_G1_4,SDS_G1_4,5000029,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,11,7,1,0
A_SDS_G1_4,SDS_G1_4,5000030,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,,,0,3
A_SDS_G1_4,SDS_G1_4,5000030,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,27,9,1,0
A_SDS_G1_4,SDS_G1_4,5000031,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS_G1_4,SDS_G1_4,5000031,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,13,7,1,0
A_SDS_G1_4,SDS_G1_4,5000032,BLUE_ONE_DEFENDER_V2,3,2,1,0,205,67,,0,5
A_SDS_G1_4,SDS_G1_4,5000032,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,24,1,0
B_OP7,SDS_PARENT_OP7,5000001,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000001,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,96,1,0
B_OP7,SDS_PARENT_OP7,5000002,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,11,,1,0
B_OP7,SDS_PARENT_OP7,5000002,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,103,9,0,1
B_OP7,SDS_PARENT_OP7,5000003,BLUE_ONE_DEFENDER_V2,0,1,0,0,240,,,0,1
B_OP7,SDS_PARENT_OP7,5000003,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,75,0,1
B_OP7,SDS_PARENT_OP7,5000004,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000004,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,74,75,1,0
B_OP7,SDS_PARENT_OP7,5000005,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000005,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,20,0,1
B_OP7,SDS_PARENT_OP7,5000006,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000006,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,20,0,1
B_OP7,SDS_PARENT_OP7,5000007,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000007,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,,22,0,1
B_OP7,SDS_PARENT_OP7,5000008,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000008,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,10,0,1
B_OP7,SDS_PARENT_OP7,5000009,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000009,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,99,1,0
B_OP7,SDS_PARENT_OP7,5000010,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000010,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,9,1,0
B_OP7,SDS_PARENT_OP7,5000011,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000011,BLUE_BOTH_ATTACK_V2,2,0,1,0,240,52,7,0,2
B_OP7,SDS_PARENT_OP7,5000012,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000012,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,8,1,0
B_OP7,SDS_PARENT_OP7,5000013,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000013,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,75,0,1
B_OP7,SDS_PARENT_OP7,5000014,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000014,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,9,1,0
B_OP7,SDS_PARENT_OP7,5000015,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000015,BLUE_BOTH_ATTACK_V2,2,0,1,0,240,,8,0,2
B_OP7,SDS_PARENT_OP7,5000016,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000016,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,9,0,1
B_OP7,SDS_PARENT_OP7,5000017,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000017,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,10,0,1
B_OP7,SDS_PARENT_OP7,5000018,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000018,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,10,1,0
B_OP7,SDS_PARENT_OP7,5000019,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000019,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,187,,0,1
B_OP7,SDS_PARENT_OP7,5000020,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000020,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,93,8,1,0
B_OP7,SDS_PARENT_OP7,5000021,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000021,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,81,10,1,0
B_OP7,SDS_PARENT_OP7,5000022,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,48,,1,0
B_OP7,SDS_PARENT_OP7,5000022,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,99,1,0
