pole,genome_id,episode_seed,blue_style,blue_score,red_score,win,draw,steps,t_intent,t_commit,zero_zero,total_score
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000001,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,77,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000001,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,50,8,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000002,BLUE_ONE_DEFENDER_V2,1,1,0,1,240,,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000002,BLUE_BOTH_ATTACK_V2,2,1,1,0,240,122,57,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000003,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,72,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000003,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,120,55,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000004,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000004,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,133,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000005,BLUE_ONE_DEFENDER_V2,2,2,0,1,240,119,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000005,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,36,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000006,BLUE_ONE_DEFENDER_V2,2,2,0,1,240,,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000006,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,81,6,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000007,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,84,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000007,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,69,58,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000008,BLUE_ONE_DEFENDER_V2,3,2,1,0,218,,,0,5
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000008,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,46,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000009,BLUE_ONE_DEFENDER_V2,1,2,0,0,240,13,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000009,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,9,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000010,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,233,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000010,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,51,10,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000011,BLUE_ONE_DEFENDER_V2,3,0,1,0,213,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000011,BLUE_BOTH_ATTACK_V2,2,0,1,0,240,72,8,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000012,BLUE_ONE_DEFENDER_V2,2,0,1,0,240,81,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000012,BLUE_BOTH_ATTACK_V2,3,0,1,0,139,120,34,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000013,BLUE_ONE_DEFENDER_V2,2,2,0,1,240,,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000013,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,88,56,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000014,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,11,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000014,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,56,8,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000015,BLUE_ONE_DEFENDER_V2,0,1,0,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000015,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,9,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000016,BLUE_ONE_DEFENDER_V2,1,1,0,1,240,,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000016,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,51,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000017,BLUE_ONE_DEFENDER_V2,1,1,0,1,240,63,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000017,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,53,11,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000018,BLUE_ONE_DEFENDER_V2,1,3,0,0,191,,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000018,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,58,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000019,BLUE_ONE_DEFENDER_V2,0,2,0,0,240,,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000019,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,54,10,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000020,BLUE_ONE_DEFENDER_V2,2,0,1,0,240,,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000020,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,38,23,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000021,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000021,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,53,11,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000022,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000022,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,158,69,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000023,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000023,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,24,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000024,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000024,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,33,7,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000025,BLUE_ONE_DEFENDER_V2,0,2,0,0,240,,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000025,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,8,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000026,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000026,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,65,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000027,BLUE_ONE_DEFENDER_V2,1,2,0,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000027,BLUE_BOTH_ATTACK_V2,2,0,1,0,240,47,9,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000028,BLUE_ONE_DEFENDER_V2,2,0,1,0,240,,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000028,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,51,8,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000029,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000029,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,56,55,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000030,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000030,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,54,9,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000031,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,136,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000031,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,54,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000032,BLUE_ONE_DEFENDER_V2,1,2,0,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000032,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,33,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000033,BLUE_ONE_DEFENDER_V2,1,2,0,0,240,50,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000033,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,41,10,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000034,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,31,,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000034,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,8,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000035,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000035,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,7,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000036,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,193,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000036,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,36,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000037,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000037,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,56,10,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000038,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000038,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,60,37,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000039,BLUE_ONE_DEFENDER_V2,1,1,0,1,240,,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000039,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,66,54,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000040,BLUE_ONE_DEFENDER_V2,3,1,1,0,206,70,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000040,BLUE_BOTH_ATTACK_V2,2,0,1,0,240,139,55,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000041,BLUE_ONE_DEFENDER_V2,1,1,0,1,240,195,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000041,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,10,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000042,BLUE_ONE_DEFENDER_V2,3,1,1,0,175,70,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000042,BLUE_BOTH_ATTACK_V2,2,1,1,0,240,108,27,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000043,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,134,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000043,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,60,8,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000044,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,12,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000044,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,92,57,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000045,BLUE_ONE_DEFENDER_V2,2,2,0,1,240,130,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000045,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,13,96,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000046,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,139,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000046,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,43,8,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000047,BLUE_ONE_DEFENDER_V2,2,0,1,0,240,71,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000047,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,38,23,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000048,BLUE_ONE_DEFENDER_V2,3,1,1,0,224,,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000048,BLUE_BOTH_ATTACK_V2,2,1,1,0,240,124,26,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000049,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000049,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,45,20,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000050,BLUE_ONE_DEFENDER_V2,2,0,1,0,240,61,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000050,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,28,10,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000051,BLUE_ONE_DEFENDER_V2,2,0,1,0,240,,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000051,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,38,23,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000052,BLUE_ONE_DEFENDER_V2,0,1,0,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000052,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,11,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000053,BLUE_ONE_DEFENDER_V2,3,0,1,0,238,9,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000053,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,9,10,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000054,BLUE_ONE_DEFENDER_V2,0,1,0,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000054,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,68,9,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000055,BLUE_ONE_DEFENDER_V2,1,2,0,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000055,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,8,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000056,BLUE_ONE_DEFENDER_V2,1,1,0,1,240,,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000056,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,10,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000057,BLUE_ONE_DEFENDER_V2,3,0,1,0,201,142,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000057,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,34,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000058,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,46,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000058,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,41,10,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000059,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000059,BLUE_BOTH_ATTACK_V2,3,1,1,0,226,26,27,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000060,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000060,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,9,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000061,BLUE_ONE_DEFENDER_V2,3,0,1,0,240,10,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000061,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,157,9,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000062,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,208,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000062,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,72,49,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000063,BLUE_ONE_DEFENDER_V2,1,2,0,0,240,181,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000063,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,9,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000064,BLUE_ONE_DEFENDER_V2,1,2,0,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000064,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,64,66,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000065,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,181,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000065,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,8,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000066,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,206,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000066,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,7,0,1
