episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,exp2b_specialization_preserving_seed8400001_2m,17144,5088,1,31,0,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,159,0.5600000023841858,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,5.3467253678999604,-1.0,-0.5,0.004948943853378296,0.0,-1.0,-100.0,-0.004000000189989805,-0.5550777912139893,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,exp2b_specialization_preserving_seed8400001_2m,17144,6208,1,66,0,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,3,-2,194,0.6399999856948853,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,5.604818757047358,-1.0,-0.5,0.006226867437362671,0.0,-1.0,-100.0,-0.00800000037997961,-0.5557141304016113,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,exp2b_specialization_preserving_seed8400001_2m,17144,6976,1,90,0,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,218,0.7199999690055847,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,5.898627884891055,-1.0,-0.5,-0.0018464624881744385,0.0,-1.0,-100.0,-0.004000000189989805,-0.5553715825080872,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,exp2b_specialization_preserving_seed8400001_2m,17144,7104,1,94,0,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,2,3,-1,222,0.6800000071525574,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,5.934261837521115,-1.0,-0.5,-0.0015442371368408203,0.0,-1.0,-100.0,0.0,-0.5546665191650391,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,exp2b_specialization_preserving_seed8400001_2m,17144,7168,1,96,1,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,224,0.5600000023841858,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,5.8427532741001675,1.0,0.5,-0.010308951139450073,0.0,1.0,100.0,0.0,0.5541534423828125,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,exp2b_specialization_preserving_seed8400001_2m,17144,7680,1,112,0,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5600000023841858,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.318194580078124,-0.5,0.0,0.003129705786705017,0.04999999701976776,0.0,0.0,-0.00800000037997961,-0.12305261939764023,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,exp2b_specialization_preserving_seed8400001_2m,17144,7680,1,112,0,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.5600000023841858,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,10.903401692708334,-1.0,0.0,-0.02105174958705902,0.04999999701976776,0.0,0.0,0.0,-0.24321717023849487,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,exp2b_specialization_preserving_seed8400001_2m,17144,7680,1,112,0,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5999999642372131,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.447515869140625,-0.5,0.0,-0.0016650855541229248,0.04999999701976776,0.0,0.0,0.0,-0.12137767672538757,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,exp2b_specialization_preserving_seed8400001_2m,17144,7680,1,112,0,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.5999999642372131,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,11.18400370279948,1.0,0.0,0.00364115834236145,0.029999990016222,0.0,0.0,0.0,0.24689409136772156,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,exp2b_specialization_preserving_seed8400001_2m,17144,7680,1,112,0,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5199999809265137,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.804190063476563,-0.5,0.0,-0.0011997818946838379,0.04999999701976776,0.0,0.0,-0.004000000189989805,-0.12233418226242065,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
