episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,r1_pi_A_specialist_seed7100001,51736,2976,1,58,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,3,-3,186,0.7199999690055847,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,6.389364263062836,-1.0,-0.5,-0.005634009838104248,0.0,-1.0,-100.0,-0.004000000189989805,-0.5555351972579956,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.6800000071525574,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,9.816310628255208,-1.0,0.0,-0.007476240396499634,0.014996161684393883,0.0,0.0,0.0,-0.2444767951965332,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.6800000071525574,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.544858805338542,-0.5,0.0,-0.004842117428779602,0.04999999701976776,0.0,0.0,-0.004000000189989805,-0.12255841493606567,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5600000023841858,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.411649576822917,-0.5,0.0,0.0032565444707870483,0.04062499850988388,0.0,0.0,0.0,-0.12165191024541855,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5199999809265137,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.532489013671874,-0.5,0.0,-0.007423505187034607,0.04999999701976776,0.0,0.0,-0.004000000189989805,-0.12271732836961746,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.7999999523162842,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.074649047851562,-0.5,0.0,-0.0007089674472808838,0.029468365013599396,0.0,0.0,0.0,-0.12258294969797134,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5999999642372131,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.594853719075521,-0.5,0.0,-0.011129990220069885,0.04999999701976776,0.0,0.0,0.0,-0.12196048349142075,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,0,2,240,0.6399999856948853,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,8.492031351725261,1.0,0.0,0.0198897123336792,0.04999992623925209,0.0,0.0,-0.004000000189989805,0.24808210134506226,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5199999809265137,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.526524861653646,-0.5,0.0,-0.0005707889795303345,0.04999994486570358,0.0,0.0,0.0,-0.121310293674469,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.7599999904632568,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,11.3871826171875,1.0,0.0,-0.0019436031579971313,0.04999999701976776,0.0,0.0,-0.004000000189989805,0.24680106341838837,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
11,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,1,1,240,0.6800000071525574,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,6.064576721191406,1.0,0.0,0.0029017478227615356,0.04999999701976776,0.0,0.0,0.0,0.24802415072917938,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
12,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.47999998927116394,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.232361857096354,-0.5,0.0,-0.0007784068584442139,0.04999999701976776,0.0,0.0,0.0,-0.12132307887077332,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
13,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.47999998927116394,1,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,8.285324096679688,1.0,0.0,-0.003144890069961548,0.04999999701976776,0.0,0.0,0.0,0.24766944348812103,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
14,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.6399999856948853,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.282086181640626,-0.5,0.0,-0.01777118444442749,0.04062499850988388,0.0,0.0,-0.004000000189989805,-0.12393124401569366,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
15,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,2,-2,240,0.5999999642372131,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,10.277000935872396,-1.0,0.0,0.004407778382301331,0.04982198774814606,0.0,0.0,0.0,-0.2417299747467041,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
16,r1_pi_A_specialist_seed7100001,51736,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.5600000023841858,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.0,8.670292154947917,-1.0,0.0,0.006663382053375244,0.049999337643384933,0.0,0.0,0.0,-0.24158678948879242,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
17,r1_pi_A_specialist_seed7100001,51736,6816,3,42,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.6800000071525574,0,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0,5.410777791341146,-1.0,0.0,-0.0009201020002365112,0.0499999113380909,0.0,0.0,0.0,-0.2420330047607422,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
18,r1_pi_A_specialist_seed7100001,51736,7680,3,96,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.6399999856948853,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,10.021410115559895,-1.0,0.0,-0.004368409514427185,0.04999999701976776,0.0,0.0,0.0,-0.24223588407039642,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
19,r1_pi_A_specialist_seed7100001,51736,7680,3,96,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5600000023841858,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.741087849934896,-0.5,0.0,0.008453428745269775,0.04999978840351105,0.0,0.0,0.0,-0.12075455486774445,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
20,r1_pi_A_specialist_seed7100001,51736,7680,3,96,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,1,0,240,0.6800000071525574,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,8.118553670247396,-0.5,0.0,-0.0031684190034866333,0.04999999701976776,0.0,0.0,0.0,-0.12147025018930435,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
21,r1_pi_A_specialist_seed7100001,51736,7680,3,96,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.6800000071525574,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,12.329981486002604,1.0,0.0,-0.01940259337425232,0.04999999701976776,0.0,0.0,0.0,0.24671542644500732,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
22,r1_pi_A_specialist_seed7100001,51736,7680,3,96,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.5199999809265137,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0,9.524933878580729,-1.0,0.0,0.0014114230871200562,0.04999999701976776,0.0,0.0,0.0,-0.24189582467079163,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
23,r1_pi_A_specialist_seed7100001,51736,7680,3,96,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5999999642372131,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.180960083007813,-0.5,0.0,0.005759477615356445,0.04992495849728584,0.0,0.0,0.0,-0.12092507630586624,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
24,r1_pi_A_specialist_seed7100001,51736,7680,3,96,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,1,0,240,0.5600000023841858,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,10.411659749348958,-0.5,0.0,-0.0018077343702316284,0.04999999701976776,0.0,0.0,-0.004000000189989805,-0.1223716139793396,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
