update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,51736-1787117416299513800,51736,2048,0,0,0,0,0.0,0.0,0.0,-0.0019622447434812784,0.03335703909397125,-0.05925165116786957,0.1694571077823639,0,0,0,0,0.0,0.0,0.0,0.0,0.03279906511306763,0.0,-0.0019042969215661287,-0.0005788063863292336,0.008948259055614471,-0.005078124813735485,-0.5078125,-0.003261718899011612,0.0,0.0,0.0,0.0,-0.0019622447434812784,-0.005078124813735485,0.00018806624575518072,0.03702729360904715,1.0,0.6421812848920232,-0.0198237216391135,0.027178293908946216,0.023358462378382683,0.003830638015642762,0.02408248372375965,0.025677794590592384,0.03260689973831177,0.03646989166736603,0.0,0.0,0.0,3.996375560760498,0.00996762144495733,0.0948486328125,0.22273085080087185,0.000499488,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16665491461753845,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,51736-1787117416299513800,51736,4096,16,1,8,7,0.0625,0.0625,0.0625,-0.0009641852811910212,0.02669220045208931,-0.06489937752485275,0.12910236418247223,16,1,8,7,0.0625,-0.625,0.375,1.0,0.11495727300643921,-0.005126953125,4.882813664153218e-05,-0.0008100647246465087,0.01977972686290741,-0.0008300781482830644,-0.0830078125,-0.0029003906529396772,0.0,0.0,0.0,0.0,-0.0009641852811910212,-0.005957031273283064,0.004791243671206757,0.8041655794409132,1.0,0.4868035295392919,-0.01744581648381427,0.014422453416045755,0.011032260954380035,0.0022661732509732246,0.011769987642765045,0.013811159878969193,0.017656508833169937,0.01889120787382126,0.0,0.0,0.0,3.49566088616848,0.010251912688545417,0.09912109375,0.3475350961089134,0.0004989759999999999,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.12145525217056274,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,51736-1787117416299513800,51736,6144,16,1,8,7,0.0625,0.0625,0.0625,-0.0006385545711964369,0.02914140745997429,-0.05130418390035629,0.15388606488704681,0,0,0,0,0.0,0.0,0.0,0.0,0.27357572317123413,0.0,-0.00029296879074536264,-0.001029301667585969,0.012112618423998356,-0.0018066406482830644,-0.1806640625,-0.0033300782088190317,0.0,0.0,0.0,0.0,-0.0006385545711964369,-0.0018066406482830644,0.002477860398357734,1.3707704574530668,1.0,1.8422235702555212,-0.017899114696774632,0.016840915253851563,0.013761448673903942,0.001415837905369699,0.015389692038297653,0.01669204793870449,0.018680434674024582,0.01949319988489151,0.0,0.0,0.0,3.972812443971634,0.008129305555485189,0.0770263671875,0.31833094730973244,0.000498464,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.13115790486335754,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,51736-1787117416299513800,51736,8192,32,6,13,13,0.1875,0.1875,0.1875,0.00036622656625695527,0.033347830176353455,-0.04008721560239792,0.1872338503599167,16,5,5,6,0.3125,-0.0625,0.6875,0.75,0.116146981716156,-0.00146484375,0.0019042969215661287,-0.00029650601209141314,0.012693260796368122,0.0011230468517169356,0.1123046875,-0.0030136718414723873,0.0,0.0,0.0,0.0,0.00036622656625695527,-0.00034179689828306437,0.005003485617635306,14.596064441352326,1.0,8.791420974246533,-0.01801390020409599,0.0281938771950081,0.02558734640479088,0.002264847047626972,0.02588389813899994,0.02783898264169693,0.03131724148988724,0.033413149416446686,0.0,0.0,0.0,3.6542663276195526,0.012846487225033343,0.1246337890625,0.4182485919445753,0.000497952,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17602501809597015,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,51736-1787117416299513800,51736,10240,32,6,13,13,0.1875,0.1875,0.1875,-0.00043389995698817074,0.02451349049806595,-0.0312713123857975,0.13784965872764587,0,0,0,0,0.0,0.0,0.0,0.0,0.3087778091430664,0.0,0.0003906250058207661,-0.001503469655290246,0.013199348002672195,-0.0018066406482830644,-0.1806640625,-0.003347656223922968,0.0,0.0,0.0,0.0,-0.00043389995698817074,-0.0018066406482830644,0.0033145945926662534,1.8336579207900232,1.0,1.8519478565071235,-0.020319036178989336,0.011907335079740733,0.009627165272831917,0.001163566019386053,0.010659621097147465,0.011595888063311577,0.013612601906061172,0.014006119221448898,0.0,0.0,0.0,3.9880788028240204,0.014381707704160362,0.1380615234375,0.34167764429003,0.00049744,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.11460789293050766,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,51736-1787117416299513800,51736,12288,48,10,18,20,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.0004995011258870363,0.028125246986746788,-0.0258181169629097,0.1701229065656662,16,4,5,7,0.25,0.0625,0.4375,0.375,0.201305091381073,-0.002197265625,0.002539062639698386,-0.00019421619072090834,0.01209234818816185,0.0022460937034338713,0.224609375,-0.003300781361758709,0.0,0.0,0.0,0.0,0.0004995011258870363,4.882807843387127e-05,0.005513595639058622,110.65238340218004,1.0,66.24340061877564,-0.021442461060360074,0.020965043222531676,0.018046047538518906,0.001453901408240199,0.018768802285194397,0.021167457103729248,0.022618155926465988,0.023506971076130867,0.0,0.0,0.0,3.9312645196914673,0.010226371559838299,0.0955810546875,0.3765879711136222,0.000496928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15203838050365448,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,51736-1787117416299513800,51736,14336,48,10,18,20,0.20833333333333334,0.20833333333333334,0.20833333333333334,-0.0001399494503857568,0.029646769165992737,0.009489133954048157,0.17460517585277557,0,0,0,0,0.0,0.0,0.0,0.0,0.2361971139907837,0.0,0.0011230467353016138,-0.0007415661821141839,0.009797953069210052,-0.0005371094448491931,-0.0537109375,-0.0033906251192092896,0.0,0.0,0.0,0.0,-0.0001399494503857568,-0.0005371094448491931,0.003387143457075581,6.294525192779024,1.0,6.3009953675121295,-0.024007835250813514,0.022612160071730614,0.02077040821313858,0.0013730316422879696,0.020947713404893875,0.02243620716035366,0.024279335513710976,0.025034939870238304,0.0,0.0,0.0,3.9788384586572647,0.01379216796340188,0.1297607421875,0.4048597998917103,0.0004964160000000001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15259762108325958,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,51736-1787117416299513800,51736,16384,64,16,20,28,0.25,0.3,0.25,0.00023308873642235994,0.024657199159264565,0.011046639643609524,0.14689473807811737,16,6,2,8,0.375,0.3125,0.75,0.4375,0.2567312717437744,0.0,0.001220703125,-0.0002009780437219888,0.01549005787819624,-0.001025390811264515,-0.1025390625,-0.0030664061196148396,0.0,0.0,0.0,0.0,0.00023308873642235994,-0.001025390811264515,0.005042973083618563,4.913306927802299,1.0,2.987561936409995,-0.02392581754247658,0.01491646614158526,0.011869925074279308,0.0017763529904186726,0.012802270241081715,0.015225494280457497,0.017336903139948845,0.018199056386947632,0.0,0.0,0.0,3.637699395418167,0.013746172931860201,0.121826171875,0.4331133794039488,0.000495904,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1266424059867859,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,51736-1787117416299513800,51736,18432,65,16,20,29,0.24615384615384617,0.3,0.24615384615384617,0.0013850340619683266,0.014191661030054092,0.043129779398441315,0.10662754625082016,1,0,0,1,0.0,0.0,0.0,0.0,0.2888530492782593,-0.000244140625,0.0010742187732830644,-0.0022594728507101536,0.032579466700553894,-0.0003906249476131052,-0.0390625,-0.0024296874180436134,0.0,0.0,0.0,0.0,0.0013850340619683266,-0.0006347655726131052,0.008654217235744,13.612277242653589,1.0,3.821671890878241,-0.022887599378009327,0.008135225216392428,0.006946358364075422,0.000684778206050396,0.0072343358770012856,0.008183421567082405,0.009033340960741043,0.00918788742274046,0.0,0.0,0.0,2.8543481826782227,0.011217782339372206,0.1033935546875,0.3280836455523968,0.000495392,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.08991850167512894,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,51736-1787117416299513800,51736,20480,80,18,21,41,0.225,0.26,0.225,-0.00039603697950951755,0.025622669607400894,0.005361475050449371,0.16037124395370483,15,2,1,12,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.3348541259765625,-0.00244140625,0.000390625064028427,-0.0006225565448403358,0.01777481846511364,-0.0008300781482830644,-0.0830078125,-0.003025390673428774,0.0,0.0,0.0,0.0,-0.00039603697950951755,-0.0032714843982830644,0.004678690544096753,1.4297059892940869,1.0,0.9244935361696666,-0.02854789107417067,0.016430607251822948,0.014208229258656502,0.000997012248262763,0.015217798762023449,0.01645761728286743,0.01738288439810276,0.018550870940089226,0.0,0.0,0.0,3.5818444093068442,0.015484757310089966,0.141015625,0.36933863957722984,0.00049488,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.13079313933849335,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
