pole,opponent,episode_seed,blue_score,red_score,win,draw,steps,zero_zero,total_score,policy
A,OP6,7500001,1,0,1,0,240,0,1,pi_A
A,OP6,7500002,0,0,0,1,240,1,0,pi_A
A,OP6,7500003,0,0,0,1,240,1,0,pi_A
A,OP6,7500004,1,0,1,0,240,0,1,pi_A
A,OP6,7500005,1,0,1,0,240,0,1,pi_A
A,OP6,7500006,1,0,1,0,240,0,1,pi_A
A,OP6,7500007,1,0,1,0,240,0,1,pi_A
A,OP6,7500008,1,0,1,0,240,0,1,pi_A
A,OP6,7500009,0,0,0,1,240,1,0,pi_A
A,OP6,7500010,0,1,0,0,240,0,1,pi_A
A,OP6,7500011,1,0,1,0,240,0,1,pi_A
A,OP6,7500012,1,0,1,0,240,0,1,pi_A
A,OP6,7500013,1,0,1,0,240,0,1,pi_A
A,OP6,7500014,1,0,1,0,240,0,1,pi_A
A,OP6,7500015,0,0,0,1,240,1,0,pi_A
A,OP6,7500016,1,0,1,0,240,0,1,pi_A
A,OP6,7500017,1,0,1,0,240,0,1,pi_A
A,OP6,7500018,2,0,1,0,240,0,2,pi_A
A,OP6,7500019,0,0,0,1,240,1,0,pi_A
A,OP6,7500020,1,1,0,1,240,0,2,pi_A
A,OP6,7500021,3,1,1,0,172,0,4,pi_A
A,OP6,7500022,3,0,1,0,105,0,3,pi_A
A,OP6,7500023,0,0,0,1,240,1,0,pi_A
A,OP6,7500024,0,0,0,1,240,1,0,pi_A
A,OP6,7500025,0,0,0,1,240,1,0,pi_A
A,OP6,7500026,1,0,1,0,240,0,1,pi_A
A,OP6,7500027,1,0,1,0,240,0,1,pi_A
A,OP6,7500028,0,0,0,1,240,1,0,pi_A
A,OP6,7500029,0,0,0,1,240,1,0,pi_A
A,OP6,7500030,0,0,0,1,240,1,0,pi_A
A,OP6,7500031,1,0,1,0,240,0,1,pi_A
A,OP6,7500032,1,0,1,0,240,0,1,pi_A
A,OP6,7500033,1,0,1,0,240,0,1,pi_A
