pole,driver,episode_seed,steps,action_disagreement_rate,commit_frac,defend_frac,mean_enemy_half_occupancy,t_commit,blue_score,red_score
A,pi_A,7500001,240,0.31666666666666665,0.025,0.9125,0.1125,16,1,0
A,pi_A,7500002,240,0.5291666666666667,0.025,0.9333333333333333,0.08958333333333333,10,0,0
A,pi_A,7500003,240,0.5458333333333333,0.041666666666666664,0.8708333333333333,0.10208333333333333,7,0,0
A,pi_A,7500004,240,0.7125,0.125,0.4875,0.3125,10,1,0
A,pi_A,7500005,240,0.5666666666666667,0.0375,0.8916666666666667,0.11666666666666667,28,1,0
A,pi_A,7500006,240,0.37916666666666665,0.016666666666666666,0.9333333333333333,0.13333333333333333,24,1,0
A,pi_A,7500007,240,0.5541666666666667,0.041666666666666664,0.8833333333333333,0.11041666666666666,24,1,0
A,pi_A,7500008,240,0.6,0.05416666666666667,0.8208333333333333,0.2125,59,1,0
A,pi_A,7500009,240,0.31666666666666665,0.03333333333333333,0.9208333333333333,0.09791666666666667,10,0,0
A,pi_A,7500010,240,0.5625,0.03333333333333333,0.8625,0.17291666666666666,53,0,1
A,pi_A,7500011,240,0.3375,0.041666666666666664,0.8916666666666667,0.11666666666666667,11,1,0
A,pi_A,7500012,240,0.5958333333333333,0.016666666666666666,0.8333333333333334,0.17708333333333334,88,1,0
A,pi_A,7500013,240,0.5958333333333333,0.12083333333333333,0.6791666666666667,0.23333333333333334,8,1,0
A,pi_A,7500014,240,0.6375,0.05416666666666667,0.7625,0.24583333333333332,80,1,0
A,pi_A,7500015,240,0.5625,0.020833333333333332,0.8833333333333333,0.125,8,0,0
A,pi_A,7500016,240,0.8041666666666667,0.05416666666666667,0.5791666666666667,0.40208333333333335,178,1,0
A,pi_A,7500017,240,0.5541666666666667,0.0625,0.825,0.14583333333333334,21,1,0
A,pi_A,7500018,240,0.5625,0.12916666666666668,0.6875,0.30625,10,2,0
A,pi_A,7500019,240,0.35833333333333334,0.04583333333333333,0.8583333333333333,0.16041666666666668,9,0,0
A,pi_A,7500020,240,0.42916666666666664,0.0375,0.7833333333333333,0.2,13,1,1
A,pi_A,7500021,172,0.7441860465116279,0.10465116279069768,0.6337209302325582,0.47674418604651164,58,3,1
A,pi_A,7500022,105,0.6476190476190476,0.09523809523809523,0.6952380952380952,0.42857142857142855,47,3,0
A,pi_A,7500023,240,0.5125,0.03333333333333333,0.9333333333333333,0.0875,10,0,0
A,pi_A,7500024,240,0.8125,0.09166666666666666,0.5125,0.35625,8,0,0
A,pi_A,7500025,240,0.5375,0.05,0.875,0.0875,9,0,0
A,pi_A,7500026,240,0.4666666666666667,0.041666666666666664,0.8375,0.175,46,1,0
A,pi_A,7500027,240,0.6125,0.0375,0.7666666666666667,0.20833333333333334,72,1,0
A,pi_A,7500028,240,0.5291666666666667,0.029166666666666667,0.8875,0.08958333333333333,27,0,0
A,pi_A,7500029,240,0.6416666666666667,0.008333333333333333,0.8208333333333333,0.18333333333333332,94,0,0
A,pi_A,7500030,240,0.32916666666666666,0.04583333333333333,0.8666666666666667,0.10833333333333334,6,0,0
A,pi_A,7500031,240,0.5875,0.041666666666666664,0.8708333333333333,0.15208333333333332,57,1,0
A,pi_A,7500032,240,0.36666666666666664,0.008333333333333333,0.9041666666666667,0.12291666666666666,39,1,0
A,pi_B,7500001,240,0.5208333333333334,0.03333333333333333,0.9291666666666667,0.08333333333333333,10,0,0
A,pi_B,7500002,240,0.5375,0.025,0.8958333333333334,0.13958333333333334,36,1,0
A,pi_B,7500003,240,0.6,0.05416666666666667,0.8,0.2,7,1,1
A,pi_B,7500004,240,0.6083333333333333,0.08333333333333333,0.7333333333333333,0.16458333333333333,9,1,0
A,pi_B,7500005,240,0.3125,0.0,0.9541666666666667,0.07083333333333333,-1,0,0
A,pi_B,7500006,240,0.5208333333333334,0.016666666666666666,0.925,0.058333333333333334,26,0,0
A,pi_B,7500007,240,0.44583333333333336,0.029166666666666667,0.9125,0.1,24,0,0
A,pi_B,7500008,240,0.5458333333333333,0.008333333333333333,0.925,0.1,48,0,0
A,pi_B,7500009,240,0.3125,0.0125,0.9375,0.08125,36,0,0
A,pi_B,7500010,240,0.42916666666666664,0.020833333333333332,0.85,0.1875,7,0,0
A,pi_B,7500011,240,0.5458333333333333,0.07083333333333333,0.8,0.15,10,0,0
A,pi_B,7500012,240,0.32916666666666666,0.0125,0.9416666666666667,0.09791666666666667,34,0,0
A,pi_B,7500013,240,0.6166666666666667,0.14583333333333334,0.6458333333333334,0.2708333333333333,8,1,1
A,pi_B,7500014,240,0.55,0.016666666666666666,0.9,0.11875,56,0,0
A,pi_B,7500015,240,0.7083333333333334,0.11666666666666667,0.5041666666666667,0.35833333333333334,8,2,1
A,pi_B,7500016,240,0.4041666666666667,0.029166666666666667,0.875,0.16041666666666668,56,1,0
A,pi_B,7500017,240,0.6041666666666666,0.06666666666666667,0.75,0.19166666666666668,24,1,0
A,pi_B,7500018,240,0.5333333333333333,0.041666666666666664,0.8791666666666667,0.09375,10,0,0
A,pi_B,7500019,240,0.5125,0.058333333333333334,0.9,0.10208333333333333,10,0,0
A,pi_B,7500020,240,0.5208333333333334,0.04583333333333333,0.8708333333333333,0.15625,9,1,0
A,pi_B,7500021,240,0.4791666666666667,0.03333333333333333,0.8291666666666667,0.20625,64,1,0
A,pi_B,7500022,240,0.5375,0.025,0.9208333333333333,0.10208333333333333,45,0,0
A,pi_B,7500023,240,0.43333333333333335,0.14583333333333334,0.7,0.22291666666666668,10,1,1
A,pi_B,7500024,240,0.5666666666666667,0.0625,0.825,0.14583333333333334,8,1,0
A,pi_B,7500025,240,0.5333333333333333,0.016666666666666666,0.8958333333333334,0.0875,9,0,0
A,pi_B,7500026,240,0.5625,0.025,0.8916666666666667,0.12291666666666666,58,0,0
A,pi_B,7500027,240,0.39166666666666666,0.05,0.8166666666666667,0.13333333333333333,12,0,0
A,pi_B,7500028,240,0.4875,0.0,0.9375,0.09791666666666667,-1,0,0
A,pi_B,7500029,240,0.7208333333333333,0.016666666666666666,0.6833333333333333,0.38333333333333336,158,1,1
A,pi_B,7500030,240,0.5375,0.0375,0.9,0.09583333333333334,6,0,0
A,pi_B,7500031,240,0.525,0.029166666666666667,0.9291666666666667,0.05416666666666667,23,0,0
A,pi_B,7500032,240,0.5166666666666667,0.020833333333333332,0.925,0.11875,37,1,0
B,pi_A,7500001,240,0.5833333333333334,0.008333333333333333,0.8625,0.11666666666666667,10,0,0
B,pi_A,7500002,240,0.8541666666666666,0.0,0.65,0.3145833333333333,-1,0,0
B,pi_A,7500003,240,0.6666666666666666,0.07083333333333333,0.6083333333333333,0.27708333333333335,7,1,0
B,pi_A,7500004,240,0.725,0.0875,0.49583333333333335,0.3416666666666667,9,1,0
B,pi_A,7500005,240,0.4166666666666667,0.008333333333333333,0.8583333333333333,0.10625,70,0,0
B,pi_A,7500006,240,0.5375,0.04583333333333333,0.85,0.11875,25,0,0
B,pi_A,7500007,240,0.7125,0.06666666666666667,0.5333333333333333,0.2791666666666667,77,1,0
B,pi_A,7500008,240,0.8458333333333333,0.020833333333333332,0.5958333333333333,0.3416666666666667,221,0,0
B,pi_A,7500009,240,0.6916666666666667,0.07083333333333333,0.6208333333333333,0.26875,22,1,0
B,pi_A,7500010,240,0.7458333333333333,0.08333333333333333,0.5291666666666667,0.35208333333333336,22,1,0
