episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,sappo_pi_B_specialist_1p5M_seed7200001,24976,1003312,489,115,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,115,0.4399999976158142,0,4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,4.917281971807065,1.0,0.5,-0.010256290435791016,0.0,1.0,100.0,0.0,0.554155707359314,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,sappo_pi_B_specialist_1p5M_seed7200001,24976,1005312,490,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,2,0,2,240,0.5199999809265137,0,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,5.55760498046875,1.0,0.0,-0.0014026463031768799,0.0,0.0,0.0,0.0,0.2448362410068512,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,sappo_pi_B_specialist_1p5M_seed7200001,24976,1005312,490,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,0,0,0,0,240,0.3999999761581421,0,2,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.755152893066406,-0.5,0.0,-0.007142364978790283,0.0,0.0,0.0,0.0,-0.12479247152805328,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,sappo_pi_B_specialist_1p5M_seed7200001,24976,1005312,490,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,1,0,1,240,0.4399999976158142,0,2,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,5.056932576497396,1.0,0.0,-0.005191832780838013,0.0,0.0,0.0,-0.004000000189989805,0.2436732053756714,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,sappo_pi_B_specialist_1p5M_seed7200001,24976,1005312,490,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,1,0,1,240,0.5199999809265137,0,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.0,5.634932454427084,1.0,0.0,-0.0014429986476898193,0.0,0.0,0.0,-0.004000000189989805,0.2438935935497284,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,sappo_pi_B_specialist_1p5M_seed7200001,24976,1005312,490,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,2,0,2,240,0.47999998927116394,0,4,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,5.651958719889323,1.0,0.0,-0.02026265859603882,0.0,0.0,0.0,-0.00800000037997961,0.2418457269668579,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,sappo_pi_B_specialist_1p5M_seed7200001,24976,1005312,490,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,1,0,1,240,0.3199999928474426,0,2,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.0,7.7796875,1.0,0.0,0.009923100471496582,0.04999999701976776,0.0,0.0,0.0,0.24843595921993256,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,sappo_pi_B_specialist_1p5M_seed7200001,24976,1005312,490,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,0,0,0,0,240,0.47999998927116394,0,1,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.3634699503580725,-0.5,0.10000000149011612,0.008831635117530823,0.0,0.0,0.0,-0.004000000189989805,-0.10011155903339386,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,sappo_pi_B_specialist_1p5M_seed7200001,24976,1005312,490,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,0,0,0,0,240,0.5199999809265137,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.859416198730469,-0.5,0.0,0.017114490270614624,0.0,0.0,0.0,-0.004000000189989805,-0.12428443133831024,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,sappo_pi_B_specialist_1p5M_seed7200001,24976,1005312,490,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,0,0,0,0,240,0.3999999761581421,0,2,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.2673395792643225,-0.5,0.0,-0.001478731632232666,0.0,0.0,0.0,-0.00800000037997961,-0.1264125406742096,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
